Sample,sample_collection_datetime,viral_load
3.08.23.PLMAR05.R2__NA__NA__230310_WW__00X.tsv,03/05/23,
3.08.23.PLMAR06.R1__NA__NA__230310_WW__00X.tsv,03/06/23,
3.09.23.ENCMAR03.R2__NA__NA__230310_WW__00X.tsv,03/03/23,
3.09.23.ENCMAR07.R2__NA__NA__230310_WW__00X.tsv,03/07/23,
3.10.23.PLMAR07.R2__NA__NA__230310_WW__00X.tsv,03/07/23,
3.10.23.PLMAR08.R2__NA__NA__230310_WW__00X.tsv,03/08/23,
3.10.23.SBMAR05.R1__NA__NA__230310_WW__00X.tsv,03/05/23,
3.10.23.SBMAR09.R1__NA__NA__230310_WW__00X.tsv,03/09/23,
