Sample,sample_collection_datetime,viral_load
9.20.23.ENCSEP15.R1__NA__NA__230929_WW__00X.tsv,9/15/23,
9.20.23.ENCSEP19.R1__NA__NA__230929_WW__00X.tsv,9/19/23,
9.20.23.PLSEP17.R1__NA__NA__230929_WW__00X.tsv,9/17/23,
9.20.23.PLSEP18.R1__NA__NA__230929_WW__00X.tsv,9/18/23,
9.20.23.SBSEP14.R1__NA__NA__230929_WW__00X.tsv,9/14/23,
9.20.23.SBSEP19.R2__NA__NA__230929_WW__00X.tsv,9/19/23,
9.22.23.PLSEP19.R1__NA__NA__230929_WW__00X.tsv,9/19/23,
9.22.23.PLSEP20.R1__NA__NA__230929_WW__00X.tsv,9/20/23,
9.27.23.ENCSEP21.R2__NA__NA__230929_WW__00X.tsv,9/21/23,
9.27.23.ENCSEP25.R2__NA__NA__230929_WW__00X.tsv,9/25/23,
9.27.23.PLSEP24.R2__NA__NA__230929_WW__00X.tsv,9/24/23,
9.27.23.PLSEP25.R1__NA__NA__230929_WW__00X.tsv,9/25/23,
9.27.23.SBSEP21.R2__NA__NA__230929_WW__00X.tsv,9/21/23,
9.27.23.SBSEP24.R2__NA__NA__230929_WW__00X.tsv,9/24/23,
9.29.23.PLSEP26.R1__NA__NA__230929_WW__00X.tsv,9/26/23,
9.29.23.PLSEP27.R1__NA__NA__230929_WW__00X.tsv,9/27/23,
