Sample,sample_collection_datetime,viral_load
5.24.23.ENCMAY18.R1__NA__NA__230526_WW__00X.tsv,05/18/23,
5.24.23.ENCMAY23.R1__NA__NA__230526_WW__00X.tsv,05/23/23,
5.24.23.PLMAY21.R1__NA__NA__230526_WW__00X.tsv,05/21/23,
5.24.23.PLMAY22.R1__NA__NA__230526_WW__00X.tsv,05/22/23,
5.24.23.SBMAY18.R1__NA__NA__230526_WW__00X.tsv,05/18/23,
5.24.23.SBMAY21.R1__NA__NA__230526_WW__00X.tsv,05/21/23,
5.26.23.PLMAY23.R2__NA__NA__230526_WW__00X.tsv,05/23/23,
5.26.23.PLMAY24.R1__NA__NA__230526_WW__00X.tsv,05/24/23,
