Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.16.8,90.6%,"[-2362.72% , 227.60%]"
XBB.1.5.61,77.1%,"[-2358.17% , 211.14%]"
XBB.1.42,70.0%,"[-264.50% , 387.18%]"
FU.1,67.2%,"[-2215.72% , 210.15%]"
FL.4,66.0%,"[-2358.83% , 986.74%]"
Other,64.8%,"[26.03% , 104.80%]"
XBB.1.9.2,58.0%,"[-2260.29% , 337.01%]"
XBB.1.5.26,56.7%,"[-2230.29% , 199.78%]"
XBB.2.3.2,56.0%,"[-2374.52% , 348.11%]"
FD.2,56.0%,"[-2351.98% , 343.51%]"
XBB.1.5.67,504.1%,"[-5003.49% , 527.27%]"
XBB.1.5,504.1%,"[-5017.49% , 526.87%]"
XBB.1.5.15,48.8%,"[-2264.38% , 203.21%]"
XBB.1.5.20,48.7%,"[-3955.59% , 508.41%]"
XBB.1.5.35,368.0%,"[86.04% , 386.87%]"
EG.4,288.7%,"[-2335.39% , 314.40%]"
XBB.1.5.62,251.3%,"[-2349.65% , 287.17%]"
XBB.1.5.56,244.9%,"[-2352.49% , 281.55%]"
XBB.2.3,238.6%,"[-2335.39% , 365.13%]"
EG.5,233.0%,"[-2237.01% , 267.20%]"
XBB.1.5.4,23.0%,"[-2216.36% , 221.00%]"
FU.2,189.2%,"[-2409.70% , 234.34%]"
XBB.1.5.57,188.0%,"[-2379.31% , 233.20%]"
XBB.1.22.2,180.4%,"[-2378.75% , 196.35%]"
EG.1.4,177.2%,"[-2189.56% , 217.99%]"
FL.7,167.9%,"[-2362.31% , 520.73%]"
FL.15,166.6%,"[-2362.65% , 489.13%]"
EG.1,165.5%,"[-2402.05% , 453.90%]"
XBB.1.5.48,165.3%,"[-2233.29% , 496.12%]"
XBB.1.5.72,163.6%,"[-2375.95% , 346.95%]"
FL.5,163.5%,"[-2321.56% , 332.48%]"
XBB.1.16.1,152.6%,"[-62.87% , 393.19%]"
XBB.1.5.49,14.1%,"[-2252.40% , 395.62%]"
XBB.1.5.10,13.0%,"[-2260.19% , 330.82%]"
XBB.1.9.1,124.8%,"[-2153.84% , 562.43%]"
XBB.1.5.59,119.8%,"[-2229.52% , 523.76%]"
XBB.1.5.55,115.0%,"[-2228.14% , 329.28%]"
XBB.1.22,110.7%,"[-2228.36% , 426.55%]"
XBB.2.3.11,105.6%,"[-2375.95% , 242.08%]"
FL.10,-4062.4%,"[-4359.38% , 107.12%]"
XBB.1.16,-4041.3%,"[-4256.37% , 12.11%]"
XBB.1.16.4,-3936.6%,"[-4255.77% , -930.01%]"
XBB.1.5.6,-3720.4%,"[-3860.08% , -903.08%]"
XBB.1.5.13,-260.2%,"[-3726.72% , 26.50%]"
XBB.1.16.2,-236.6%,"[-1072.51% , 4962.54%]"
XBB.1.5.32,-164.0%,"[-4353.13% , 51.10%]"
XBB.1.5.28,-100.8%,"[-4413.51% , 295.71%]"
XBB.1.5.24,-10.4%,"[-2373.84% , 167.22%]"
XBB.1.5.65,-10.2%,"[-2351.47% , 176.00%]"
XBB.1.5.66,-10.2%,"[-2324.88% , 160.67%]"
FE.1.1,-10.2%,"[-2352.03% , 160.00%]"
FL.14,-10.2%,"[-2324.88% , 158.98%]"
XBB.1.5.30,-10.2%,"[-2338.43% , 186.35%]"
XBB.1.4,-10.2%,"[-2320.65% , 161.64%]"
EG.5.1,-10.2%,"[-2324.88% , 160.31%]"
