Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.26,89.6%,"[-944.16% , 533.04%]"
XBB.1.5.11,86.2%,"[-920.74% , 480.05%]"
XBB.1.5.17,81.5%,"[-717.93% , 167.09%]"
XBB.1.5.15,68.0%,"[-244.67% , 409.51%]"
XBB.1.5,518.8%,"[-436.77% , 539.68%]"
XBB.1.9.1,43.6%,"[-429.13% , 401.47%]"
XBB.1.5.19,28.5%,"[-1060.64% , 519.10%]"
XBB.2.3.2,28.4%,"[-1038.83% , 507.58%]"
XBB.1.5.23,28.3%,"[-1060.64% , 419.13%]"
XBL,28.3%,"[-1060.64% , 388.42%]"
FL.1,28.2%,"[-1060.64% , 326.21%]"
XBB.1.5.9,28.2%,"[-1060.64% , 302.69%]"
XBB.1.5.13,228.6%,"[-206.20% , 344.57%]"
XBB.1.16,213.5%,"[-149.47% , 383.03%]"
XBB.1.6,194.6%,"[-1056.55% , 238.62%]"
XBB.1.5.7,182.8%,"[-1056.55% , 226.82%]"
XBB.1.17,180.5%,"[-1051.11% , 226.91%]"
XBB.1.22.2,173.5%,"[-352.03% , 300.12%]"
XBB.1.5.40,173.5%,"[-1051.11% , 221.18%]"
XBB.1.5.37,163.1%,"[-1051.11% , 212.69%]"
XBB.1.30,161.2%,"[-254.73% , 522.92%]"
XBB.1.5.20,15.5%,"[-96.60% , 256.36%]"
XBB.1.13,146.3%,"[-1041.15% , 483.83%]"
XBB.1.9.2,144.0%,"[-1052.35% , 375.65%]"
EG.2,143.8%,"[-1056.55% , 359.99%]"
XBB.1.5.10,143.7%,"[-1056.55% , 345.88%]"
XBB.1.5.35,135.4%,"[-1052.24% , 273.44%]"
XBB.1.5.30,116.5%,"[-1056.55% , 247.97%]"
Other,1.6%,"[-318.19% , 66.97%]"
XBB.1.5.28,-8.8%,"[-852.68% , 162.43%]"
XBB.1.5.14,-8.5%,"[-596.17% , 521.71%]"
XBB.1,-401.5%,"[-1663.07% , 320.02%]"
XBB.1.5.33,-36.8%,"[-884.62% , 129.02%]"
XBB.1.16.1,-36.4%,"[-895.56% , 83.76%]"
EU.1,-36.3%,"[-884.62% , 125.13%]"
XBB.6,-36.2%,"[-884.62% , 124.77%]"
XBB.1.5.31,-36.2%,"[-884.62% , 124.78%]"
DV.2,-36.1%,"[-884.62% , 124.01%]"
XBB.1.5.21,-359.9%,"[-1839.98% , 97.17%]"
XBB.2.3,-233.1%,"[-1248.48% , 134.40%]"
XBB.1.4,-1752.3%,"[-1880.65% , -825.50%]"
XBB.1.5.24,-1741.9%,"[-1930.13% , -825.50%]"
XBB.1.5.1,-149.4%,"[-491.28% , 271.81%]"
XBB.1.22,-1409.4%,"[-2010.16% , 188.72%]"
XBB.1.9,-13.3%,"[-689.65% , 292.06%]"
