Lineage,Estimated Advantage,Bootstrap 95% interval
FL.2,88.8%,"[-713.00% , 478.80%]"
XBB.1.5.35,83.1%,"[-920.74% , 515.87%]"
XBB.1,80.0%,"[-920.74% , 473.99%]"
XBB.1.5.67,541.6%,"[-733.13% , 567.31%]"
XBB.1.5,541.6%,"[-732.69% , 566.77%]"
XBB.1.9,54.3%,"[-920.74% , 374.61%]"
XBB.1.16.6,51.0%,"[-952.77% , 369.58%]"
XBB.1.22,471.8%,"[-548.97% , 583.78%]"
XBB.1.5.20,4.5%,"[-1560.15% , 725.84%]"
XBB.1.5.40,312.0%,"[-1051.11% , 341.18%]"
XBB.1.16.1,29.0%,"[-1038.83% , 656.74%]"
XCC,28.5%,"[-1038.83% , 538.96%]"
XBB.2.5,28.2%,"[-1088.20% , 313.49%]"
XBB.1.5.63,28.2%,"[-1088.20% , 332.99%]"
XBB.1.5.8,28.2%,"[-1038.83% , 343.38%]"
XBB.1.5.37,21.6%,"[-596.17% , 521.02%]"
XBB.1.5.11,206.1%,"[-1051.11% , 248.21%]"
XBB.1.5.10,146.0%,"[-1088.21% , 473.89%]"
XBB.1.22.2,144.8%,"[-1088.41% , 424.35%]"
XBB.2.3.4,143.4%,"[-1088.41% , 314.66%]"
XBB.1.5.44,143.3%,"[-1052.35% , 299.67%]"
FT.1,138.4%,"[-1096.01% , 278.48%]"
EG.3,123.7%,"[-1057.34% , 261.55%]"
XBB.1.5.13,120.7%,"[-713.00% , 499.12%]"
XBB.1.5.15,-8.5%,"[-486.22% , 187.02%]"
XBB.1.30,-55.3%,"[-888.40% , 95.66%]"
XBB.1.16,-49.0%,"[-425.80% , 333.86%]"
XBB.1.5.28,-38.9%,"[-1120.99% , 323.30%]"
FU.2,-36.9%,"[-884.62% , 129.13%]"
XBB.1.9.2,-36.8%,"[-884.62% , 154.68%]"
XBB.1.28,-36.4%,"[-865.42% , 125.78%]"
XBB.1.5.16,-36.4%,"[-884.62% , 247.11%]"
FL.4,-36.3%,"[-884.62% , 125.17%]"
XBB.1.16.2,-36.2%,"[-865.42% , 124.44%]"
XBB.1.5.1,-36.2%,"[-884.62% , 124.34%]"
FL.3.2,-36.2%,"[-865.42% , 124.55%]"
XBB.1.27,-36.2%,"[-884.89% , 124.49%]"
XBB.2.3,-36.1%,"[-884.62% , 124.17%]"
XBB.1.5.4,-36.1%,"[-867.15% , 124.10%]"
XBB,-36.1%,"[-887.56% , 151.63%]"
FW.1,-36.1%,"[-865.46% , 119.79%]"
XBB.1.5.47,-222.4%,"[-1123.52% , -126.27%]"
XBB.1.5.32,-2161.5%,"[-2330.54% , -808.03%]"
XBB.1.9.1,-210.2%,"[-1044.93% , -114.51%]"
FL.7,-210.2%,"[-1028.68% , -108.71%]"
Other,-21.2%,"[-106.24% , 0.16%]"
XBB.1.5.43,-205.4%,"[-1823.80% , 477.64%]"
XBB.1.5.49,-138.8%,"[-1547.40% , 555.18%]"
XBB.1.5.48,-11.3%,"[-1512.98% , 713.81%]"
