Sample,sample_collection_datetime,viral_load
4.19.23.PLAPR16.R2__NA__NA__230502_WW__00X.tsv,04/16/23 ,
4.19.23.PLAPR17.R1__NA__NA__230502_WW__00X.tsv,04/17/23,
4.19.23.SBAPR04.R1__NA__NA__230502_WW__00X.tsv,04/04/23,
4.19.23.SBAPR09.R2__NA__NA__230502_WW__00X.tsv,04/09/23,
4.19.23.SBAPR16.R2__NA__NA__230502_WW__00X.tsv,04/16/23,
4.20.23.ENCAPR18.R1__NA__NA__230502_WW__00X.tsv,04/18/23,
4.21.23.PLAPR18.R1__NA__NA__230502_WW__00X.tsv,04/18/23,
4.21.23.PLAPR19.R2__NA__NA__230502_WW__00X.tsv,04/19/23,
4.26.23.PLAPR23.R2__NA__NA__230502_WW__00X.tsv,04/23/23,
4.26.23.SBAPR18.R2__NA__NA__230502_WW__00X.tsv,04/18/23,
4.26.23.SBAPR20.R1__NA__NA__230502_WW__00X.tsv,04/20/23,
4.27.23.ENCAPR20.R2__NA__NA__230502_WW__00X.tsv,04/20/23,
4.27.23.ENCAPR24.R1__NA__NA__230502_WW__00X.tsv,04/24/23,
4.27.23.ENCAPR25.R1__NA__NA__230502_WW__00X.tsv,04/25/23,
4.28.23.PLAPR25.R2__NA__NA__230502_WW__00X.tsv,04/25/23,
4.28.23.PLAPR26.R1__NA__NA__230502_WW__00X.tsv,04/26/23,
