Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5,95.5%,"[-166.71% , 375.50%]"
BQ.1.1.29,94.0%,"[-1483.94% , 263.62%]"
BQ.1.1.18,83.9%,"[-1483.94% , 252.08%]"
BA.5.3.1,73.4%,"[-1457.67% , 240.22%]"
BR.2,65.4%,"[-1457.67% , 231.42%]"
BM.2.1,6.5%,"[-908.17% , 503.82%]"
BQ.1.1.10,55.3%,"[-187.80% , 403.86%]"
BQ.1.1.3,520.9%,"[58.40% , 627.98%]"
BF.11,449.0%,"[-1223.78% , 463.10%]"
BF.11.4,378.8%,"[-1405.03% , 404.63%]"
BQ.1.1.6,377.0%,"[-1364.85% , 403.07%]"
BQ.1.2,360.5%,"[-889.70% , 383.99%]"
BQ.1.1.5,318.6%,"[-212.16% , 336.07%]"
Other,3.7%,"[-89.92% , 55.65%]"
CW.1,284.3%,"[-903.40% , 314.94%]"
XBB.1.9,26.1%,"[-563.04% , 551.08%]"
BN.2,225.8%,"[-1405.31% , 270.20%]"
BQ.1.18,19.2%,"[-1440.26% , 559.60%]"
BQ.1.1.26,19.1%,"[-1440.26% , 481.15%]"
BE.1.2,169.4%,"[-876.58% , 654.94%]"
BE.1,150.5%,"[-1483.94% , 478.39%]"
BQ.1.1.28,150.4%,"[-1457.67% , 464.23%]"
BW.1,150.0%,"[-1458.33% , 432.49%]"
BQ.1.10.1,121.1%,"[-253.23% , 296.77%]"
XBB.1.4,10.0%,"[-717.93% , 828.15%]"
BQ.1.27,-99.3%,"[-540.73% , 367.19%]"
BE.1.1.1,-925.6%,"[-1924.48% , -910.84%]"
BQ.1.1.20,-71.8%,"[-1056.55% , 129.98%]"
DF.1.1,-71.5%,"[-1051.11% , 128.91%]"
BN.4,-71.2%,"[-1088.60% , 128.02%]"
BA.5.10,-71.1%,"[-1055.38% , 127.51%]"
XBB.1.6,-71.1%,"[-1051.11% , 127.73%]"
CM.8,-71.1%,"[-1056.55% , 127.68%]"
XBE,-71.1%,"[-1056.55% , 127.49%]"
BQ.1.12,-57.1%,"[-976.98% , 146.61%]"
BQ.1.1.13,-50.7%,"[-948.59% , 218.93%]"
BQ.1.28,-5.4%,"[-586.43% , 290.87%]"
BQ.1.1.4,-47.0%,"[-2163.59% , 641.18%]"
XAS,-417.3%,"[-1686.26% , -328.62%]"
BQ.1.3,-269.2%,"[-1274.06% , -143.70%]"
BQ.1.1.34,-21.7%,"[-976.98% , 177.38%]"
BQ.1.25,-2071.0%,"[-2262.00% , -919.00%]"
BE.7,-1989.1%,"[-2150.17% , -950.20%]"
XBB.2,-1981.8%,"[-2094.78% , -955.90%]"
BQ.1.1,-126.4%,"[-660.04% , 816.33%]"
BQ.1.1.32,-124.6%,"[-630.77% , 146.74%]"
BQ.1.1.7,-11.8%,"[-998.88% , 285.78%]"
