Sample,sample_collection_datetime,viral_load
6.23.23.SBJUN15.R2__NA__NA__230905_WW__00X.tsv,6/15/23,
6.28.23.ENCJUN21.R1__NA__NA__230905_WW__00X.tsv,6/21/23,
6.28.23.ENCJUN22.R1__NA__NA__230905_WW__00X.tsv,6/22/23,
6.28.23.PLJUN25.R2__NA__NA__230905_WW__00X.tsv,6/25/23,
6.28.23.PLJUN26.R2__NA__NA__230905_WW__00X.tsv,6/26/23,
6.30.23.PLJUN27.R2__NA__NA__230905_WW__00X.tsv,6/27/23,
6.30.23.PLJUN28.R1__NA__NA__230905_WW__00X.tsv,6/28/23,
7.07.23.ENCJUL06.R1__NA__NA__230905_WW__00X.tsv,7/06/23,
7.07.23.ENCJUN28.R1__NA__NA__230905_WW__00X.tsv,6/28/23,
7.07.23.PLJUL02.R1__NA__NA__230905_WW__00X.tsv,7/02/23,
7.07.23.PLJUL03.R2__NA__NA__230905_WW__00X.tsv,7/03/23,
7.07.23.SBJUL02.R2__NA__NA__230905_WW__00X.tsv,7/02/23,
7.07.23.SBJUL04.R2__NA__NA__230905_WW__00X.tsv,7/04/23,
7.07.23.SBJUN27.R1__NA__NA__230905_WW__00X.tsv,6/27/23,
7.10.23.PLJUL04.R1__NA__NA__230905_WW__00X.tsv,7/04/23,
7.10.23.PLJUL05.R1__NA__NA__230905_WW__00X.tsv,7/05/23,
