Sample,sample_collection_datetime,viral_load
02.26.24.ENCFEB22.R1__NA__NA__240301_WW__00X.tsv,02/22/24,
02.26.24.ENCFEB23.R2__NA__NA__240301_WW__00X.tsv,02/23/24,
02.26.24.PLFEB18.R2__NA__NA__240301_WW__00X.tsv,02/18/24,
02.26.24.PLFEB19.R1__NA__NA__240301_WW__00X.tsv,02/19/24,
02.26.24.PLFEB20.R2__NA__NA__240301_WW__00X.tsv,02/20/24,
02.26.24.PLFEB21.R1__NA__NA__240301_WW__00X.tsv,02/21/24,
02.26.24.SBFEB20.R1__NA__NA__240301_WW__00X.tsv,02/20/24,
02.26.24.SBFEB25.R2__NA__NA__240301_WW__00X.tsv,02/25/24,
