Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.4,34.3%,"[-851.89% , 1201.18%]"
EF.1.1.1,1485.7%,"[-2440.27% , 1601.98%]"
XBB.1.16,115.8%,"[-2440.27% , 571.18%]"
BQ.1.1.63,115.7%,"[-2440.27% , 532.93%]"
XBB.1.5.5,114.9%,"[-2440.27% , 468.67%]"
XBB.1.5.15,-98.6%,"[-1461.15% , 313.80%]"
Other,-90.2%,"[-296.15% , 105.39%]"
XBB.1.9.1,-8.1%,"[-851.89% , 2582.70%]"
XBB.1.5.16,-503.4%,"[-4010.62% , 807.34%]"
XBB.1.5.10,-48.8%,"[-1303.23% , 698.81%]"
XBB.1.5.2,-4040.4%,"[-4289.45% , -1445.46%]"
BQ.1.1.26,-3369.7%,"[-3905.95% , -1335.01%]"
XBB,-3272.8%,"[-3631.57% , -1389.01%]"
XBB.1.5.14,-3114.1%,"[-3504.68% , -1335.01%]"
BQ.1.1.15,-2966.7%,"[-3357.34% , -1156.71%]"
XBB.1.5,-207.3%,"[-2147.48% , 45.24%]"
XBB.1.5.20,-207.1%,"[-1557.69% , 350.78%]"
XBB.1.5.13,-1550.3%,"[-2661.53% , -1335.01%]"
XBB.1.13,-1165.0%,"[-2334.95% , 423.96%]"
XBB.1.5.11,-116.0%,"[-1541.69% , 1477.27%]"
XBB.1.4,-115.7%,"[-1541.69% , 1038.43%]"
XBB.1.9,-107.2%,"[-1274.32% , 571.90%]"
