Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.10,93.3%,"[-983.90% , 189.55%]"
BA.2.10,9.6%,"[-1885.61% , 400.80%]"
BA.2.10.3,87.3%,"[-964.22% , 180.98%]"
XBB.1.38,67.4%,"[-945.55% , 161.45%]"
XBB.1.5.67,6.7%,"[-943.28% , 163.11%]"
XBB.1.5.18,6.7%,"[-946.01% , 152.09%]"
FY.4,6.6%,"[-958.16% , 99.69%]"
XBB.1.5.42,6.6%,"[-948.09% , 134.96%]"
XBB.2.3.2,6.6%,"[-958.29% , 128.82%]"
XBB.2.3.11,6.6%,"[-943.40% , 161.32%]"
FL.11,6.6%,"[-938.36% , 105.91%]"
XBB.1.22,6.6%,"[-943.28% , 136.33%]"
XBB.1.5.11,6.6%,"[-943.28% , 176.98%]"
XBB.1.5.64,6.6%,"[-958.16% , 152.29%]"
XBB.1.9.2,56.9%,"[-957.97% , 402.10%]"
XBB.1.5.32,56.5%,"[-983.05% , 348.12%]"
XBB.1.5.65,56.3%,"[-942.25% , 322.12%]"
FL.2,56.2%,"[-982.80% , 301.38%]"
FG.2,56.2%,"[-942.25% , 314.25%]"
XBB.1.5.4,56.0%,"[-958.64% , 209.64%]"
XBB.1.5,51.5%,"[-895.83% , 541.93%]"
XBB.1.5.43,45.1%,"[-964.22% , 137.76%]"
Other,36.0%,"[-42.79% , 95.31%]"
XBB.1.16.1,3.7%,"[-851.43% , 152.28%]"
XBB.1.5.28,274.5%,"[-914.77% , 286.96%]"
EG.2,263.9%,"[71.03% , 276.96%]"
XBB.1.5.15,25.2%,"[-530.70% , 286.70%]"
FE.1.1,247.8%,"[-898.23% , 271.10%]"
XBB.1.16.6,219.8%,"[-1283.34% , 272.30%]"
XBB.1.5.21,207.2%,"[-989.83% , 241.46%]"
FU.1,2.8%,"[-475.69% , 184.01%]"
XBB.1.5.23,199.4%,"[-989.83% , 234.16%]"
XBB.1.22.1,194.8%,"[-1002.08% , 231.21%]"
FL.1,190.4%,"[-972.63% , 226.73%]"
XCC,190.0%,"[-989.83% , 226.13%]"
XBB.1.5.59,186.1%,"[-428.06% , 442.26%]"
XBB.1.22.2,178.7%,"[-989.83% , 216.78%]"
B.1.1.161,167.6%,"[-984.12% , 444.33%]"
XBB.2.3.3,156.4%,"[-964.22% , 257.75%]"
FD.4,137.4%,"[-982.80% , 181.57%]"
FL.10,127.9%,"[-975.96% , 225.78%]"
XBB.1.5.24,118.3%,"[-973.57% , 214.50%]"
XBB.1.13,107.4%,"[-959.25% , 202.61%]"
EG.1,104.1%,"[-882.73% , 213.97%]"
XBB.1.16,-79.7%,"[-1996.52% , 315.67%]"
XBB.1.37,-64.3%,"[-680.22% , 17.84%]"
FL.7,-63.6%,"[-669.19% , 17.68%]"
FW.1,-63.5%,"[-696.74% , 22.60%]"
XBB.1.5.39,-63.3%,"[-680.22% , 28.91%]"
XBB.1.5.56,-63.2%,"[-680.22% , 10.53%]"
XBB.1.16.4,-63.2%,"[-693.33% , 28.90%]"
XBB.1.9.1,-57.4%,"[-634.94% , 74.10%]"
XBB.1.5.66,-40.5%,"[-655.91% , 111.48%]"
XBB.1.5.26,-370.5%,"[-1382.39% , 14.05%]"
XBB.1.5.16,-33.0%,"[-585.11% , 131.81%]"
XBB.1.5.1,-243.0%,"[-1430.26% , 131.69%]"
XBB.1.5.49,-231.9%,"[-328.32% , 319.42%]"
FU.2,-22.9%,"[-720.78% , 164.56%]"
XBB.1.5.61,-168.7%,"[-1317.73% , 165.59%]"
FY.2,-1636.8%,"[-1815.03% , 187.44%]"
XBB.1.16.2,-1385.0%,"[-1553.50% , -643.47%]"
XBB.1.9,-13.5%,"[-444.00% , 238.50%]"
XBB.1.5.20,-124.3%,"[-2172.56% , 331.50%]"
