Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.42,84.7%,"[-540.71% , 136.87%]"
XBB.1.5,81.3%,"[-68.35% , 162.11%]"
XBB.1.5.48,7.1%,"[-591.66% , 46.24%]"
XBB.1.9.1,67.2%,"[-514.30% , 88.50%]"
XBB.1.5.1,66.0%,"[-482.37% , 82.00%]"
XBB.2.3.2,51.3%,"[-287.85% , 76.74%]"
XBB.1.5.17,50.9%,"[-557.00% , 68.42%]"
XBB.1.5.5,5.1%,"[-600.82% , 31.20%]"
XBB.1.5.11,47.1%,"[-558.60% , 76.63%]"
FG.2,46.1%,"[-596.20% , 81.97%]"
XBB.1.5.12,46.1%,"[-603.79% , 81.15%]"
XBB.1.5.3,46.1%,"[-596.07% , 83.69%]"
XBB.1.5.24,44.2%,"[-578.87% , 74.59%]"
XBB.1.9,43.2%,"[-545.41% , 99.76%]"
XBB.1.5.27,42.6%,"[-563.79% , 71.09%]"
FL.2.1,41.3%,"[-587.72% , 72.80%]"
XBB.1.16.1,37.3%,"[-18.28% , 138.95%]"
XBB.1.5.18,33.8%,"[-598.07% , 73.68%]"
XBB.1.30,32.4%,"[-486.56% , 101.51%]"
XBB.1.9.2,30.6%,"[-254.21% , 72.59%]"
XBB.1.22.2,29.7%,"[-568.50% , 67.31%]"
XBB.1.5.40,29.7%,"[-238.51% , 94.90%]"
XBB.1.5.10,29.6%,"[-519.42% , 100.33%]"
XBB.1.5.13,29.4%,"[-30.70% , 96.18%]"
XBB.1.5.2,26.3%,"[-607.24% , 83.29%]"
XBB.1.5.37,25.7%,"[-598.32% , 60.21%]"
FL.2,22.0%,"[-433.84% , 84.61%]"
XBB.1.5.30,20.7%,"[-619.73% , 85.80%]"
XBB.1.5.36,19.7%,"[-587.99% , 54.11%]"
Other,18.2%,"[2.35% , 37.93%]"
XBB.1.5.19,13.4%,"[-602.09% , 56.17%]"
EG.2,13.2%,"[-594.67% , 54.57%]"
XBB.1.28,11.2%,"[-558.60% , 46.52%]"
XBB.1.5.33,101.2%,"[-593.28% , 133.26%]"
XBB.1.5.26,10.1%,"[-608.25% , 39.55%]"
XBB.1.22,-941.4%,"[-1052.02% , 79.20%]"
XBB.1.5.16,-938.3%,"[-1034.99% , 75.45%]"
XBB.1.13,-910.0%,"[-970.23% , -291.61%]"
XBB.1.5.31,-898.0%,"[-958.75% , -295.03%]"
XBB.1.5.21,-882.1%,"[-954.97% , -291.85%]"
XBB.1.5.51,-8.2%,"[-594.41% , 15.17%]"
XBB.1.5.23,-6.0%,"[-567.43% , 17.03%]"
XCC,-50.4%,"[-319.23% , -27.04%]"
BA.2.1,-50.3%,"[-321.14% , -26.88%]"
XBB.1.5.15,-5.9%,"[-86.13% , 55.64%]"
XBB.1,-40.6%,"[-306.97% , 1.71%]"
XBB.1.5.32,-36.3%,"[-673.64% , 57.69%]"
EG.4,-35.2%,"[-298.87% , 3.57%]"
XBB.1.5.20,-30.2%,"[-67.65% , -15.93%]"
FL.3,-2.8%,"[-565.69% , 27.54%]"
XBB.1.5.28,-2.1%,"[-94.43% , 76.97%]"
XBB.1.5.49,-19.9%,"[-55.38% , 35.45%]"
XBB.1.16,-17.8%,"[-52.70% , 78.46%]"
XBB.1.9.4,-13.3%,"[-984.48% , 9.79%]"
XBB.1.5.52,-13.3%,"[-950.25% , 7.66%]"
XBB.1.5.43,-13.2%,"[-1010.17% , 10.30%]"
XBB.1.5.35,-13.2%,"[-494.64% , 13.38%]"
XBB.1.5.7,-1100.3%,"[-1175.41% , -294.57%]"
XBB.1.21,-1.8%,"[-576.29% , 21.39%]"
