	summarized	lineages	abundances	resid	coverage
10.25.23.ENCOCT19.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.8600181367226843), ('Other', 0.06261155761864169), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.002533829999699429)]	EG.5.1.6 HV.1.1 FL.1.5.1 EG.5.1.9 HN.1 EG.5.1.8 EG.2 JF.1 XCY HH.1 XBB.1.5.43 EG.5.1.4 EG.5.1 JN.2 XCP XCZ HN.5 HZ.1 JA.1 HK.3.7 HK.3 JG.3 HK.3.2 HF.1 EG.5.1.1 XCH.1 HK.6 XBB.2.3.2 HK.13.1 EG.7 XCT HH.8 HV.1.2 XBB.1.5.76 GK.2.1 JD.2 GK.1.7 XCF.1 DV.7.1.1 HK.15 GS.1 FL.1.5.2 XBV EG.2.5 XBB.1.5.23 HK.3.3 GM.1 BA.2.86.3 GJ.5 XBB.1.24.3 XCH HK.3.4 HA.2 HD.1 XBB.1.5.87 HN.6 XBB.1.45.1 XBB.1.16.24 HK.3.5 XBB.1.5.106 XBB.1.5.57 HB.1 EG.14 XBB.1.5.103 EG.9 HK.16 HU.2 HE.1 XBB.1.23 HR.1 GJ.6 JN.3 HK.7 CJ.1.3.1 GK.7 FT.4 XBB.1.5.39 GS.2 XBB.1.36 HK.4 XDA HZ.3 JC.1 XBB.3.3 BA.1.15.1 GE.1.6 XBB.1.16.16	0.24218979 0.08615388 0.07822681 0.06332860 0.04679211 0.03613064 0.03076834 0.02212080 0.02040727 0.01826144 0.01612419 0.01447791 0.01435614 0.01370867 0.01306460 0.01213107 0.01123005 0.01018330 0.00943151 0.00893853 0.00893853 0.00766245 0.00673535 0.00663876 0.00649866 0.00565953 0.00524521 0.00480726 0.00466647 0.00413352 0.00409789 0.00396478 0.00373832 0.00372563 0.00339814 0.00287660 0.00270589 0.00261066 0.00253383 0.00225973 0.00206154 0.00204499 0.00192215 0.00187691 0.00186637 0.00184162 0.00181901 0.00176913 0.00170551 0.00168893 0.00168533 0.00167364 0.00163780 0.00153965 0.00149365 0.00146145 0.00144370 0.00142985 0.00138026 0.00136922 0.00134090 0.00133690 0.00132925 0.00124775 0.00121655 0.00121214 0.00120337 0.00118948 0.00118765 0.00118752 0.00113491 0.00112333 0.00111596 0.00111359 0.00110892 0.00109033 0.00109033 0.00108661 0.00107836 0.00105477 0.00103306 0.00101811 0.00100942 0.00100849 0.00100503 0.00100469 0.00100251	12.149695795075893	93.71634953014748
10.18.23.ENCOCT16.R1__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.8857125349340089), ('Other', 0.05231788727988127), ('A', 0.0010976900063639139)]	XBB.1.9.2 EG.5.1.6 FL.20 XBB.1.16.15 XBB.2.3 EG.5.1.4 EG.5.1 FL.26 XBB.1.16.19 FL.6 XCZ JG.3 FL.1.5 XCY XBB.1.9.1 HV.1.2 FL.20.2 FL.29 XCC XCG EG.5.1.7 FL.8 XBB.2.9 FL.21.1 XBB.1.43.1 FL.1.5.2 HA.2 FL.4.4 XBN JG.3.1 FL.24 XBB.1.21 HK.6 FL.22 FL.2.3.1 XBB.1.5.23 FL.23.1 XBB.1.16.10 FE.1.2 XBB.1.24.3 EG.14 EG.8 FL.32.1 EG.5.1.10 EG.5.1.3 JG.2 FL.13.3.1 FL.20.1 FL.13.5 HV.1 XBB.1.17 JG.1 FL.33 FL.34 FY.2.1 FL.5 FL.18 XBB.1.16.25 FL.9 EG.9 XCV FL.3.3 EG.5.2.2 GE.1.6 A.2.4 GW.1.1 XBB.1.16.18 XBB.1.37.1 XBB.1.16.24 XBB.1.12	0.14990712 0.14081789 0.11426245 0.06650537 0.05228614 0.04765422 0.04634826 0.04078300 0.02898980 0.02663840 0.02604119 0.02501475 0.02308182 0.01464096 0.01361044 0.01011690 0.00714843 0.00660640 0.00414169 0.00348028 0.00340136 0.00338537 0.00325380 0.00317460 0.00308642 0.00308410 0.00301386 0.00290867 0.00286533 0.00276305 0.00275713 0.00250402 0.00235878 0.00232829 0.00231348 0.00190114 0.00189430 0.00183655 0.00176991 0.00175747 0.00162131 0.00157233 0.00156495 0.00147223 0.00143977 0.00143977 0.00141939 0.00141576 0.00141093 0.00140879 0.00138519 0.00138176 0.00137615 0.00133305 0.00132802 0.00132722 0.00125593 0.00124204 0.00123628 0.00117028 0.00114844 0.00114716 0.00114367 0.00110794 0.00109769 0.00108059 0.00107759 0.00104058 0.00103734 0.00101283	14.264280144172162	97.12069023174932
10.18.23.SBOCT15.R1__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9135802292634237), ('Other', 0.007426822564282963)]	EG.5.1.4 HV.1 XBB.1.16.1 XBB.1.5.59 HN.1 EG.5 XBB.1.16.19 HV.1.2 EG.2 HK.19 XBB.1.16.6 XBB.1.16.12 XBB.1.16 XBB.2.3.17 XBB.1.5.80 GK.1 XBB.1.5.47 GK.1.3 XBB.1.16.14 FU.5 GK.7 XCS XBB.1.16.10 HK.13.1 HN.3 JG.1 XCF.1 EG.5.2.3 XBB.1.5.26 JD.1.1 FY.2.1 XBB.1.5.31 GK.1.7 XBB.1.5.35 HK.15 JU.1 GK.1.4 EG.11 GJ.1.2.2 XBB.1.16.25 XBB.3.1 FD.1.1 XCW FG.3 XBB.1.16.21 XBB.1.16.18 XBB.1.45.1 XBB.1.37.1 JD.1.1.2 HK.9 GK.1.2 XBB.1.16.9 FY.4.1.1 HB.1 JD.1.1.1 GW.1.1 XBB.1.5.64 XBB.1.16.23 JG.3 JC.1 XBB.1.5.50	0.14306669 0.13127892 0.09400995 0.08003482 0.06170255 0.05481923 0.04912820 0.04565550 0.04533005 0.03491229 0.02147793 0.01942837 0.01942837 0.01244000 0.01182240 0.00850295 0.00415422 0.00374532 0.00371698 0.00350647 0.00334769 0.00320294 0.00314465 0.00313995 0.00300772 0.00292396 0.00285714 0.00254842 0.00242196 0.00241823 0.00212624 0.00206517 0.00205679 0.00201962 0.00189251 0.00182608 0.00174825 0.00170140 0.00163934 0.00159151 0.00150000 0.00136761 0.00136674 0.00134228 0.00133511 0.00128425 0.00127739 0.00123039 0.00121718 0.00119918 0.00118322 0.00117786 0.00112999 0.00112849 0.00111982 0.00107494 0.00106496 0.00106364 0.00104738 0.00103232 0.00102354	13.525729591471851	97.30461826572585
10.20.23.PLOCT18.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.8636523689510993), ('Other', 0.054058860082066715)]	HV.1.2 HK.19 XBB.1.9.2 EG.5.1.4 HK.12 EG.5.1.1 HV.1 XCZ HK.8 EG.6.1 XBB.1.16.19 FL.1.5.2 HN.1 FL.1.5 JN.1 XCQ EG.1.5 HN.3 GK.1.2 JG.3 HK.3.4 HK.7 JF.1 HF.1.1 GK.1.3 FL.29 FL.15.1.1 GK.1.6.1 GK.1.1.1 HC.2 XBB.1.16.25 XBB.1.15.1 JD.1.1.1 XBB.1.16.10 EG.5.1.9 FL.32.1 HK.16 JN.2 EG.7 FL.24 XBB.1.45.1 HK.15 XBB.1.16.7 HK.13.1 XBB.1.16.16 HK.14 EG.8 GJ.1.2.5 EG.11 EG.14 EG.5.1.10 FL.15.3 XCW FL.20.1 FE.1.1.4 FU.1.1 HV.1.4 HK.6 BA.2.86.3 BA.2.86.1 GS.4.1 XBB.1.16.9 HC.1 XBB.1.16.11 XBB.1.16.24 XBB.1.37.1 FL.22 XCM HZ.2 JC.2 HT.1 EG.5.2.3 EG.2.5 EK.2 XBB.8.2 GM.1 FL.4.5 HK.9 GK.1.8	0.11714900 0.08784103 0.06638573 0.05903241 0.05886834 0.05835291 0.03374857 0.03286725 0.03122510 0.03060285 0.03036970 0.02129546 0.02030974 0.01988219 0.01910370 0.01804790 0.01393073 0.01315980 0.01266907 0.01052227 0.01045910 0.00936466 0.00748529 0.00716076 0.00647668 0.00572231 0.00537277 0.00530504 0.00486387 0.00410621 0.00364561 0.00350095 0.00347068 0.00346762 0.00343221 0.00320770 0.00311671 0.00294942 0.00276588 0.00274782 0.00271592 0.00254159 0.00245700 0.00239843 0.00219098 0.00214509 0.00213415 0.00211598 0.00211443 0.00205723 0.00197608 0.00193300 0.00189317 0.00187888 0.00181245 0.00179211 0.00173805 0.00163855 0.00163170 0.00157262 0.00157011 0.00139392 0.00135563 0.00133443 0.00127412 0.00127011 0.00125766 0.00125054 0.00118624 0.00117054 0.00115229 0.00114613 0.00114542 0.00112486 0.00112218 0.00110416 0.00108726 0.00102191 0.00102124	15.938080615716363	99.10042470655118
10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.8861470993449762), ('Other', 0.014701072047987594)]	EG.5.1.6 EG.5.1.1 HV.1 EG.5.1.4 FL.1.2 JJ.1 JF.1 HK.11 HV.1.1 XBB.1.16.19 JG.3 HN.3 XBB.1.5.73 FL.6 JE.1 FU.2 XBB.1.16.15 HK.19 HK.12 FL.1.5.1 GN.1.1 GK.1.1.1 HK.2 GK.1.1 HN.2 JN.1 HK.3.4 FL.1.5.2 EG.5.1.9 XBB.1.16.4 HZ.1 XBB.1.16.6 XCZ EG.5.1.7 FL.4.5 HK.13 FU.5 GV.1 XCV XBB.1.5.102 HK.13.1 GK.1.4 HV.1.2 EG.5.2.1 HK.15 FL.2.2 FL.24 EG.9 EG.10.1 GS.4 GJ.1.2.4 XBV XCH.1 JD.1.1 EG.5.1.2 XBB.1.16.7 EG.5.2.3 FL.2.3.1 GJ.6 HA.2 HZ.2 XCR HK.13.2 JD.2 XBB.1.19.2 XBB.1.5.50 FL.22 FY.2.1 JG.3.1 GK.8.1 GJ.1.2.5 HE.1 CM.8.1.5 XY JD.1.1.3 BW.1.1.1 XBB.1.9.6 XBB.2.3.17 XBB.1.43.1 XBB.1.45.1 GN.5	0.10402793 0.10255859 0.09086079 0.07390212 0.05037920 0.02967210 0.02861707 0.02347848 0.02261791 0.02083232 0.02032328 0.01936640 0.01849037 0.01600380 0.01546078 0.01543257 0.01440030 0.01332448 0.01263761 0.01116301 0.01059308 0.00925015 0.00899464 0.00895752 0.00813449 0.00798935 0.00708065 0.00633179 0.00592593 0.00581397 0.00538972 0.00537823 0.00531012 0.00530504 0.00501589 0.00430455 0.00407613 0.00365563 0.00338266 0.00325945 0.00300769 0.00294613 0.00286099 0.00270083 0.00269542 0.00262729 0.00254900 0.00252159 0.00235110 0.00221571 0.00219476 0.00216280 0.00211309 0.00210977 0.00207254 0.00202722 0.00193357 0.00177564 0.00177454 0.00176866 0.00173643 0.00173240 0.00155039 0.00153367 0.00144679 0.00139644 0.00138340 0.00136752 0.00133939 0.00127668 0.00127475 0.00114686 0.00111056 0.00110548 0.00110193 0.00108731 0.00104657 0.00103734 0.00102543 0.00102319 0.00101921	15.02033445392189	97.81627261478782
10.27.23.PLOCT24.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9226087709251287), ('Other', 0.006350919999465825)]	JG.3 HV.1 HK.19 HK.12 EG.5.1.3 FL.1.5 HV.1.2 XBB.1.16.19 FL.15 HN.5 XBB.1.16.4 HN.1 JD.1.1.1 HK.7 FL.1.5.2 HK.15 HN.4 JD.1 FL.24 FL.6 FZ.1 XCZ JG.3.1 EG.5.1.9 FL.22 XBB.1.5.99 FL.8 FL.29 HK.13.1 JN.1 GK.1.6.1 FL.25 FL.36 FL.2.3.1 FL.3.4 JN.3 FL.26 HK.6 HV.1.4 EG.11 HK.9 XY JD.2 XBB.1.45.1 GK.1.7 XBB.1.34.1 FL.4.6 JD.1.1.3 HK.16 XCR EG.2.4 FL.11 HD.1.1 FL.1.2 EG.5.1.10 FU.5 GE.1.6 XBB.1.5.50 EU.1.1.3 XBB.1.5.106 XCW XBB.1.27 EG.14 HK.18 GN.3 GN.1.2	0.28789149 0.14165105 0.08966009 0.06851360 0.05433011 0.04073971 0.03816150 0.02577113 0.01284877 0.01006686 0.00990882 0.00875323 0.00834096 0.00811031 0.00650189 0.00622326 0.00604977 0.00518610 0.00452735 0.00447284 0.00416535 0.00380506 0.00364398 0.00345369 0.00341219 0.00338340 0.00314880 0.00290860 0.00282621 0.00266951 0.00264323 0.00258477 0.00245356 0.00214362 0.00209696 0.00208346 0.00207816 0.00205358 0.00200545 0.00196464 0.00190114 0.00187829 0.00183615 0.00182970 0.00170082 0.00159958 0.00156855 0.00152746 0.00152571 0.00150049 0.00147710 0.00142281 0.00140084 0.00136309 0.00135174 0.00123302 0.00118817 0.00115889 0.00106377 0.00105184 0.00104537 0.00103699 0.00103519 0.00101660 0.00100959 0.00100373	12.225435051709834	97.60893555830519
10.25.23.SBOCT19.R1__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9285871673227013), ('Other', 0.004209830001390788)]	FU.2 EG.5.1.1 JG.4 EG.5.1 JG.2 EG.5.1.3 JF.1 EG.5.1.6 EG.5.1.9 EG.5.1.4 HV.1.2 FL.25 JD.1.1.1 HV.1.1 FL.6 HK.8 HK.15 EG.5.1.2 XCP EG.5.1.7 HK.3.4 FL.22 HK.3 HK.3.7 EG.5.1.8 XBB.1.16.24 XBB.1.34.1 FL.8 HK.9 EG.14 HK.6 XBB.1.43.1 FL.3.4 XBB.1.5.57 XBB.1.48 HK.13.1 XBB.3.1 XBB.1.47 FL.20.1 XBB.1.37.1 FU.5 GK.3.1 FL.18.1 XBB.1.27 HE.1 XDA FL.13.5 XBB.1.33 EG.9 XBB.1.45.1 XBB.1.36 JJ.1 XBB.2.3 HK.3.2 XBB.2.9	0.23866500 0.12875229 0.10443476 0.05812522 0.05591669 0.05591669 0.03445709 0.03408621 0.02821255 0.02805911 0.02782809 0.02414765 0.01974175 0.01128848 0.00893701 0.00601033 0.00473293 0.00350877 0.00302686 0.00296736 0.00254939 0.00254022 0.00249786 0.00249786 0.00244035 0.00204499 0.00197433 0.00193597 0.00182232 0.00167661 0.00164745 0.00164018 0.00162295 0.00158921 0.00155692 0.00150621 0.00138292 0.00138229 0.00130634 0.00128425 0.00128304 0.00126597 0.00123653 0.00121212 0.00120158 0.00118297 0.00115149 0.00113269 0.00111359 0.00109630 0.00106923 0.00106052 0.00104026 0.00103087 0.00100637	12.731305543875628	97.06383974852021
10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9457181042501175), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0017309938113189733), ('Other', 0.0011026400026909672)]	JN.1 EG.5.1.8 EG.5.1.4 FL.1.5.2 HK.6 HK.3.7 HK.3 EG.2.4 DV.7.1.4 EG.9 GK.7 EG.5.2.1 XBB.1.16.7 XBB.1.34.1 HK.11.1 JN.2 JF.1 GE.1.2 HK.3.3 HK.3.2 HK.13.1 JC.1 XCR GW.1.1 XBB.1.9.6	0.88232659 0.01671355 0.00689277 0.00547593 0.00408922 0.00400687 0.00400687 0.00232019 0.00173099 0.00156850 0.00156596 0.00151964 0.00143971 0.00141046 0.00139159 0.00136139 0.00131395 0.00129884 0.00126040 0.00124153 0.00119561 0.00114881 0.00110264 0.00108619 0.00108355	14.661121199793467	97.7025716483296
10.25.23.SBOCT24.R1__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9094185172898973), ('Other', 0.008644660999780712)]	EG.5.1.1 HV.1.2 GS.4 EG.2 HK.3 HK.3.7 XBB.1.16.19 FL.1.5.1 HN.1 XBB.1.9.2 XBB.1.5.80 FL.1.5 EG.6.1 HK.8 XBB.1.5 FL.6 HK.11 XDA EG.5.1.7 FU.5 FL.8 XBB.1.5.35 FG.3 FL.27 FE.1 FL.29 EG.5.2.2 XCQ EG.4.1 GA.6.1 HK.3.2 FL.1.5.2 XBB.1.5.26 HK.9 FL.1.2 XBB.1.5.31 FL.15 XBB.2.3.18 HK.6 XCF FY.2.1 HK.17 XCP EG.2.4 HN.3 FL.23.1 EG.11 XBB.1.5.92 XBB.1.37.1 XBB.1.5.14 XBB.1.24.3 HU.1.1 XBB.1.7 FL.32.1 XBB.1.5.34 XBB.2.3.15 XBB.1.18.1 JD.1.1.1 GE.1.6 GW.2 JF.1 HK.7 GA.4.2 XBB.1.5.23 GJ.6 GE.1.2 GJ.5	0.31366605 0.13590922 0.11771700 0.03834387 0.03039911 0.03039911 0.02623609 0.02533413 0.02507091 0.01877641 0.01611860 0.01500357 0.01315359 0.01229038 0.00766599 0.00740564 0.00423779 0.00391773 0.00353357 0.00329593 0.00266785 0.00251311 0.00248293 0.00220259 0.00215583 0.00210784 0.00184911 0.00183993 0.00182315 0.00178385 0.00177575 0.00173804 0.00171409 0.00165792 0.00159728 0.00157480 0.00153978 0.00147929 0.00146234 0.00145382 0.00143988 0.00143781 0.00143318 0.00142369 0.00136569 0.00132093 0.00129116 0.00129116 0.00126263 0.00125078 0.00123704 0.00121855 0.00120606 0.00118584 0.00117371 0.00117277 0.00112895 0.00108357 0.00107650 0.00104100 0.00103252 0.00102978 0.00102617 0.00101937 0.00100806 0.00100756 0.00100482	12.221753255685794	98.20753770524696
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X.tsv	[('Omicron', 0.9211713907560968), ('Other', 0.011826803180330163)]	HK.8 HK.12 HV.1.1 HV.1 XBB.1.16.23 EG.5.1.1 HK.13 EG.5.1.4 XBB.1.16.6 XBB.1.5.102 XBB.1.16.19 EG.5.1.9 XBB.1.9.2 EG.5.1.7 EG.5.1.3 FL.10.2 HK.15 XCR JJ.1 JG.3 EG.1.2 EG.7 FL.1.5.2 FL.1.2 HK.19 EK.3 EG.5.1.2 GK.1.1 HK.6 EG.11 HK.9 HV.1.2 JN.1 XCS EG.5.2.1 FL.24 HK.4 EG.5.2.3 EG.9 GK.1.7 EG.14 GW.1.1 XBB.1.5.50 XBB.1.5.87 JD.1.1.3 JD.2 XBB.2.3.18 BA.2.86.3 XBB.1.45.1 GN.3 XBB.1.42.2 XBB.1.20 HF.1.1 XBB.2.3.1 FL.4.6 XBB.1.34.1 HL.1 FU.5 EG.12 XBB.1.9.7 XBB.1.5.38 EG.4.2 FL.13.5 JN.2 HK.13.1 GW.2 GM.1 FU.4 JN.3 HV.1.4 EG.2.4 EG.5.2.2 XCT	0.23129336 0.10359496 0.07788356 0.06352124 0.06122450 0.05686183 0.04335132 0.03420801 0.02334162 0.01750943 0.01386976 0.01190972 0.01182262 0.01123600 0.01028723 0.01020990 0.00831947 0.00817155 0.00751880 0.00701403 0.00693675 0.00593232 0.00585183 0.00578328 0.00410124 0.00361961 0.00346021 0.00330719 0.00305523 0.00300787 0.00294768 0.00288184 0.00267618 0.00262927 0.00262467 0.00252402 0.00248870 0.00233645 0.00229041 0.00226410 0.00225904 0.00221178 0.00218081 0.00209644 0.00197628 0.00194689 0.00190840 0.00176643 0.00169952 0.00166611 0.00163740 0.00158814 0.00157233 0.00156565 0.00150150 0.00148664 0.00138094 0.00133505 0.00129905 0.00127696 0.00124933 0.00124688 0.00120040 0.00119832 0.00119716 0.00115344 0.00115340 0.00110375 0.00109200 0.00107269 0.00105501 0.00102669 0.00102598	13.594278246539753	96.96017122027891
