Sample,sample_collection_datetime,viral_load
1.04.23.ENCDEC30.R1__NA__NA__230107_WW__00X.tsv,12/30/22 ,
1.04.23.ENCJAN04.R1__NA__NA__230107_WW__00X.tsv,01/04/23,
1.05.23.PLJAN01.R1__NA__NA__230107_WW__00X.tsv,01/01/23,
1.05.23.PLJAN02.R1__NA__NA__230107_WW__00X.tsv,01/02/23,
1.05.23.PLJAN03.R1__NA__NA__230107_WW__00X.tsv,01/03/23,
1.05.23.PLJAN04.R1__NA__NA__230107_WW__00X.tsv,01/04/23,
1.05.23.SBDEC30.R1__NA__NA__230107_WW__00X.tsv,12/30/22,
1.05.23.SBJAN03.R2__NA__NA__230107_WW__00X.tsv,01/03/23,
