Lineage,Estimated Advantage,Bootstrap 95% interval
CW.1,96.8%,"[-2322.46% , 297.38%]"
CK.1,79.7%,"[-2228.14% , 525.85%]"
BQ.1.1.5,79.0%,"[-288.74% , 317.72%]"
BQ.1.1,77.9%,"[-109.40% , 333.01%]"
BA.5.3.1,56.1%,"[-2358.92% , 393.93%]"
BQ.1.1.18,56.1%,"[-2338.34% , 413.75%]"
BQ.1.3,42.4%,"[-359.00% , 381.59%]"
BQ.1.1.4,42.1%,"[-4197.94% , 350.48%]"
BE.1.1.1,387.3%,"[-2378.75% , 411.32%]"
BF.11,26.3%,"[-2195.60% , 169.07%]"
BE.1,249.9%,"[-2275.54% , 267.50%]"
XBB.2,247.4%,"[-2217.79% , 290.33%]"
XBE,243.4%,"[-2275.54% , 270.50%]"
BW.1.1,239.9%,"[159.64% , 265.56%]"
BF.7.5,232.9%,"[87.10% , 282.54%]"
BQ.1.10.1,223.7%,"[-2378.75% , 263.27%]"
Other,21.8%,"[-19.94% , 62.69%]"
BA.5.1.12,202.7%,"[8.39% , 321.25%]"
BN.1.3.1,193.3%,"[-2233.29% , 310.22%]"
BA.5.1.5,191.2%,"[-2370.87% , 235.97%]"
BN.1.5,184.5%,"[-7.24% , 312.34%]"
XBB.1,164.6%,"[-2358.07% , 410.03%]"
BQ.1.13,160.1%,"[-2349.78% , 210.70%]"
BE.1.2.1,152.2%,"[-2257.03% , 190.46%]"
BA.2.75.5,147.3%,"[-2376.60% , 289.22%]"
BF.25,145.7%,"[-2362.65% , 287.76%]"
XBB.1.5,102.2%,"[-2198.43% , 225.27%]"
BA.5.1.27,-94.2%,"[-3418.85% , 148.26%]"
BA.5.2.9,-80.9%,"[-458.17% , 216.99%]"
BA.5.2.13,-79.7%,"[-3727.98% , 331.36%]"
BE.1.2,-4109.9%,"[-4314.89% , 199.72%]"
BA.5.2.35,-3878.9%,"[-4144.21% , -960.42%]"
BF.10,-3749.8%,"[-3901.84% , -912.31%]"
XBB.1.1,-3732.3%,"[-3839.18% , 188.25%]"
XAS,-372.1%,"[-1639.71% , -260.42%]"
BQ.1.1.7,-3705.0%,"[-3866.90% , 167.64%]"
BF.7.4.1,-3702.0%,"[-3867.59% , -948.00%]"
BA.5.1.30,-3667.5%,"[-3813.62% , -921.99%]"
BF.14,-3592.3%,"[-3927.64% , 202.22%]"
BN.1.3,-314.4%,"[-1761.68% , -201.25%]"
BQ.1.23,-3086.6%,"[-3629.43% , -887.19%]"
CP.2,-3003.7%,"[-3498.51% , -875.97%]"
BQ.1.2,-28.9%,"[-838.75% , 722.51%]"
BF.32,-235.6%,"[-2296.80% , 109.36%]"
BQ.1.12,-21.2%,"[-547.81% , 215.48%]"
BA.5.11,-18.3%,"[-739.37% , 145.56%]"
BQ.1.1.3,-175.1%,"[-2335.34% , 178.60%]"
BF.7,-17.2%,"[-2326.21% , 403.98%]"
BE.1.1,-163.1%,"[-1072.27% , -48.14%]"
BA.5.2.16,-161.9%,"[-1084.69% , -47.06%]"
CR.1,-161.7%,"[-1072.07% , -38.55%]"
BQ.1.10,-161.6%,"[-1072.27% , -44.89%]"
BQ.1.8,-161.4%,"[-1093.56% , -46.94%]"
DF.1,-11.4%,"[-2380.16% , 210.65%]"
BQ.1.14,-10.2%,"[-2324.88% , 191.99%]"
