Lineage,Estimated Advantage,Bootstrap 95% interval
Other,62.5%,"[-264.39% , 464.25%]"
BE.1,60.2%,"[-1005.26% , 322.02%]"
BQ.1.1,56.4%,"[-501.54% , 387.06%]"
BQ.1.1.48,45.0%,"[-501.54% , 447.40%]"
XBB.1.5,329.2%,"[150.63% , 581.30%]"
BQ.1.2,29.5%,"[-780.42% , 389.92%]"
BQ.1.1.40,26.4%,"[-899.59% , 461.90%]"
BQ.1.1.6,25.0%,"[-957.96% , 467.44%]"
BW.1.1,247.8%,"[-803.56% , 282.93%]"
BQ.1.27,202.5%,"[-197.45% , 497.92%]"
XBK,190.7%,"[-641.74% , 216.19%]"
BQ.1.1.4,184.2%,"[-641.74% , 470.53%]"
XBB.1.1,182.7%,"[-632.93% , 205.73%]"
BQ.1.18,181.7%,"[-295.58% , 368.76%]"
BA.5.6,14.1%,"[-722.21% , 488.36%]"
BQ.1.1.44,14.0%,"[-755.10% , 276.68%]"
CJ.1,14.0%,"[-755.10% , 236.73%]"
BQ.1.1.1,14.0%,"[-755.10% , 289.06%]"
BA.5.1.26,14.0%,"[-755.10% , 230.99%]"
BA.5.2,14.0%,"[-755.10% , 408.08%]"
BQ.1.16,14.0%,"[-755.10% , 346.27%]"
XBB.1.9,132.8%,"[-1218.62% , 547.23%]"
BE.1.1,104.1%,"[-872.57% , 363.63%]"
BQ.1.1.15,103.9%,"[-872.57% , 337.11%]"
BM.2.1,103.5%,"[-872.57% , 263.23%]"
BQ.1.12,-971.1%,"[-1099.35% , -718.70%]"
BA.2.35,-924.0%,"[-1044.42% , -684.76%]"
XBE,-906.6%,"[-1026.28% , -673.50%]"
BQ.1.25.1,-892.7%,"[-1011.88% , -663.78%]"
XBB.1.9.1,-889.3%,"[-1008.78% , -661.40%]"
BA.5.2.21,-887.4%,"[-1006.39% , -660.06%]"
BF.14,-852.7%,"[-970.31% , -635.46%]"
CP.4,-819.3%,"[-934.30% , -611.63%]"
BA.2,-44.8%,"[-1061.40% , 357.91%]"
BQ.1.1.18,-333.0%,"[-1419.47% , 310.85%]"
XBB.1.5.1,-282.9%,"[-1168.71% , 189.96%]"
BQ.1.1.13,-271.9%,"[-862.71% , -254.05%]"
BQ.1.19,-24.1%,"[-907.83% , 247.21%]"
XBB.1,-23.7%,"[-1110.49% , 202.24%]"
BQ.1.1.23,-190.4%,"[-950.11% , -91.43%]"
BQ.1.10.1,-178.9%,"[-838.84% , -75.80%]"
XBB.1.5.3,-1521.3%,"[-1521.26% , -721.36%]"
BQ.1.1.30,-133.3%,"[-1020.79% , -3.22%]"
BA.5.3.1,-1201.7%,"[-1280.85% , -686.10%]"
BQ.1.1.25,-114.8%,"[-1115.76% , 7.81%]"
BQ.1.1.10,-102.4%,"[-288.02% , 402.58%]"
