Sample,sample_collection_datetime,viral_load
10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X.tsv,10/13/23,
10.18.23.ENCOCT16.R1__NA__NA__231027_WW__00X.tsv,10/16/23,
10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X.tsv,10/15/23,
10.18.23.PLOCT16.R2__NA__NA__231027_WW__00X.tsv,10/16/23,
10.18.23.SBOCT15.R1__NA__NA__231027_WW__00X.tsv,10/15/23,
10.18.23.SBOCT17.R1__NA__NA__231027_WW__00X.tsv,10/17/23,
10.20.23.PLOCT17.R2__NA__NA__231027_WW__00X.tsv,10/17/23,
10.20.23.PLOCT18.R2__NA__NA__231027_WW__00X.tsv,10/18/23,
10.25.23.ENCOCT19.R2__NA__NA__231027_WW__00X.tsv,10/19/23,
10.25.23.ENCOCT20.R2__NA__NA__231027_WW__00X.tsv,10/20/23,
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X.tsv,10/22/23,
10.25.23.PLOCT23.R2__NA__NA__231027_WW__00X.tsv,10/23/23,
10.25.23.SBOCT19.R1__NA__NA__231027_WW__00X.tsv,10/19/23,
10.25.23.SBOCT24.R1__NA__NA__231027_WW__00X.tsv,10/24/23,
10.27.23.PLOCT24.R2__NA__NA__231027_WW__00X.tsv,10/24/23,
10.27.23.PLOCT25.R1__NA__NA__231027_WW__00X.tsv,10/25/23,
