Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5,86.8%,"[-48.03% , 340.45%]"
BA.5,7.2%,"[-2442.69% , 158.18%]"
BF.32,7.2%,"[-2454.39% , 162.77%]"
BQ.1.1.24,7.2%,"[-2454.04% , 162.01%]"
BQ.1.10,7.2%,"[-2451.33% , 142.45%]"
BU.3,7.2%,"[-2454.04% , 152.58%]"
BA.4,7.2%,"[-2437.21% , 157.95%]"
BQ.1.1.11,63.6%,"[-2379.90% , 172.81%]"
XBB.1.1,59.9%,"[-115.15% , 188.82%]"
CN.2,58.1%,"[-2442.69% , 271.59%]"
BA.5.1.10,58.0%,"[-2446.04% , 253.38%]"
XBB.2,58.0%,"[-2442.69% , 246.82%]"
BE.1.2,53.9%,"[-2434.66% , 162.41%]"
BQ.1.1,52.2%,"[15.95% , 127.17%]"
BQ.1.2,46.6%,"[-230.99% , 255.67%]"
BQ.1.12,43.3%,"[-644.77% , 290.74%]"
CR.1.1,35.8%,"[-2310.18% , 310.22%]"
BE.1.1.1,332.2%,"[-757.28% , 357.66%]"
BQ.1.1.18,242.4%,"[-2216.88% , 256.33%]"
BQ.1.25,221.1%,"[-2192.04% , 288.95%]"
BE.1,209.9%,"[-2182.17% , 240.95%]"
BW.1.1,199.7%,"[-2187.88% , 220.03%]"
BN.1.3.1,184.5%,"[-3626.23% , 223.25%]"
BQ.1.1.28,175.8%,"[-2324.88% , 218.64%]"
BF.7.12,173.5%,"[-2324.88% , 215.97%]"
BQ.1.1.1,15.4%,"[-2295.30% , 158.59%]"
CW.1,149.1%,"[-2351.47% , 195.72%]"
Other,14.1%,"[-136.68% , 74.61%]"
BQ.1.5,138.7%,"[-2310.18% , 414.92%]"
BA.5.1.7,131.6%,"[-2338.10% , 182.53%]"
BQ.1.23,-88.5%,"[-546.27% , 130.61%]"
BQ.1.10.1,-82.2%,"[-3496.64% , 123.94%]"
BQ.1.1.4,-73.3%,"[-160.93% , 169.45%]"
BQ.1.16,-68.6%,"[-424.51% , 97.91%]"
BQ.1.1.3,-68.4%,"[-318.75% , 250.78%]"
BA.5.1.27,-4381.1%,"[-4634.71% , -767.05%]"
BQ.1.1.2,-4379.8%,"[-4617.60% , -766.30%]"
XAS,-3678.8%,"[-3926.86% , -755.07%]"
BN.1.3,-3652.7%,"[-4088.13% , 121.26%]"
BA.5.6.3,-3542.5%,"[-3792.71% , -755.67%]"
BF.26,-3440.6%,"[-3671.30% , -743.66%]"
BE.4,-3398.4%,"[-3625.43% , -755.67%]"
XBE,-3328.4%,"[-3484.44% , 171.99%]"
BQ.1.1.10,-22.6%,"[-420.51% , 292.26%]"
BQ.1.3,-165.4%,"[-1173.29% , 16.35%]"
BM.4,-146.7%,"[-859.80% , -52.56%]"
BQ.1.1.14,-146.6%,"[-848.96% , -54.51%]"
BM.5,-146.2%,"[-876.06% , -47.82%]"
XBB.1.4,-123.3%,"[-1067.47% , 133.50%]"
BQ.1.14,-116.1%,"[-581.23% , 54.16%]"
BQ.1.1.5,-115.8%,"[-354.73% , 5.09%]"
