Lineage,Estimated Advantage,Bootstrap 95% interval
BE.1,98.4%,"[-1483.94% , 268.69%]"
CR.1,97.5%,"[-1344.64% , 369.52%]"
BA.5.2.33,97.3%,"[-1513.61% , 267.33%]"
BA.5.1.30,88.7%,"[-1390.66% , 375.27%]"
BA.5.10,79.1%,"[-1344.64% , 389.28%]"
XBB,78.3%,"[-1457.67% , 239.73%]"
BA.2.78,72.3%,"[-1484.69% , 239.08%]"
BQ.1.23,72.1%,"[-513.47% , 816.17%]"
BA.5.2.21,54.8%,"[-1344.64% , 501.80%]"
BA.2,52.5%,"[-1458.33% , 217.22%]"
CW.1,510.3%,"[-1402.72% , 529.41%]"
BA.4.1.8,470.7%,"[-1405.03% , 491.06%]"
CK.1,420.3%,"[-1183.17% , 455.45%]"
XBE,404.0%,"[-1243.29% , 432.22%]"
BA.5.1.12,387.9%,"[-1183.17% , 548.78%]"
CR.2,340.8%,"[-3.14% , 352.69%]"
BQ.1.2,33.9%,"[-948.59% , 331.73%]"
BN.1.5,320.2%,"[-1183.17% , 338.95%]"
BQ.1.1.3,319.9%,"[-1364.85% , 351.37%]"
BF.10,316.0%,"[-363.27% , 323.77%]"
XBB.1.1,31.0%,"[-948.59% , 236.46%]"
BN.1.3,305.9%,"[193.85% , 534.20%]"
BA.5.2.34,289.4%,"[-1243.29% , 373.88%]"
BA.4.8,269.5%,"[-1223.78% , 365.91%]"
BA.5.2.23,252.7%,"[-1223.78% , 271.62%]"
BF.7.5,24.5%,"[-440.90% , 352.38%]"
BN.1.3.1,222.2%,"[-1225.05% , 244.21%]"
XAS,22.6%,"[-844.78% , 378.96%]"
BF.7.4.1,212.1%,"[-1405.03% , 258.82%]"
BA.5.2.6,20.9%,"[-1165.25% , 803.57%]"
BQ.1.5,199.1%,"[-903.40% , 235.75%]"
BA.5.2.13,19.2%,"[-1440.26% , 618.37%]"
BQ.1.1.13,19.2%,"[-1440.26% , 548.09%]"
BF.7.12,19.2%,"[-1473.34% , 539.25%]"
BA.5.1.1,19.2%,"[-1440.26% , 535.53%]"
BA.5.1.9,19.2%,"[-1473.34% , 535.04%]"
BF.5,19.1%,"[-1473.34% , 424.73%]"
BQ.1.1.8,19.1%,"[-1473.34% , 407.81%]"
BQ.1.3,19.1%,"[-1440.26% , 403.42%]"
BA.5.1.25,19.1%,"[-1473.34% , 465.76%]"
BQ.1.1.7,179.4%,"[-1281.32% , 492.46%]"
BQ.1,154.2%,"[-1457.67% , 649.41%]"
BA.5.2.1,150.1%,"[-1457.67% , 439.60%]"
BA.5.2.24,149.9%,"[-1484.69% , 412.92%]"
BE.1.1,149.7%,"[-1457.67% , 389.49%]"
BQ.1.10,149.6%,"[-1483.94% , 367.50%]"
XBB.1,149.5%,"[-1483.94% , 344.23%]"
BE.1.2.1,149.4%,"[-1457.67% , 331.95%]"
BA.5.2.30,138.1%,"[-1457.67% , 315.50%]"
BN.1,134.8%,"[-1513.61% , 310.26%]"
BA.5.2.37,121.1%,"[-1457.67% , 293.82%]"
BE.1.2,107.6%,"[-592.79% , 352.53%]"
Other,102.4%,"[-0.59% , 175.19%]"
DA.1,-860.5%,"[-2588.84% , 37.30%]"
BQ.1.1.18,-72.9%,"[-1051.11% , 133.81%]"
BA.5.1.26,-71.5%,"[-1088.60% , 129.08%]"
BA.5.1.21,-71.5%,"[-1051.11% , 129.07%]"
BA.5.2.9,-71.5%,"[-1055.35% , 129.02%]"
BA.5,-71.5%,"[-1056.55% , 165.67%]"
BA.5.2.22,-71.4%,"[-1088.20% , 128.70%]"
BA.5.2.35,-71.3%,"[-1088.20% , 165.10%]"
BA.4.6,-71.3%,"[-1051.11% , 165.13%]"
BQ.1.1.14,-71.2%,"[-1088.20% , 77.08%]"
BA.4.6.5,-71.1%,"[-1051.11% , 127.69%]"
BQ.1.15,-71.1%,"[-1088.20% , 127.75%]"
BF.3.1,-71.1%,"[-1051.11% , 127.60%]"
BF.27,-71.1%,"[-1051.11% , 164.63%]"
BF.25,-69.1%,"[-239.15% , 196.89%]"
BF.14,-561.3%,"[-1592.72% , -25.04%]"
BQ.1.1.5,-45.3%,"[-949.30% , 405.26%]"
BF.32,-44.5%,"[-1873.70% , 599.13%]"
CT.1,-36.3%,"[-976.98% , 274.13%]"
BA.5.1.27,-251.1%,"[-2086.72% , 356.42%]"
BQ.1.1.4,-222.7%,"[-2290.69% , 168.23%]"
BA.5.11,-215.7%,"[-1754.65% , -79.85%]"
BA.5.1.22,-2064.8%,"[-2329.12% , -972.88%]"
BA.5.3.1,-1990.1%,"[-2148.33% , -919.00%]"
BQ.1.1.2,-1989.8%,"[-2148.54% , -919.00%]"
XBD,-1981.9%,"[-2094.96% , -950.91%]"
BA.5.1.24,-1978.6%,"[-2090.94% , -919.00%]"
BA.5.5,-1954.4%,"[-2038.90% , -919.00%]"
BF.7,-182.6%,"[-2798.42% , 435.42%]"
BF.2,-151.5%,"[-1314.86% , 9.87%]"
BA.5.1.5,-1501.3%,"[-1991.67% , 133.29%]"
BE.1.1.1,-1440.5%,"[-3072.09% , 261.14%]"
BQ.1.14,-14.6%,"[-691.83% , 284.02%]"
BQ.1.1,-111.5%,"[-277.95% , 156.69%]"
