Sample,sample_collection_datetime,viral_load
1.10.23.ENCJAN05.R2__NA__NA__230112_WW__00X.tsv,01/05/23,
1.10.23.ENCJAN06.R1__NA__NA__230112_WW__00X.tsv,01/06/23,
1.10.23.ENCJAN09.R2__NA__NA__230112_WW__00X.tsv,01/09/23,
1.12.23.PLJAN08.R1__NA__NA__230112_WW__00X.tsv,01/08/23,
1.12.23.PLJAN09.R1__NA__NA__230112_WW__00X.tsv,01/09/23,
1.12.23.PLJAN10.R1__NA__NA__230112_WW__00X.tsv,01/10/23,
1.12.23.PLJAN11.R1__NA__NA__230112_WW__00X.tsv,01/11/23,
1.12.23.SBJAN10.R2__NA__NA__230112_WW__00X.tsv,01/10/23,
