Sample,sample_collection_datetime,viral_load
2.07.23.ENCFEB01.R1__NA__NA__230210_WW__00X.tsv,02/01/23 ,
2.07.23.ENCFEB02.R1__NA__NA__230210_WW__00X.tsv,02/02/23,
2.07.23.ENCUNKN.R1__NA__NA__230210_WW__00X.tsv,02/03/23,
2.09.23.PLFEB05.R1__NA__NA__230210_WW__00X.tsv,02/05/23,
2.09.23.PLFEB06.R1__NA__NA__230210_WW__00X.tsv,02/06/23,
2.10.23.SBFEB02.R1__NA__NA__230210_WW__00X.tsv,02/02/23,
2.10.23.SBFEB05.R1__NA__NA__230210_WW__00X.tsv,02/05/23,
2.10.23.SBFEB07.R1__NA__NA__230210_WW__00X.tsv,02/07/23,
