Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.10,93.3%,"[-964.34% , 188.48%]"
BA.2.10,9.6%,"[-1896.17% , 399.94%]"
BA.2.10.3,87.3%,"[-971.74% , 181.65%]"
XBB.1.38,67.4%,"[-973.57% , 160.25%]"
XBB.1.5.67,6.7%,"[-955.75% , 162.95%]"
XBB.1.5.18,6.7%,"[-943.28% , 162.95%]"
XBB.2.3.2,6.6%,"[-950.01% , 156.16%]"
XBB.1.22,6.6%,"[-943.35% , 136.33%]"
XBB.2.3.11,6.6%,"[-943.40% , 149.39%]"
XBB.1.5.11,6.6%,"[-955.81% , 139.12%]"
XBB.1.5.42,6.6%,"[-943.28% , 124.69%]"
FL.11,6.6%,"[-932.25% , 114.35%]"
FY.4,6.6%,"[-917.73% , 114.10%]"
XBB.1.5.64,6.6%,"[-943.28% , 163.25%]"
XBB.1.9.2,56.9%,"[-971.79% , 398.62%]"
XBB.1.5.32,56.5%,"[-975.76% , 348.66%]"
XBB.1.5.65,56.3%,"[-943.08% , 329.33%]"
FL.2,56.2%,"[-958.64% , 289.42%]"
FG.2,56.2%,"[-958.64% , 308.35%]"
XBB.1.5.4,56.0%,"[-958.97% , 213.73%]"
XBB.1.5,51.5%,"[-895.83% , 542.12%]"
XBB.1.5.43,45.1%,"[-973.59% , 137.83%]"
Other,36.0%,"[-42.66% , 94.49%]"
XBB.1.16.1,3.7%,"[-824.89% , 158.96%]"
XBB.1.5.28,274.5%,"[-893.32% , 286.87%]"
EG.2,263.9%,"[64.00% , 277.00%]"
XBB.1.5.15,25.2%,"[-526.50% , 286.36%]"
FE.1.1,247.8%,"[-893.44% , 271.10%]"
XBB.1.16.6,219.8%,"[-1260.99% , 271.39%]"
XBB.1.5.21,207.2%,"[-1002.08% , 241.07%]"
FU.1,2.8%,"[-475.45% , 181.21%]"
XBB.1.5.23,199.4%,"[-1002.08% , 234.57%]"
XBB.1.22.1,194.8%,"[-978.92% , 230.52%]"
FL.1,190.4%,"[-971.72% , 226.73%]"
XCC,190.0%,"[-1002.08% , 226.13%]"
XBB.1.5.59,186.1%,"[-77.15% , 442.27%]"
XBB.1.22.2,178.7%,"[-997.40% , 216.00%]"
B.1.1.161,167.6%,"[-973.54% , 443.04%]"
XBB.2.3.3,156.4%,"[-969.90% , 257.34%]"
FD.4,137.4%,"[-982.98% , 181.35%]"
FL.10,127.9%,"[-964.22% , 225.12%]"
XBB.1.5.24,118.3%,"[-968.83% , 214.50%]"
XBB.1.13,107.4%,"[-973.54% , 202.61%]"
EG.1,104.1%,"[-885.88% , 213.51%]"
XBB.1.16,-79.7%,"[-2007.52% , 312.84%]"
XBB.1.37,-64.3%,"[-690.53% , 9.25%]"
FL.7,-63.6%,"[-693.24% , 32.44%]"
FW.1,-63.5%,"[-699.76% , 17.72%]"
XBB.1.5.39,-63.3%,"[-696.81% , 17.60%]"
XBB.1.5.56,-63.2%,"[-680.41% , 28.88%]"
XBB.1.16.4,-63.2%,"[-693.24% , 18.68%]"
XBB.1.9.1,-57.4%,"[-631.95% , 63.71%]"
XBB.1.5.66,-40.5%,"[-588.81% , 111.48%]"
XBB.1.5.26,-370.5%,"[-1407.62% , 12.01%]"
XBB.1.5.16,-33.0%,"[-584.95% , 146.11%]"
XBB.1.5.1,-243.0%,"[-1409.49% , 141.77%]"
XBB.1.5.49,-231.9%,"[-338.82% , 313.44%]"
FU.2,-22.9%,"[-1509.37% , 157.21%]"
XBB.1.5.61,-168.7%,"[-1307.26% , 166.97%]"
FY.2,-1636.8%,"[-1801.98% , 186.49%]"
XBB.1.16.2,-1385.0%,"[-1541.31% , -651.17%]"
XBB.1.9,-13.5%,"[-421.83% , 241.67%]"
XBB.1.5.20,-124.3%,"[-2163.57% , 331.50%]"
