Sample,sample_collection_datetime,viral_load
02.12.24.ENCFEB06.R2__NA__NA__240223_WW__00X.tsv,02/06/24,
02.12.24.ENCFEB09.R2__NA__NA__240223_WW__00X.tsv,02/09/24,
02.12.24.PLFEB04.R2__NA__NA__240223_WW__00X.tsv,02/04/24,
02.12.24.PLFEB05.R2__NA__NA__240223_WW__00X.tsv,02/05/24,
02.12.24.PLFEB06.R1__NA__NA__240223_WW__00X.tsv,02/06/24,
02.12.24.PLFEB07.R1__NA__NA__240223_WW__00X.tsv,02/07/24,
02.12.24.SBFEB06.R1__NA__NA__240223_WW__00X.tsv,02/06/24,
02.12.24.SBFEB08.R1__NA__NA__240223_WW__00X.tsv,02/08/24,
02.20.24.ENCFEB13.R1__NA__NA__240223_WW__00X.tsv,02/13/24,
02.20.24.ENCFEB19.R2__NA__NA__240223_WW__00X.tsv,02/19/24,
02.20.24.PLFEB11.R1__NA__NA__240223_WW__00X.tsv,02/11/24,
02.20.24.PLFEB12.R1__NA__NA__240223_WW__00X.tsv,02/12/24,
02.20.24.PLFEB13.R2__NA__NA__240223_WW__00X.tsv,02/13/24,
02.20.24.PLFEB14.R2__NA__NA__240223_WW__00X.tsv,02/14/24,
02.20.24.SBFEB15.R2__NA__NA__240223_WW__00X.tsv,02/15/24,
02.20.24.SBFEB18.R2__NA__NA__240223_WW__00X.tsv,02/18/24,
