Lineage,Estimated Advantage,Bootstrap 95% interval
DT.2,76.6%,"[-1051.11% , 144.21%]"
BQ.1.1.18,60.3%,"[-948.59% , 611.02%]"
XBB.1.5.21,58.1%,"[-231.38% , 402.28%]"
BQ.1.18,52.3%,"[-503.94% , 253.34%]"
XBB.1.5.16,43.2%,"[-957.19% , 485.88%]"
Other,4.7%,"[-296.09% , 83.19%]"
XBB.1.5.14,39.8%,"[-1088.41% , 169.55%]"
XBB.1.5.7,28.3%,"[-1060.64% , 399.82%]"
BA.5,28.3%,"[-1038.83% , 416.42%]"
BE.7,28.3%,"[-1060.64% , 421.22%]"
BN.1.3.1,28.2%,"[-1060.64% , 312.05%]"
BN.1,28.1%,"[-1038.83% , 240.31%]"
XBB.1.9.1,259.7%,"[-903.40% , 268.78%]"
XBB.1.5.17,185.6%,"[-303.78% , 330.02%]"
BQ.1.22,16.1%,"[-621.78% , 224.16%]"
XBB.1.5.3,158.5%,"[90.37% , 295.44%]"
XBB.1.5.4,146.5%,"[-1051.25% , 198.35%]"
BQ.1.1.10,143.3%,"[-1052.24% , 297.58%]"
XBB.1.5.15,-95.3%,"[-272.37% , 530.88%]"
BQ.1.1.6,-5.4%,"[-734.85% , 151.74%]"
XBB.1.5.13,-398.0%,"[-1808.87% , 373.57%]"
BQ.1.1.3,-36.6%,"[-884.62% , 154.02%]"
BE.1,-36.3%,"[-884.62% , 125.41%]"
XBB.1.13,-36.2%,"[-865.46% , 124.52%]"
EM.1,-36.2%,"[-884.62% , 125.05%]"
XBB.1.5.6,-36.2%,"[-884.62% , 124.62%]"
XBB.1.5.2,-36.1%,"[-884.62% , 124.18%]"
BQ.1.1.11,-36.1%,"[-884.62% , 124.06%]"
XBB.1.9,-34.4%,"[-1476.25% , 496.69%]"
XBB.1.5,-320.0%,"[-1814.71% , 97.23%]"
XBB.1.15,-27.7%,"[-734.85% , 153.72%]"
XBB.1.5.20,-23.0%,"[-88.39% , 73.41%]"
BQ.1.1.63,-180.3%,"[-1419.98% , 290.04%]"
CW.1,-1370.9%,"[-1461.48% , -791.84%]"
