Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.11,51.7%,"[-1408.97% , 474.08%]"
XAS,51.5%,"[-1376.17% , 411.36%]"
XBB.1.5.1,51.5%,"[-1376.17% , 406.02%]"
BQ.1.27,51.4%,"[-1426.94% , 327.66%]"
XBB.1.9,51.4%,"[-1422.33% , 373.88%]"
XBB.1.9.2,51.4%,"[-1376.77% , 350.55%]"
XBB.1,432.2%,"[-1295.71% , 454.03%]"
XBB.1.5.15,41.8%,"[-40.39% , 159.19%]"
XBB.1.9.1,337.7%,"[48.12% , 340.21%]"
XBB.1.5.17,22.7%,"[-938.13% , 261.36%]"
XBB.1.5,215.7%,"[-1419.48% , 833.98%]"
BQ.1.1.63,-94.1%,"[-1093.38% , 25.13%]"
XBB.2,-92.0%,"[-1072.07% , 31.88%]"
BQ.1.1.56,-92.0%,"[-1108.86% , 38.30%]"
CW.1,-91.9%,"[-1057.30% , 21.17%]"
BM.2.1,-91.9%,"[-1081.91% , 26.95%]"
Other,-86.5%,"[-146.32% , -55.35%]"
XBB.1.5.16,-614.1%,"[-1655.90% , -566.55%]"
XBB.1.5.13,-381.9%,"[-1975.32% , 114.64%]"
XBB.1.13,-263.8%,"[-2235.27% , -26.42%]"
XBL,-23.2%,"[-1384.08% , 179.78%]"
XBB.1.1,-23.1%,"[-1400.24% , 171.53%]"
BQ.1.1.6,-23.0%,"[-906.91% , 187.26%]"
BQ.1.1.10,-2289.5%,"[-2412.62% , -957.76%]"
XBB.1.5.7,-21.1%,"[-911.89% , 300.07%]"
XBB.6,-1910.0%,"[-2116.78% , -910.19%]"
XBB.1.5.21,-19.2%,"[-644.23% , 286.65%]"
BQ.1.1.22,-1785.5%,"[-1951.27% , -886.10%]"
XBB.1.5.20,-10.1%,"[-165.14% , 184.05%]"
XBB.1.5.3,-10.1%,"[-811.54% , 461.71%]"
