	summarized	lineages	abundances	resid	coverage
12.01.22.PLNOV29.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.5775193954628914), ('BA.5* [Omicron (BA.5.X)]', 0.27173611138991816), ('Other', 0.042459084858597645), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.041892239262827716), ('Omicron', 0.012192250685267754)]	BQ.1.1 BQ.1.2 BQ.1.1.5 XBB.1 BQ.1.1.3 BN.1.5 BW.1.1 BF.32 BE.1 BA.5.1.12 BQ.1.1.7 BK.1 BQ.1.5 XBB.1.5 BE.1.2 BA.5.11 BF.7.5 BF.14 BQ.1.1.23 XBE BQ.1.1.4 BA.5.1.7 BQ.1.3 BF.5 BE.1.2.1 BF.7.4.1 BQ.1.23 BA.5.2.23 CR.1.1 BA.5.2.14 BQ.1.1.10 BF.11.1 BF.30 BQ.1.1.15 BQ.1.1.25 BQ.1.18 DJ.1.1 CA.3.1 BE.1.4.3 BA.4.6.2 BA.5.2.32 BA.5.2.13 BA.5.1.21 BE.1.4.4 CY.1 BT.2 BN.1.8 BA.5.1.5 BA.5.1.3 BE.1.4.2 BN.1.3.1 CZ.1 BQ.1.9 CA.7 CR.2 BQ.1.1.21 BQ.1.1.6 DF.1 XBB.3.1 BQ.1.17 BE.2 BA.5.1.6 BA.5.5.1 BA.5.1.27 BA.5.9 DE.2 DC.1 BF.1 BF.7.3 CK.1 CP.1.1 BA.5.2.39 BF.19 XBB.2 BQ.1.8.2 BF.16 BA.5.1.9 BA.5.2.35 BA.5.2.12 XBH BA.5.1.30 BF.10 BM.6 BY.1.1 BQ.1.1.11 CP.3 BA.5.1.11 BN.1.2 BQ.1.1.2 BA.5.2.29 CP.4 BA.5.1.2 BF.7.5.1 BN.1.7 DE.1 BR.2.1 BF.7.7 BA.2.75.8 BF.31.1 BQ.1.25 BA.5.6 BQ.1.10.1 BQ.1.1.26 BA.5.1.16 BJ.1 BA.5.2.33 BQ.1.1.24 BF.7.13.1 BA.4.1.3 BA.4.1.7 BF.7.4.2 BA.5.2.5 BA.4.1.8 BL.4 BA.5.2.43 BE.8 BQ.1.16 BA.5.2.28 BA.5.1.31 BE.1.3 BQ.1.1.1 CH.1.1.2 BQ.1.1.18 BU.1	0.35771709 0.07631150 0.02867640 0.02847203 0.02294410 0.01792134 0.01669559 0.01646547 0.01473318 0.01383203 0.01164058 0.01111070 0.00954012 0.00949920 0.00895048 0.00887091 0.00843092 0.00832623 0.00800339 0.00760673 0.00699913 0.00687086 0.00677820 0.00626090 0.00598033 0.00588693 0.00547945 0.00523644 0.00497512 0.00458447 0.00454541 0.00437862 0.00433910 0.00415028 0.00397000 0.00392076 0.00380771 0.00377702 0.00365408 0.00351748 0.00346514 0.00342555 0.00338261 0.00337409 0.00335790 0.00323033 0.00322606 0.00319100 0.00317965 0.00288634 0.00286160 0.00282829 0.00276010 0.00270648 0.00267367 0.00266180 0.00263479 0.00258739 0.00253958 0.00253736 0.00249299 0.00247875 0.00245678 0.00245638 0.00240848 0.00238150 0.00230326 0.00229339 0.00228216 0.00224871 0.00224714 0.00212586 0.00206612 0.00194828 0.00192482 0.00188649 0.00187675 0.00185389 0.00178940 0.00175747 0.00174395 0.00173261 0.00169093 0.00164579 0.00164142 0.00163399 0.00159781 0.00157785 0.00152753 0.00151322 0.00148551 0.00148368 0.00147864 0.00147306 0.00146438 0.00145907 0.00145875 0.00143408 0.00141324 0.00140798 0.00139460 0.00132796 0.00127832 0.00126727 0.00124481 0.00117992 0.00117753 0.00117647 0.00113766 0.00113551 0.00112803 0.00111766 0.00109606 0.00109512 0.00108988 0.00108519 0.00108508 0.00108204 0.00106059 0.00105211 0.00103603 0.00102384 0.00101398 0.00100129	9.45849036124038	98.71584790823663
11.30.22.ENCNOV24.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.43155006843393234), ('BA.5* [Omicron (BA.5.X)]', 0.34164628478651443), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0739066823227839), ('Omicron', 0.06609506515163666), ('Other', 0.02317888398684055)]	BQ.1.1 BQ.1.2 BN.1.3 BE.1.2 BQ.1.1.4 XAS BA.5.2.35 BQ.1.1.3 BF.14 BF.10 BQ.1.1.7 XBB.1.1 BF.7.4.1 BF.32 BA.5.1.30 BA.5.2.13 BQ.1.1.5 BQ.1.23 CP.2 BA.4.1.5 BA.5.1.27 CK.1 BQ.1.3 DJ.1.1 BA.5.6.3 BA.5.1.11 BQ.1.1.15 BF.7.5 BF.7.3 BA.5.1.28 BA.5.6 BE.1.1 BQ.1.1.21 BA.5.1.21 BA.5.2.20 BA.5.2.1 CP.1.1 BA.5.2.11 BN.1.4 BQ.1.1.10 BA.5.1.25 BA.5.11 BA.5.1.12 BW.1.1 CC.1 CR.2 BQ.1.1.1 XAJ BN.1.3.1 BF.11 BQ.1.17 BQ.1.13 BN.1.7 BT.2 XBB.3.1 DE.1 BQ.1.1.24 CP.4 BQ.1.1.2 CZ.1 DF.1 BK.1 BA.5.2.33 BF.7.4.2 BA.4.1.1 DK.1 BQ.1.1.11 BF.11.1 BY.1.1 BA.2.10.4 BA.2.79.1 BA.4.1.7 BA.5.1.16 BA.5.1.7 BF.17 BA.5.1.15 BF.31 XBG BA.4.1.4 BF.8 BQ.1.1.23 BQ.1.8.2 BQ.1.16 BA.2.75.8 DG.1 XY BQ.1.25 BA.5.1.3 BF.4 CP.3 BQ.1.9 BQ.1.1.25 BQ.1.1.26 BN.3	0.18566073 0.08035842 0.06169468 0.05591698 0.04921620 0.04332060 0.03745769 0.02283980 0.02160820 0.02149450 0.02133939 0.02100260 0.01886560 0.01735750 0.01732361 0.01697120 0.01648460 0.01242240 0.01034390 0.00987138 0.00957219 0.00594907 0.00541942 0.00532777 0.00517909 0.00510884 0.00496562 0.00482154 0.00480000 0.00463906 0.00463248 0.00444711 0.00442022 0.00434395 0.00431785 0.00413198 0.00390795 0.00354123 0.00340184 0.00332226 0.00328489 0.00325959 0.00321787 0.00305015 0.00303107 0.00290871 0.00278225 0.00277897 0.00266086 0.00261039 0.00255404 0.00241031 0.00233584 0.00227158 0.00217628 0.00214306 0.00206657 0.00202315 0.00198661 0.00197965 0.00190870 0.00188781 0.00187003 0.00174064 0.00165136 0.00163961 0.00163232 0.00161904 0.00161486 0.00159609 0.00159216 0.00148046 0.00145104 0.00141823 0.00140647 0.00137741 0.00137183 0.00137091 0.00128935 0.00124054 0.00123804 0.00121845 0.00121665 0.00119372 0.00115286 0.00114379 0.00112765 0.00112558 0.00111235 0.00110400 0.00110116 0.00108837 0.00105932 0.00100488	10.539837632686305	98.79276326789955
11.30.22.ENCNOV25.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.4101387034088182), ('BA.5* [Omicron (BA.5.X)]', 0.35648787621883876), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.08167278492622661), ('Omicron', 0.068235409076673), ('Other', 0.015538425179918368)]	BQ.1.1 BF.7 BN.1.3 BQ.1.1.3 BE.1.1 XAS BA.5.2.9 BF.32 BA.5.2.16 BQ.1.2 CR.1 BQ.1.12 BQ.1.10 XBB.1.5 BQ.1.8 BU.2 BA.4.6.5 CT.1 BA.5.1.25 BA.5.2.12 BA.5.11 BF.11 BQ.1.1.5 BA.5.10 BA.5.6.2 BF.7.5 BA.5.1.7 BQ.1.10.1 BQ.1.1.14 BA.5.1.28 BQ.1.1.7 BA.4.6 BN.1.8 BK.1 BQ.1.8.2 BN.1.3.1 BE.5 BQ.1.1.21 BA.4.8 BN.1.4 BQ.1.1.13 BQ.1.1.15 BQ.1.1.2 BQ.1.1.10 BA.4.6.2 BA.4.1.1 BA.5.2.35 CZ.1 DE.1 BF.7.4.2 BF.7.3 BA.5.2.21 CP.1.1 BF.14 CR.2 BQ.1.9 BF.7.7 CP.4 BJ.1 CQ.1.1 BF.7.4.1 BQ.1.1.1 BE.2 BA.2.59 DE.2 BA.2.10.4 BF.7.11 BA.5.5.2 BA.5.9 CP.3 BA.5.1.9 BF.34 BF.16 BA.5.1.30 BA.5.1.16 DK.1 CP.2 CQ.2 BA.4.1.4 BA.5.1.18 CP.1.3 BQ.1.1.25 BQ.1.5 BQ.1.1.11 BQ.1.8.1 BF.7.5.1 XJ BA.5.3.2 DC.1 BA.4.1.3 BN.1.7 XBB.1 BE.1.4.1 BA.4.1.7 BQ.1.18 BF.22 BQ.1.1.6 BA.5.2.7 BA.2.75.8 BA.5.2.8 BF.26 BQ.1.1.26 BT.2 BA.5.2.33 BF.13 DB.2 BF.19 BQ.1.16 BY.1.1 BA.5.5.1	0.22402317 0.06805904 0.06492453 0.06025860 0.04262433 0.03159395 0.02498160 0.02109546 0.02016224 0.01866100 0.01627081 0.01558923 0.01486732 0.01427490 0.01078437 0.00983825 0.00958887 0.00922481 0.00898044 0.00855877 0.00840469 0.00836196 0.00816866 0.00812783 0.00751636 0.00652028 0.00647994 0.00627247 0.00605240 0.00588235 0.00562253 0.00546683 0.00544436 0.00540714 0.00470040 0.00443718 0.00382062 0.00376519 0.00350254 0.00340227 0.00336730 0.00333834 0.00330947 0.00315128 0.00301681 0.00285498 0.00265526 0.00260754 0.00255028 0.00251099 0.00248793 0.00240956 0.00240871 0.00220940 0.00210355 0.00209390 0.00204695 0.00202782 0.00198484 0.00195937 0.00186872 0.00184680 0.00183091 0.00182648 0.00177809 0.00177648 0.00176452 0.00171611 0.00162946 0.00160659 0.00157776 0.00157294 0.00155620 0.00155142 0.00152109 0.00148873 0.00148018 0.00147143 0.00146396 0.00146389 0.00144723 0.00140352 0.00140147 0.00139738 0.00138313 0.00137536 0.00134154 0.00132096 0.00129383 0.00127665 0.00127429 0.00126353 0.00125616 0.00124765 0.00123244 0.00122334 0.00121360 0.00119037 0.00117800 0.00116266 0.00112441 0.00112366 0.00109529 0.00106584 0.00105995 0.00105856 0.00102719 0.00101480 0.00101215 0.00100452	9.700626079735084	98.87636691970705
12.01.22.PLNOV27.R1__NA__NA__221201_WW__00X.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.6292123058606484), ('BQ.1* [Omicron (BQ.1.X)]', 0.2551857743580984), ('Other', 0.0299779020291658), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.027590043744523833), ('Omicron', 0.0029240799978403195)]	DF.1 BQ.1.1 BA.5.11 BQ.1.12 BQ.1.2 BE.1.2 BA.5.1.27 BQ.1.14 BQ.1.3 BN.1.5 BQ.1.16 BA.5.2.9 BQ.1.1.7 BE.1.2.1 BA.5.1.21 XBB.1.5 CN.1 BQ.1.1.18 BF.7.5 BQ.1.1.3 BQ.1.10.1 XBB.4 BF.7.4.1 XBB.2 BF.10 BQ.1.1.15 BN.1.3.1 BQ.1.5 XBE XBB.1.1 CP.2 BQ.1.1.10 BQ.1.1.4 BW.1.1 XBB.1 CB.1 CW.1 XBB.3 BA.5.1.5 BQ.1.1.13 BQ.1.17 BQ.1.1.5 BK.1 CP.1.1 BQ.1.22 CZ.1 BT.2 BA.5.1.6 CR.2 BN.1.2 BE.2 BA.5.1.9 BE.1.4.3 BF.16 BQ.1.18 XBB.3.1 BQ.1.1.25 BQ.1.1.17 BF.7.5.1 BA.5.2.40 CC.1 BQ.1.1.2 BQ.1.1.9 BA.5.2.5 BF.11.2 BQ.1.1.6 BF.14 BA.4.6.3 BQ.1.1.11 BA.2.75.8 BM.6 DE.2 BA.5.1.16 BA.5.2.25 BQ.1.8.2 BQ.1.15 BA.5.2.35 BN.3 BF.31.1 BA.5.2.43 BA.5.1.31 BQ.1.1.21 BF.7.13.2 CA.5 BN.1.7 BQ.1.1.24 BF.7.3 BN.1.9 BQ.1.24 BA.5.1.15 BA.5.2.32 BF.9 BQ.1.9 CY.1 XAZ BF.7.7 BF.19 CR.1.1 BQ.1.23 BF.13 BQ.1.1.23	0.42618700 0.08076625 0.06151134 0.03350760 0.02820190 0.01521243 0.01145440 0.01120450 0.01111740 0.00907344 0.00855441 0.00780234 0.00725829 0.00701845 0.00692256 0.00677273 0.00674663 0.00633357 0.00612593 0.00555498 0.00533333 0.00523060 0.00499130 0.00495704 0.00486321 0.00431499 0.00410470 0.00405729 0.00395974 0.00394311 0.00393293 0.00391158 0.00387466 0.00369514 0.00363658 0.00346176 0.00330751 0.00323538 0.00320650 0.00317072 0.00297515 0.00273446 0.00266041 0.00260535 0.00252279 0.00250007 0.00249278 0.00244880 0.00244815 0.00243067 0.00240645 0.00237244 0.00234580 0.00229115 0.00222193 0.00220246 0.00216189 0.00211864 0.00209837 0.00200542 0.00193244 0.00189206 0.00188225 0.00186247 0.00184974 0.00182193 0.00179737 0.00177860 0.00174886 0.00164359 0.00162656 0.00154819 0.00153441 0.00153343 0.00152181 0.00147998 0.00145397 0.00144705 0.00140692 0.00137580 0.00134300 0.00134017 0.00132640 0.00129663 0.00129513 0.00125789 0.00121431 0.00121052 0.00120475 0.00120156 0.00119673 0.00118483 0.00116367 0.00116038 0.00114548 0.00114387 0.00113051 0.00112343 0.00108814 0.00108752 0.00108034	12.166240972453464	99.2341905494432
12.01.22.PLNOV30.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.472360754883794), ('BA.5* [Omicron (BA.5.X)]', 0.3746678897617215), ('Other', 0.045727515565282095), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.04048223676810044), ('Omicron', 0.00515035004400235)]	BQ.1.1 BE.1.1.1 BQ.1.1.4 XBB.2 BQ.1.1.5 XBE BF.7 BE.1 BQ.1.10.1 BF.7.5 BW.1.1 BA.5.1.5 XBB.1.5 BE.1.2 BA.5.1.12 BQ.1.13 BN.1.3.1 BF.14 BV.2 BN.1.5 BQ.1.25 BE.1.2.1 DJ.1.1 XBB.1.1 BQ.1.1.2 BF.11 BF.10 BQ.1.1.10 BQ.1.1.15 BA.5.2.9 BQ.1.1.6 BQ.1.18 BQ.1.3 BQ.1.1.19 BA.5.1.3 CP.1.3 BQ.2 BQ.1.1.23 BA.5.1.7 BN.1.3 BA.5.1.26 BF.7.5.1 BA.5.2.23 BF.22 BF.7.4.1 BQ.1.1.3 CR.1.1 BQ.1.9 BQ.1.1.21 BF.13 BA.5.1.24 BN.1.2 DE.2 BQ.1.1.17 BF.19 BF.16 XBB.3.1 BA.5.1.28 BN.1.7 XBF BQ.1.1.1 BF.25 BK.1 BA.5.1.1 BF.7.7 BA.5.1.27 CP.5 BA.5.1.29 DE.1 BE.3 BQ.1.8 BA.5.2.5 XBB.4 DF.1 BN.1.4 CZ.1 CH.1.1.2 CP.4 BQ.1.16 BE.1.4.2 XBB.5 BA.5.2.32 BY.1.1 BA.5.1.9 BF.7.4.2 BQ.1.1.24 BL.1.1 BU.2 BA.5.1.10 BQ.1.1.25 BF.7.3 BQ.1.1.9 BQ.1.8.2 BA.5.1.15 BA.5.1.30 BA.5.1.16 BN.3 BA.2.75.8 BS.1.1 BF.21 BQ.1.1.26 CP.1.1 CK.1 BN.1.8 BF.9 BU.3 BA.5.1.31 BA.5.2.4 BF.7.11 BA.5.1.2 BA.5.2.29 BQ.1.1.18 BF.26 BE.1.4.1 BQ.1.1.11 XAS DG.1 DK.1 BF.31.1 BE.2	0.29742497 0.08190698 0.04385960 0.01929325 0.01927806 0.01904440 0.01895864 0.01845221 0.01764760 0.01426456 0.01366423 0.01321957 0.01230230 0.01077506 0.01071326 0.01011417 0.00991850 0.00975266 0.00972666 0.00958384 0.00855903 0.00793056 0.00770076 0.00750836 0.00733318 0.00702727 0.00656260 0.00573169 0.00566006 0.00562404 0.00545599 0.00488630 0.00478317 0.00473995 0.00469736 0.00441005 0.00433487 0.00428719 0.00426829 0.00425585 0.00420374 0.00409674 0.00406372 0.00400588 0.00396440 0.00381787 0.00359959 0.00347553 0.00346388 0.00325115 0.00318681 0.00308037 0.00307809 0.00305935 0.00297075 0.00291527 0.00290759 0.00288610 0.00281889 0.00278462 0.00258689 0.00254745 0.00251995 0.00251454 0.00250748 0.00239082 0.00234305 0.00231637 0.00227906 0.00224196 0.00221986 0.00215714 0.00209418 0.00205631 0.00205089 0.00204918 0.00177305 0.00176779 0.00167436 0.00166147 0.00162183 0.00161678 0.00161377 0.00159420 0.00158932 0.00157367 0.00156631 0.00143806 0.00143502 0.00142440 0.00141919 0.00138114 0.00137350 0.00137321 0.00134557 0.00133869 0.00133729 0.00130145 0.00129116 0.00126545 0.00124310 0.00122649 0.00121146 0.00118203 0.00114818 0.00114058 0.00113533 0.00113050 0.00112961 0.00112432 0.00111230 0.00110283 0.00109875 0.00108916 0.00108736 0.00107457 0.00106887 0.00106688 0.00105419 0.00102299	10.27275235835631	99.05695080761127
12.01.22.PLNOV28.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.5839705849065617), ('BA.5* [Omicron (BA.5.X)]', 0.27102413889917665), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.029689061503388486), ('Other', 0.024833151996621), ('Omicron', 0.024241538618597677)]	BQ.1.1 BQ.1.2 CK.1 BQ.1.12 BQ.1.1.18 BA.5.3.1 BE.1.2 BQ.1.1.4 BQ.1.3 BN.1.3.1 BA.5.1.12 CW.1 XBB.2 BF.7.5 BQ.1.1.5 CR.2 BW.1.1 XBB.1.1 BQ.1.16 BF.14 BQ.1.1.7 BA.5.1.7 BQ.1.14 BF.26 BA.4.6.2 BQ.1.1.10 BE.1.2.1 DJ.1 BA.5.2.34 BF.10 BA.5.2.35 BF.3 BR.2.1 BA.5.9 BQ.1.10.1 BQ.1.1.6 BA.2.22 BA.4.1.3 BQ.1.8.2 BW.1 BE.1.4.2 BQ.1.13 BN.3.1 BQ.1.1.21 BF.24 BQ.1.17 BA.5.1.22 BF.13 DF.1 BE.1.1.2 BF.19 BQ.1.1.15 BA.5.2.24 XBB.1.5 BQ.1.1.1 XBB.3.1 BQ.1.1.3 BF.3.1 BK.1 BY.1.1 BA.5.2.32 BE.1.4.3 BF.32 BA.2.10.4 BF.7.5.1 BA.5.1.6 CC.1 BA.5.1.9 BQ.1.1.11 CA.7 DE.2 BF.7.7 XBH BM.6 BQ.1.25 BQ.1.8.1 BQ.1.10 BA.5.1.11 DJ.1.1 BE.2 BQ.1.24 BA.2.75.8 BA.5.1.29 BQ.1.1.2 DC.1 BF.7.3 BA.5.5.1 CP.1.1 BF.31.1 BQ.1.1.23 BF.7.11 BN.1.7 BF.7.4.1 DG.1 BA.5.6.3 BA.5.2.27 BA.5.2.10 CZ.1 BA.5.1.15 BE.8 BQ.1.1.26 BV.2 XBE DE.1 BA.5.1.16 BA.2.38.2 CE.1 BQ.1.9 BA.5.2.39 BF.11.2 BA.5.1.31 BF.7.9 BQ.1.1.20 DK.1 BA.5.1.3 BQ.1.1.25 BA.5.2.23 XBB.1.3 CK.3 XBB.5 XAZ BJ.1 BQ.1.1.8	0.24524886 0.16600200 0.04645108 0.02186220 0.02160280 0.01834323 0.01672598 0.01503760 0.01487590 0.01065890 0.01039207 0.01009156 0.00935966 0.00893020 0.00890745 0.00881973 0.00788542 0.00752522 0.00698674 0.00667921 0.00612502 0.00601069 0.00590253 0.00572600 0.00568161 0.00538691 0.00515993 0.00512985 0.00508873 0.00486468 0.00469506 0.00457600 0.00451250 0.00449102 0.00447917 0.00444527 0.00428135 0.00425887 0.00425444 0.00412271 0.00385175 0.00382859 0.00379990 0.00374635 0.00343429 0.00341630 0.00329559 0.00327793 0.00315700 0.00315427 0.00307581 0.00306136 0.00298834 0.00289902 0.00287238 0.00284272 0.00278649 0.00274332 0.00272983 0.00267931 0.00265523 0.00262235 0.00261478 0.00258795 0.00244560 0.00240933 0.00239284 0.00238655 0.00237166 0.00226620 0.00221711 0.00218377 0.00217865 0.00216920 0.00211784 0.00211746 0.00201377 0.00201230 0.00201063 0.00196984 0.00192012 0.00191478 0.00188605 0.00185090 0.00183361 0.00182674 0.00182192 0.00181812 0.00178578 0.00175475 0.00169455 0.00168827 0.00167172 0.00165731 0.00161782 0.00160907 0.00160066 0.00157042 0.00152263 0.00151313 0.00149184 0.00143953 0.00143417 0.00139346 0.00135661 0.00131024 0.00130239 0.00127574 0.00126431 0.00125055 0.00124302 0.00120935 0.00120613 0.00119721 0.00117773 0.00115469 0.00112729 0.00112662 0.00108017 0.00107991 0.00107360 0.00103566 0.00100813	10.757650429308441	99.1940607965756
11.30.22.ENCNOV29.R1__NA__NA__221201_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.46690270967898523), ('BA.5* [Omicron (BA.5.X)]', 0.32516462313960076), ('Other', 0.06535447921505004), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.06388874974827784), ('Omicron', 0.017958257763613684)]	BQ.1.1 BF.7 XBB.1 BA.5.2.13 BQ.1.1.4 CK.1 BA.2.75.5 BF.25 BA.5.1.12 BQ.1.1.3 BA.5.2.9 BN.1.5 CW.1 BA.5.1.27 BQ.1.1.5 BQ.1.3 CC.1 BA.5.1.24 BM.4 XBB.1.1 BQ.1.1.15 BF.4 BA.2.10.3 BF.32 BQ.1.17 BA.4.6.3 BF.7.5 BA.4.6.2 BQ.1.16 BQ.1.1.1 BQ.1.1.10 XBE CK.2.1.1 BQ.1.25 BN.1.3.1 BF.7.6 BQ.1.1.21 BF.16 BN.4 CR.2 XBB.1.5 BA.5.5.1 BQ.1.1.17 BF.10 BF.21 CY.1 BQ.1.1.2 BA.5.2.40 XBB.3.1 BF.17 CZ.1 BN.1.7 DH.1 BE.8 DE.2 BQ.1.9 BA.5.2.4 BN.1.2 BA.5.10 DG.1 BF.11.5 BV.2 BA.5.1.30 BQ.1.1.26 DE.1 BF.14 BA.4.1.3 BA.5.1.15 BA.5.1.22 DK.1 BA.2.75.8 BA.5.6 BN.5 BF.7.4.1 BQ.1.21 DJ.1.1 BF.7.12 BA.5.1.16 BM.2.1 BF.7.5.1 DC.1 BF.8 XBB.1.3	0.33428873 0.08361128 0.05313460 0.04286190 0.03710250 0.03119102 0.02845917 0.02800995 0.02245435 0.01882880 0.01825160 0.01579172 0.01523409 0.01056430 0.00917629 0.00867747 0.00840336 0.00779699 0.00698179 0.00670690 0.00647705 0.00625000 0.00549547 0.00537657 0.00526725 0.00514681 0.00507067 0.00503637 0.00497794 0.00477570 0.00411463 0.00380246 0.00365982 0.00365139 0.00315284 0.00308325 0.00299815 0.00299195 0.00283522 0.00266139 0.00265319 0.00262123 0.00230061 0.00228319 0.00217108 0.00211528 0.00206747 0.00199845 0.00183150 0.00182017 0.00178168 0.00170184 0.00166144 0.00165700 0.00161308 0.00159254 0.00157244 0.00156331 0.00155141 0.00146341 0.00134599 0.00133684 0.00128232 0.00125853 0.00125659 0.00124097 0.00123249 0.00119689 0.00119629 0.00118332 0.00116064 0.00115889 0.00115473 0.00115270 0.00114856 0.00111737 0.00110619 0.00109881 0.00108749 0.00105960 0.00104712 0.00104613 0.00102829	9.733687809291567	97.10062535531551
