Sample,sample_collection_datetime,viral_load
01.22.24.ENCJAN16.R2__NA__NA__240126_WW__00X.tsv,01/16/24,
01.22.24.ENCJAN17.R2__NA__NA__240126_WW__00X.tsv,01/17/24,
01.22.24.PLJAN14.R1__NA__NA__240126_WW__00X.tsv,01/14/24,
01.22.24.PLJAN15.R2__NA__NA__240126_WW__00X.tsv,01/15/24,
01.22.24.PLJAN16.R1__NA__NA__240126_WW__00X.tsv,01/16/24,
01.22.24.PLJAN17.R1__NA__NA__240126_WW__00X.tsv,01/17/24,
01.22.24.SBJAN16.R1__NA__NA__240126_WW__00X.tsv,01/16/24,
01.22.24.SBJAN18.R1__NA__NA__240126_WW__00X.tsv,01/18/24,
1.16.24.ENCJAN08.R2__NA__NA__240126_WW__00X.tsv,01/08/24,
1.16.24.ENCJAN12.R2__NA__NA__240126_WW__00X.tsv,01/12/24,
1.16.24.PLJAN07.R2__NA__NA__240126_WW__00X.tsv,01/07/24,
1.16.24.PLJAN08.R2__NA__NA__240126_WW__00X.tsv,01/08/24,
1.16.24.PLJAN09.R2__NA__NA__240126_WW__00X.tsv,01/09/24,
1.16.24.PLJAN10.R2__NA__NA__240126_WW__00X.tsv,01/10/24,
1.16.24.SBJAN11.R2__NA__NA__240126_WW__00X.tsv,01/11/24,
1.16.24.SBJAN14.R2__NA__NA__240126_WW__00X.tsv,01/14/24,
