Sample,sample_collection_datetime,viral_load
7.14.23.PLJUL12.R1__NA__NA__230901_WW__00X.tsv,7/12/23,
7.19.23.ENCJUL14.R1__NA__NA__230901_WW__00X.tsv,7/14/23,
7.19.23.ENCJUL17.R1__NA__NA__230901_WW__00X.tsv,7/17/23,
7.19.23.PLJUL16.R1__NA__NA__230901_WW__00X.tsv,7/16/23,
7.19.23.PLJUL17.R1__NA__NA__230901_WW__00X.tsv,7/17/23,
7.19.23.SBJUL13.R1__NA__NA__230901_WW__00X.tsv,7/13/23,
7.19.23.SBJUL16.R2__NA__NA__230901_WW__00X.tsv,7/16/23,
8.11.23.PLAUG08.R1__NA__NA__230901_WW__00X.tsv,8/08/23,
8.30.23.ENCAUG23.R1__NA__NA__230901_WW__00X.tsv,8/23/23,
8.30.23.ENCAUG28.R2__NA__NA__230901_WW__00X.tsv,8/28/23,
8.30.23.PLAUG27.R2__NA__NA__230901_WW__00X.tsv,8/27/23,
8.30.23.PLAUG28.R2__NA__NA__230901_WW__00X.tsv,8/28/23,
8.30.23.SBAUG27.R1__NA__NA__230901_WW__00X.tsv,8/27/23,
8.30.23.SBAUG29.R1__NA__NA__230901_WW__00X.tsv,8/29/23,
9.01.23.PLAUG29.R1__NA__NA__230901_WW__00X.tsv,8/29/23,
9.01.23.PLAUG30.R1__NA__NA__230901_WW__00X.tsv,8/30/23,
