Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.2,95.6%,"[-1341.71% , 209.74%]"
FL.4,72.1%,"[-1218.96% , 336.73%]"
XBB.1.9.1,71.9%,"[-402.73% , 342.69%]"
XBB.1.5,59.7%,"[-2881.02% , 850.55%]"
XBB.2.3.2,426.6%,"[-1371.07% , 453.20%]"
XBB.1.5.49,340.5%,"[0.01% , 352.74%]"
XBB.1.5.15,285.0%,"[44.70% , 300.66%]"
XBB.1.16.1,282.8%,"[-48.47% , 299.74%]"
XBB.1.16,256.4%,"[-535.40% , 272.80%]"
XBB.1.5.10,239.0%,"[-1296.51% , 264.34%]"
XBB.1.5.1,213.1%,"[-57.82% , 279.84%]"
XBB.1,161.7%,"[-1381.54% , 381.04%]"
XBB.1.5.24,149.2%,"[-1371.07% , 196.13%]"
XBB.1.5.37,143.5%,"[-1356.87% , 259.95%]"
XBB.1.5.16,134.1%,"[-1269.58% , 491.89%]"
FL.2.1,112.9%,"[-1328.20% , 226.44%]"
XBB.1.5.32,0.0%,"[-1332.30% , 172.36%]"
XBB.1.5.48,0.0%,"[-1346.67% , 161.57%]"
XBB.1.9.2,0.0%,"[-1312.49% , 181.12%]"
XBB.1.5.31,0.0%,"[-1298.79% , 161.55%]"
EG.2,0.0%,"[-1326.22% , 154.45%]"
XBB.1.5.12,0.0%,"[-1341.83% , 144.85%]"
FL.5,0.0%,"[-1335.22% , 151.03%]"
FL.2,0.0%,"[-1326.22% , 151.65%]"
XBB.1.5.26,0.0%,"[-1298.78% , 146.88%]"
XBB.2.3.6,0.0%,"[-1326.26% , 144.59%]"
XBB.2.4,0.0%,"[-1337.06% , 169.96%]"
B.1.1.161,-65.5%,"[-3012.68% , 2508.77%]"
Other,-32.3%,"[-97.31% , 47.29%]"
XBB.1.5.2,-2648.1%,"[-2657.40% , 156.27%]"
XBB.1.9.4,-2615.1%,"[-2910.32% , -10.69%]"
XBB.1.5.42,-2587.1%,"[-2639.64% , -778.35%]"
XBB.1.5.40,-2190.5%,"[-2418.99% , 0.07%]"
XBB.1.22.2,-2140.6%,"[-2264.31% , 226.90%]"
XBB.1.13,-2112.4%,"[-2213.97% , -749.02%]"
XBB.1.5.13,-1957.5%,"[-2246.47% , -753.71%]"
XBB.1.5.35,-192.0%,"[-2283.36% , 235.74%]"
XBB.1.5.27,-1889.1%,"[-2243.35% , -0.02%]"
XBB.1.5.20,-18.1%,"[-2982.78% , 427.54%]"
XBB.1.5.28,-136.3%,"[-2268.12% , 26.75%]"
XBB.1.5.11,-0.1%,"[-1985.00% , 224.31%]"
XBB,-0.0%,"[-1327.81% , 170.54%]"
XBB.2.3,-0.0%,"[-1296.57% , 170.16%]"
FL.3,-0.0%,"[-1296.51% , 105.39%]"
