Sample,sample_collection_datetime,viral_load
10.11.23.ENCOCT05.R2.rerun__NA__NA__231023_WW__00X.tsv,10/05/23,
10.11.23.ENCOCT09.R2.rerun__NA__NA__231023_WW__00X.tsv,10/09/23,
10.11.23.PLOCT08.R1.rerun__NA__NA__231023_WW__00X.tsv,10/08/23,
10.11.23.PLOCT09.R2.rerun__NA__NA__231023_WW__00X.tsv,10/09/23,
10.11.23.SBOCT05.R1.rerun__NA__NA__231023_WW__00X.tsv,10/05/23,
10.11.23.SBOCT08.R1.rerun__NA__NA__231023_WW__00X.tsv,10/08/23,
10.13.23.PLOCT10.R2.rerun__NA__NA__231023_WW__00X.tsv,10/10/23,
10.13.23.PLOCT11.R2.rerun__NA__NA__231023_WW__00X.tsv,10/11/23,
8.23.23.PLAUG20.R1.rerun__NA__NA__231023_WW__00X.tsv,8/20/23,
8.23.23.PLAUG21.R1.rerun__NA__NA__231023_WW__00X.tsv,8/21/23,
8.25.23.PLAUG22.R2.rerun__NA__NA__231023_WW__00X.tsv,8/22/23,
8.25.23.PLAUG23.R1.rerun__NA__NA__231023_WW__00X.tsv,8/23/23,
8.30.23.PLAUG27.R2.rerun__NA__NA__231023_WW__00X.tsv,8/27/23,
