Sample,sample_collection_datetime,viral_load
11.15.22.ENCNOV10.R1rerun__NA__NA__221123_WW__00X.tsv,11/10/22 ,
11.15.22.ENCNOV14.R2rerun__NA__NA__221123_WW__00X.tsv,11/14/22,
11.17.22.PLNOV13.R1rerun__NA__NA__221123_WW__00X.tsv,11/13/22,
11.17.22.PLNOV14.R1rerun__NA__NA__221123_WW__00X.tsv,11/14/22,
11.17.22.PLNOV15.R1rerun__NA__NA__221123_WW__00X.tsv,11/15/22,
11.17.22.PLNOV16.R1rereun__NA__NA__221123_WW__00X.tsv,11/16/22,
11.17.22.SBNOV11.R1rerun__NA__NA__221123_WW__00X.tsv,11/11/22,
11.17.22.SBNOV15.R1rerun__NA__NA__221123_WW__00X.tsv,11/15/22,
11.23.22.ENCNOV21.R2__NA__NA__221123_WW__00X.tsv,11/21/22,
11.23.22.ENCNOV23.R2__NA__NA__221123_WW__00X.tsv,11/23/22,
11.23.22.PLNOV20.R1__NA__NA__221123_WW__00X.tsv,11/20/22,
11.23.22.PLNOV21.R2__NA__NA__221123_WW__00X.tsv,11/21/11,
11.23.22.PLNOV22.R1__NA__NA__221123_WW__00X.tsv,11/22/22,
11.23.22.SBNOV18.R2__NA__NA__221123_WW__00X.tsv,11/18/22,
11.23.22.SBNOV20.R1__NA__NA__221123_WW__00X.tsv,11/20/22,
11.23.22.SBNOV22.R1__NA__NA__221123_WW__00X.tsv,11/22/22,
