Sample,sample_collection_datetime,viral_load
11.01.23.ENCOCT26.R2__NA__NA__231109_WW__00X.tsv,10/26/23,
11.01.23.ENCOCT27.R1__NA__NA__231109_WW__00X.tsv,10/27/23,
11.01.23.PLOCT29.R2__NA__NA__231109_WW__00X.tsv,10/29/23,
11.01.23.PLOCT30.R1__NA__NA__231109_WW__00X.tsv,10/30/23,
11.01.23.SBOCT26.R1__NA__NA__231109_WW__00X.tsv,10/26/23,
11.01.23.SBOCT31.R2__NA__NA__231109_WW__00X.tsv,10/31/23,
11.03.23.PLNOV01.R2__NA__NA__231109_WW__00X.tsv,11/01/23,
11.03.23.PLOCT31.R1__NA__NA__231109_WW__00X.tsv,10/31/23,
11.08.23.ENCNOV06.R1__NA__NA__231109_WW__00X.tsv,11/06/23,
11.08.23.ENCNOV07.R2__NA__NA__231109_WW__00X.tsv,11/07/23,
11.08.23.PLNOV05.R1__NA__NA__231109_WW__00X.tsv,11/05/23,
11.08.23.PLNOV06.R1__NA__NA__231109_WW__00X.tsv,11/06/23,
11.08.23.SBNOV02.R1__NA__NA__231109_WW__00X.tsv,11/02/23,
11.08.23.SBNOV05.R1__NA__NA__231109_WW__00X.tsv,11/05/23,
