Sample,sample_collection_datetime,viral_load
7.26.23.ENCJUL20.R1__NA__NA__230816_WW__00X.tsv,7/20/23,
7.26.23.ENCJUL25.R2__NA__NA__230816_WW__00X.tsv,7/25/23,
7.26.23.PLJUL18.R1__NA__NA__230816_WW__00X.tsv,7/18/23,
7.26.23.PLJUL23.R2__NA__NA__230816_WW__00X.tsv,7/23/23,
7.26.23.PLJUL24.R2__NA__NA__230816_WW__00X.tsv,7/24/23,
7.26.23.SBJUL18.R2__NA__NA__230816_WW__00X.tsv,7/18/23,
7.26.23.SBJUL23.R1__NA__NA__230816_WW__00X.tsv,7/23/23,
7.28.23.PLJUL25.R2__NA__NA__230816_WW__00X.tsv,7/25/23,
7.28.23.PLJUL26.R2__NA__NA__230816_WW__00X.tsv,7/26/23,
8.09.23.PLAUG06.R2__NA__NA__230816_WW__00X.tsv,8/6/23,
8.09.23.PLAUG07.R1__NA__NA__230816_WW__00X.tsv,8/7/23,
8.09.23.SBAUG03.R1__NA__NA__230816_WW__00X.tsv,8/3/23,
8.09.23.SBAUG08.R1__NA__NA__230816_WW__00X.tsv,8/8/23,
8.11.23.ENCAUG03.R2__NA__NA__230816_WW__00X.tsv,8/3/23,
8.11.23.ENCAUG04.R2__NA__NA__230816_WW__00X.tsv,8/4/23,
8.11.23.PLAUG09.R2__NA__NA__230816_WW__00X.tsv,8/9/23,
