Lineage,Estimated Advantage,Bootstrap 95% interval
BM.2,91.6%,"[-2402.05% , 226.72%]"
BE.1.1.1,91.3%,"[-2184.24% , 600.01%]"
Other,89.3%,"[14.79% , 168.81%]"
BF.3.1,82.2%,"[-2358.07% , 216.54%]"
BA.4.4,78.0%,"[-2304.11% , 210.15%]"
BA.5.2.2,77.9%,"[-2358.17% , 214.46%]"
BQ.1,77.1%,"[-508.29% , 440.85%]"
BA.5.2.27,73.4%,"[-334.86% , 345.27%]"
BF.5,69.7%,"[-2358.07% , 203.26%]"
BN.1,65.9%,"[-402.39% , 292.97%]"
BA.5.1.25,64.2%,"[-2228.14% , 510.79%]"
BA.5.3.1,63.3%,"[-2264.38% , 280.13%]"
BA.5.2.11,62.8%,"[-2347.28% , 190.05%]"
BA.5.1,60.1%,"[-394.54% , 549.11%]"
BE.1.1,58.2%,"[-2373.99% , 719.65%]"
BA.5.2.30,56.4%,"[-2338.10% , 509.02%]"
BU.1,56.1%,"[-2349.34% , 395.60%]"
BA.5.1.18,56.0%,"[-2349.11% , 388.51%]"
BA.5.2.32,55.9%,"[-2358.83% , 291.62%]"
BE.1.2.1,55.9%,"[-2351.82% , 312.80%]"
BA.5.2.23,55.9%,"[-2373.84% , 314.63%]"
BA.5.2.20,5.1%,"[-2221.34% , 247.62%]"
BA.2.75.6,42.0%,"[-2229.52% , 230.70%]"
BA.5.2.13,40.3%,"[-2260.16% , 474.49%]"
BA.5.2.21,385.0%,"[71.73% , 429.89%]"
BE.1.1.2,37.3%,"[-2295.14% , 242.03%]"
BE.1,353.0%,"[-2138.23% , 378.41%]"
BA.5.1.5,311.2%,"[-2321.56% , 371.93%]"
XAS,293.0%,"[-2402.05% , 324.00%]"
BF.10,255.1%,"[-2233.29% , 319.24%]"
BA.5.1.1,246.6%,"[-2370.74% , 282.98%]"
BA.5.10,211.0%,"[-2401.14% , 253.05%]"
BA.5.2.6,21.1%,"[-2264.38% , 189.01%]"
BF.14,202.0%,"[-2252.63% , 235.18%]"
BA.5.2.22,20.5%,"[-2229.67% , 507.45%]"
BA.4.6,189.6%,"[-729.70% , 467.79%]"
BF.24,183.3%,"[-2409.58% , 229.31%]"
BA.5.1.10,165.0%,"[-2335.36% , 434.85%]"
BA.5,164.8%,"[-2362.31% , 423.07%]"
BA.5.10.1,163.9%,"[-2328.46% , 369.46%]"
BM.1.1.1,163.3%,"[-2378.75% , 313.04%]"
BE.1.2,16.5%,"[-2292.32% , 310.15%]"
BA.5.3.2,154.1%,"[-2347.28% , 297.16%]"
BA.5.2.1,140.9%,"[-2259.71% , 466.37%]"
BA.5.5,127.7%,"[-2402.36% , 265.47%]"
BA.5.2.31,12.1%,"[-2229.67% , 345.52%]"
BA.2.75.4,117.6%,"[-2362.31% , 255.50%]"
BA.4.8,117.6%,"[-2376.60% , 255.53%]"
BQ.1.2,11.2%,"[-2247.27% , 395.95%]"
BQ.1.1,109.5%,"[-188.34% , 488.88%]"
BF.25,-93.0%,"[-720.43% , 75.92%]"
BF.7,-5499.4%,"[-5500.00% , 237.67%]"
BF.11,-3998.8%,"[-4181.86% , 261.81%]"
BA.5.1.12,-18.4%,"[-234.88% , 189.43%]"
BA.5.6,-169.7%,"[-1084.69% , -46.91%]"
XBB.1,-161.7%,"[-1100.67% , -39.33%]"
BA.5.2.16,-138.0%,"[-720.43% , 51.36%]"
BA.5.2.9,-134.3%,"[-2484.41% , 342.13%]"
BA.5.2.18,-13.4%,"[-355.26% , 323.90%]"
BA.5.6.1,-113.6%,"[-2428.82% , 205.08%]"
BA.5.1.27,-10.4%,"[-2351.47% , 175.25%]"
BA.5.1.24,-10.2%,"[-2324.88% , 127.26%]"
BA.5.1.8,-10.2%,"[-2380.16% , 176.58%]"
