Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.42,84.7%,"[-554.76% , 137.61%]"
XBB.1.5,81.3%,"[-59.10% , 161.90%]"
XBB.1.5.48,7.1%,"[-563.05% , 44.62%]"
XBB.1.9.1,67.2%,"[-488.16% , 89.60%]"
XBB.1.5.1,66.0%,"[-483.89% , 82.18%]"
XBB.2.3.2,51.3%,"[-465.25% , 77.37%]"
XBB.1.5.17,50.9%,"[-550.24% , 68.16%]"
XBB.1.5.5,5.1%,"[-600.91% , 31.06%]"
XBB.1.5.11,47.1%,"[-553.46% , 77.52%]"
XBB.1.5.3,46.1%,"[-586.43% , 81.12%]"
FG.2,46.1%,"[-596.29% , 82.42%]"
XBB.1.5.12,46.1%,"[-600.92% , 82.16%]"
XBB.1.5.24,44.2%,"[-586.13% , 76.57%]"
XBB.1.9,43.2%,"[-492.33% , 99.85%]"
XBB.1.5.27,42.6%,"[-577.21% , 70.04%]"
FL.2.1,41.3%,"[-598.43% , 73.00%]"
XBB.1.16.1,37.3%,"[-24.85% , 133.92%]"
XBB.1.5.18,33.8%,"[-598.23% , 70.15%]"
XBB.1.30,32.4%,"[-467.27% , 98.15%]"
XBB.1.9.2,30.6%,"[-476.90% , 73.70%]"
XBB.1.22.2,29.7%,"[-562.68% , 67.52%]"
XBB.1.5.40,29.7%,"[-209.40% , 94.25%]"
XBB.1.5.10,29.6%,"[-283.43% , 99.70%]"
XBB.1.5.13,29.4%,"[-8.46% , 107.56%]"
XBB.1.5.2,26.3%,"[-598.78% , 82.05%]"
XBB.1.5.37,25.7%,"[-592.43% , 62.16%]"
FL.2,22.0%,"[-519.96% , 84.76%]"
XBB.1.5.30,20.7%,"[-660.56% , 82.98%]"
XBB.1.5.36,19.7%,"[-587.11% , 52.68%]"
Other,18.2%,"[1.94% , 37.45%]"
XBB.1.5.19,13.4%,"[-600.65% , 53.39%]"
EG.2,13.2%,"[-592.82% , 55.14%]"
XBB.1.28,11.2%,"[-568.62% , 49.28%]"
XBB.1.5.33,101.2%,"[-590.09% , 132.73%]"
XBB.1.5.26,10.1%,"[-603.76% , 37.23%]"
XBB.1.22,-941.4%,"[-1047.60% , 73.76%]"
XBB.1.5.16,-938.3%,"[-1039.59% , 77.18%]"
XBB.1.13,-910.0%,"[-973.17% , -294.96%]"
XBB.1.5.31,-898.0%,"[-963.27% , -292.24%]"
XBB.1.5.21,-882.1%,"[-956.46% , -288.79%]"
XBB.1.5.51,-8.2%,"[-606.97% , 13.72%]"
XBB.1.5.23,-6.0%,"[-567.98% , 18.14%]"
XCC,-50.4%,"[-320.72% , -27.27%]"
BA.2.1,-50.3%,"[-319.63% , -24.99%]"
XBB.1.5.15,-5.9%,"[-83.66% , 63.01%]"
XBB.1,-40.6%,"[-314.65% , 2.15%]"
XBB.1.5.32,-36.3%,"[-679.78% , 55.80%]"
EG.4,-35.2%,"[-298.79% , 2.33%]"
XBB.1.5.20,-30.2%,"[-67.42% , -16.21%]"
FL.3,-2.8%,"[-564.40% , 34.04%]"
XBB.1.5.28,-2.1%,"[-109.21% , 76.28%]"
XBB.1.5.49,-19.9%,"[-59.78% , 36.67%]"
XBB.1.16,-17.8%,"[-53.65% , 93.03%]"
XBB.1.5.52,-13.3%,"[-951.42% , 8.42%]"
XBB.1.9.4,-13.3%,"[-987.90% , 7.32%]"
XBB.1.5.35,-13.2%,"[-514.14% , 17.31%]"
XBB.1.5.43,-13.2%,"[-1009.63% , 8.64%]"
XBB.1.5.7,-1100.3%,"[-1172.04% , -291.04%]"
XBB.1.21,-1.8%,"[-603.23% , 19.72%]"
