Lineage,Estimated Advantage,Bootstrap 95% interval
XBB.1.5.37,93.1%,"[-761.43% , 297.95%]"
XBB.2.3.7,92.3%,"[-2435.92% , 190.57%]"
XBB.1.16,79.9%,"[-62.78% , 295.93%]"
XBB.1.9.2,78.8%,"[-75.83% , 279.92%]"
XBB.1.5.49,77.5%,"[-285.62% , 325.42%]"
XBB.1.38,73.1%,"[-2416.88% , 294.04%]"
FU.2,73.0%,"[-2427.81% , 294.09%]"
XBB.1.5.18,72.9%,"[-2416.88% , 237.33%]"
FL.2.1,72.9%,"[-2420.47% , 223.95%]"
XBB.1.5.52,72.9%,"[-2416.88% , 261.13%]"
FL.1,72.8%,"[-2395.17% , 217.10%]"
XBB.1.5.47,72.8%,"[-2428.09% , 229.07%]"
EG.1.3,64.5%,"[-2420.36% , 203.28%]"
XBB.2.3.3,58.5%,"[-2326.44% , 295.10%]"
EG.2,32.3%,"[-304.53% , 266.97%]"
XBB.1.5.35,269.2%,"[-4123.97% , 296.86%]"
EG.1,263.6%,"[143.94% , 294.86%]"
XBB.1.16.6,26.2%,"[-2420.49% , 178.46%]"
XBB.1.5.14,26.2%,"[-2438.98% , 163.10%]"
XBB.1.22,26.1%,"[-2439.21% , 156.96%]"
XBB.1.5.10,26.1%,"[-2424.42% , 141.52%]"
Other,24.8%,"[-24.73% , 96.59%]"
FL.2,233.2%,"[95.86% , 305.33%]"
XBB.1.5.51,200.9%,"[-57.26% , 270.51%]"
FE.1,20.7%,"[-2398.57% , 143.98%]"
FY.2,197.6%,"[-2450.17% , 231.39%]"
XBB.1.5.48,196.1%,"[-2337.30% , 228.53%]"
XBB.1.5.66,194.6%,"[-0.06% , 338.77%]"
XBB.1.5.31,187.8%,"[-2470.16% , 223.00%]"
XBB.1.30,182.9%,"[-2253.13% , 216.48%]"
EG.5.1,180.4%,"[-2435.92% , 218.24%]"
XBB.1.5.32,178.9%,"[-2463.83% , 217.35%]"
FU.1,168.2%,"[-2457.59% , 207.23%]"
XBB.1.5.57,165.5%,"[-2420.71% , 295.49%]"
XBB.1.5.21,165.5%,"[-2424.94% , 293.16%]"
XBB.1.5.3,165.4%,"[-2423.49% , 291.28%]"
XBB.1.5.4,158.4%,"[-2420.71% , 259.22%]"
XBB.1.16.2,148.9%,"[-2298.61% , 334.12%]"
XBB.1.5.43,143.4%,"[-2283.98% , 271.61%]"
XBB.1.5.59,129.2%,"[49.78% , 419.65%]"
FL.5,128.0%,"[-2333.59% , 330.26%]"
FL.7,126.7%,"[-2423.70% , 173.77%]"
FY.3,122.7%,"[-2405.33% , 220.19%]"
FL.1.2,110.4%,"[-2453.58% , 161.12%]"
XBB.1.9.1,11.1%,"[-2348.79% , 168.83%]"
XBB.1.17.1,105.6%,"[-2418.06% , 203.78%]"
XBB.2.5,102.1%,"[-2284.83% , 196.66%]"
XBB.1.5,-59.9%,"[-4879.91% , 211.12%]"
BA.2.10,-59.4%,"[-590.25% , 41.31%]"
XBB.1.5.20,-50.5%,"[-2518.01% , 431.76%]"
XBB.1.5.67,-4732.0%,"[-4918.11% , 208.59%]"
XBB.1.5.15,-4607.9%,"[-4746.47% , 319.85%]"
BA.2.1,-44.9%,"[-2450.05% , 29.27%]"
XBB.1.5.1,-43.6%,"[-2226.00% , 143.83%]"
XBB.1.39,-4203.5%,"[-4378.67% , -801.18%]"
XBB.1.5.13,-4084.4%,"[-4362.03% , 222.45%]"
XBB.1.5.40,-3545.1%,"[-3878.43% , -753.21%]"
XBB.1.5.28,-3402.1%,"[-3897.88% , 152.66%]"
XBB.1.5.60,-3181.7%,"[-3503.37% , -697.89%]"
XBB.1.9,-156.8%,"[-958.89% , -69.76%]"
XBB.1.5.26,-154.8%,"[-958.13% , -69.84%]"
XBB.1.5.11,-148.9%,"[-2639.45% , 252.11%]"
XBB.1.16.1,-13.7%,"[-1040.59% , 187.86%]"
EG.4,-124.2%,"[-2434.90% , 71.03%]"
