	summarized	lineages	abundances	resid	coverage
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9277633537903213), ('Other', 0.007496359996332421)]	EG.2 EG.5.1.3 EG.5.1 HV.1 XBB.1.16.11 HY.1 XBB.1.16.4 EG.5.1.6 HN.1 EG.5.1.1 EG.5.1.4 HK.4 EG.6.1 HK.3.1 FL.1.5.1 XBB.1.42.1 EG.5 XBB.1.5.40 XBB.1.5.39 GJ.5 GK.3.1 JF.1 XBB.1.5.103 XBB.1.5.37 JD.1.1.1 EG.5.1.2 XBB.1.5.78 GK.1 XBB.1.16.13 XBB.1.39 XBB.1.16.14 JD.1.2 HJ.1 GK.1.1 JE.1 EG.7 EG.5.1.9 XBB.1.5.76 GJ.1.2.6 FU.5 GA.3 HK.6 XBB.1.16.19 XBB.1.16.23 XBB.1.5.87 FL.6 FL.15.3 XBB.1.5.65 GS.1 XBB.1.5.27 XCP GE.1.2 GM.1 GM.2 XBB.1.5.61 XBB.1.5.74 FT.3.1 XCF EG.4.1 JM.1 FZ.2 GU.1 XBB.1.5.94 XBB.1.31.2 XBB.1.5.19 XCF.1 XBB.1.5.50 FL.20.1 GW.5.1.1 FL.8 GJ.1.2.3 HZ.1 FE.1.1.3 XBB.1.5.99 XBB.1.5.88 XCG XBB.1.43.1 FY.4.1.1 HE.1 FY.2.1 XBB.1.16.21 XBB.1.5.23 BM.6 XBB.1.16.18 XBB.1.4.2 EG.11 XBB.1.5.85 HT.1 XBB.7 XBB.1.5.49 XBB.1.41.2 XBB.1.16.16 FL.31.1 XBB.1.45.1 EG.1.2 XBB.1.37.1 XBB.1.5.6 HK.11 FL.1.5.2 HZ.2 HR.1	0.06878811 0.06664047 0.06537836 0.05035534 0.04592243 0.04403200 0.04153950 0.03734527 0.03676054 0.03497514 0.02759037 0.02625882 0.02335960 0.02332735 0.02171013 0.02093763 0.01970371 0.01585426 0.01520984 0.01463860 0.01366911 0.01261830 0.00916380 0.00904889 0.00824960 0.00813008 0.00709759 0.00641514 0.00493437 0.00490998 0.00486271 0.00467290 0.00461734 0.00459723 0.00453075 0.00432108 0.00421941 0.00403334 0.00398564 0.00344423 0.00342047 0.00307895 0.00307742 0.00295247 0.00280505 0.00277338 0.00277088 0.00273736 0.00252860 0.00249128 0.00238727 0.00228474 0.00221133 0.00215358 0.00213886 0.00212596 0.00202072 0.00196241 0.00195312 0.00194269 0.00193175 0.00181389 0.00179211 0.00178731 0.00174216 0.00165563 0.00165358 0.00165133 0.00161421 0.00160051 0.00156055 0.00155972 0.00152284 0.00150018 0.00149663 0.00149105 0.00148810 0.00144370 0.00144185 0.00143040 0.00142518 0.00142069 0.00137893 0.00135379 0.00128631 0.00127024 0.00125892 0.00125510 0.00125156 0.00124282 0.00124095 0.00118712 0.00114155 0.00112474 0.00111982 0.00111607 0.00109860 0.00108656 0.00107759 0.00104210 0.00103806	14.419884093971973	97.7059157944019
10.04.23.ENCOCT02.R2__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9392241987555331), ('Other', 0.0036542570440520903)]	XBB.1.16.21 XBB.1.5.10 EG.2 FL.1.4 EG.5.1.3 EG.5.1.1 XBB.1.5.43 EG.2.5 EG.5.1.9 EG.5.1 XBB.1.16.11 XBB.2.3 FL.1.5.2 EG.5.1.6 HK.3 BA.2.86.1 EG.5.1.8 GK.1.1 HV.1 JF.1 XBB.1.5.23 XBB.2.4 FU.2 HK.7 XBB.1.9.7 HN.1 GV.1 FL.33.1 XBB.1.5.21 XBB.1.16.19 EG.11 XBB.1.37.1 FL.2.2 EG.5.2 FL.8 XCP GS.4 HK.6 GJ.1.2.5 XBB.2.12 GS.4.1 FL.22 EG.5.1.7 FL.20.1 FP.2.1.1 FL.2.3.1 XBB.1.43.1 XBB.3.1 EG.5.2.1 JC.1 XBB.1.36 FP.3 XCF FL.24 HZ.1 HZ.2 XBB.2.9 GU.1 EK.2.1 FL.9 FL.1.2 GA.4.1.1 XBB.1.16.6 GW.2 FL.6 HL.1	0.11466000 0.09810881 0.07614654 0.06875418 0.06179779 0.06071304 0.04085047 0.03811790 0.03608924 0.03253231 0.03162201 0.03020290 0.02923980 0.02374349 0.02253013 0.01954056 0.01704978 0.00966275 0.00951441 0.00933621 0.00801322 0.00709317 0.00680582 0.00649879 0.00597372 0.00490773 0.00398077 0.00380952 0.00317334 0.00278552 0.00277128 0.00262861 0.00249792 0.00240083 0.00235803 0.00230282 0.00230146 0.00227066 0.00221282 0.00213675 0.00208932 0.00190913 0.00182482 0.00178865 0.00159464 0.00154321 0.00154321 0.00152795 0.00148388 0.00148233 0.00146145 0.00135247 0.00135144 0.00129624 0.00125398 0.00123890 0.00121242 0.00119417 0.00112782 0.00112165 0.00110711 0.00109890 0.00105062 0.00103341 0.00103093 0.00102471	16.116181528646322	97.52533190649767
10.06.23.PLOCT04.R1__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.913721402889394), ('Other', 0.011292114938192328)]	EG.5.1.3 EG.5.1.6 HV.1 EG.5.1.1 HK.5 EG.2 EG.6.1 JF.1 GK.1.1 JD.1.1.1 EG.5.1.9 FL.1.5.1 XBB.1.5.11 XBB.1.16 HY.1 XBB.1.41.1 HN.1 HZ.1 JJ.1 GK.3.1 XBB.1.16.14 XBB.1.5.43 XBB.1.5.35 GK.4 XBB.1.41.2 EG.4.5 FL.34 FL.35 XBB.1.16.13 XBB.1.16.18 HK.7 XCP FL.23.1 HF.1.1 XBB.1.16.19 XBB.1.5.40 HK.6 EG.7 FU.5 GE.1.2 FL.29 GJ.4 FT.1 GS.4 GA.4.1 XCF.1 XBB.1.5.72 EG.8 EG.5.1.7 JM.2 XBB.2.3.7 HK.11 FE.1.1.4 EG.2.5 FL.24 FL.22 FL.20.1 XBV FU.2 GN.1 FL.1.5.2 XBB.1.5.27 FP.2.1.1 JC.1 EG.9.1 FY.6 XBB.1.43.1 XBB.1.37.1 XBB.2.3.8 XBB.1.7 GW.1.1 XBB.1.24 FL.2.3.1 GA.1 XBB.1.16.23 JM.1 XCG GJ.1.2.5 XBL.2 XBB.1.15.1 GA.6.1 FL.16 XBB.1.5.33 HL.1 FL.3.2 FE.1.2 HJ.1 GJ.3 HP.1.1 EK.2.1 XBB.1.45.1 XBB.1.5.58 JE.1 GZ.1 GJ.1.2.4 GA.4.1.1 GE.1.3	0.28554258 0.08763615 0.04413244 0.04135714 0.04029730 0.03633763 0.02046630 0.01989681 0.01836319 0.01748502 0.01663590 0.01590241 0.01539650 0.01530852 0.01238490 0.01202816 0.01150333 0.01019110 0.00903392 0.00767003 0.00742905 0.00739450 0.00657731 0.00647801 0.00626007 0.00544868 0.00530930 0.00520938 0.00513162 0.00496331 0.00474206 0.00462155 0.00434448 0.00427261 0.00354946 0.00327113 0.00326584 0.00326123 0.00306092 0.00276855 0.00271806 0.00263092 0.00260643 0.00259316 0.00253492 0.00245640 0.00237436 0.00230415 0.00229358 0.00228726 0.00225384 0.00208634 0.00205215 0.00190337 0.00186431 0.00179995 0.00172265 0.00165674 0.00164723 0.00163553 0.00160122 0.00157729 0.00152468 0.00150366 0.00150150 0.00147059 0.00145560 0.00145296 0.00145138 0.00140433 0.00138985 0.00136537 0.00135900 0.00134503 0.00131703 0.00131406 0.00131234 0.00125976 0.00124509 0.00124248 0.00123153 0.00118483 0.00117513 0.00112184 0.00111827 0.00111732 0.00110278 0.00109963 0.00108620 0.00108342 0.00108243 0.00105522 0.00105121 0.00104384 0.00101104 0.00100578 0.00100009	14.908748822459895	98.5151991438986
10.04.23.PLOCT02.R1__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.913560101833053), ('Other', 0.012943505988648723)]	EG.5.1 EG.2 FL.1.5.1 HV.1 EG.5.1.6 EG.5.1.9 EG.5.1.4 HN.1 XBB.1.5.14 EG.6 FL.9 JD.1 FL.10.1 FL.24 EG.5.1.3 GK.1.1 XBB.1.16 XBB.1.16.12 EG.5.1.10 EG.5.1.1 GK.1 FL.1.5.2 GS.4 HZ.1 GJ.1.2.6 GJ.5 XCG XBB.1.5.43 GK.1.2 JF.1 FL.2.4 XBB.1.16.13 XBB.1.16.10 HK.7 XCF.1 FL.20.1 XBB.1.16.14 FL.22 XBB.2.3.12 XBB.1.9.4 XBB.1.5.35 XCK HK.6 FL.4.5 FL.2.2.1 XBB.1.16.23 XBB.2.3.9 BA.2.86.1 XBB.1.16.19 EG.7 XBB.1.16.11 FL.8 HF.1.2 XBB.1.47.1 GS.1 FL.15.2 GJ.1.1 JJ.1 XBB.1.5.74 XBB.1.5.87 FL.6 XBB.1.37.1 XBB.1.31.2 GJ.1.2.5 HZ.2 XBB.1.45.1 GN.1 HD.1 FL.3.4 EG.11 XBB.1.5.23 XBB.1.5.11 XBB.1.16.9 GV.1 GK.2.1.1 GB.2 GW.2 FY.2.1 XBB.1.16.21 HK.11 HE.1 HU.2 XBB.1.5.72 XBB.8.2 GW.1.1 GJ.2	0.13754579 0.05406712 0.04898808 0.04500272 0.04167146 0.04079883 0.04054285 0.03997600 0.03811868 0.03183041 0.02777240 0.02320667 0.02316600 0.02307846 0.02293212 0.01811860 0.01749157 0.01749157 0.01748927 0.01671373 0.01488687 0.01301105 0.01044674 0.00869741 0.00715035 0.00711477 0.00643883 0.00626510 0.00502934 0.00482094 0.00458111 0.00457424 0.00442478 0.00396930 0.00368381 0.00365104 0.00363651 0.00359874 0.00358393 0.00358324 0.00303999 0.00282087 0.00271342 0.00269865 0.00246700 0.00242944 0.00231374 0.00226169 0.00225352 0.00213775 0.00198077 0.00193723 0.00192621 0.00190295 0.00188324 0.00185356 0.00173310 0.00163314 0.00162866 0.00155199 0.00154999 0.00154679 0.00153531 0.00151439 0.00151099 0.00145879 0.00142908 0.00142117 0.00140156 0.00138282 0.00134195 0.00132856 0.00129366 0.00127146 0.00126152 0.00125764 0.00125313 0.00123993 0.00123355 0.00117426 0.00117321 0.00115748 0.00115340 0.00114090 0.00113250 0.00102223	15.869871244920944	96.60903588268735
10.04.23.ENCSEP27.R2__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9299320919801514), ('Other', 0.002210429998912525)]	FL.1.5.1 EG.5.1.6 EG.2 FL.5 EG.5.1.9 FL.26 EG.5.1 XBB.1.16.12 XBB.1.16 XBB.1.16.6 JG.2 EG.5.1.3 EG.5.1.2 HN.1 XBB.1.5.23 HV.1 JG.3 FL.10.1 EG.6.1 XBB.1.16.10 FL.3 GE.1.1 HK.4 HY.1 JF.1 XBB.1.5.78 EG.5.1.4 GJ.5 XBB.1.16.14 XBB.1.16.4 XBB.1.16.9 XBB.1.5.76 FL.21.2 FT.3.1 GJ.4 XBB.2.4 FU.5 XBB.1.16.15 XBB.1.15.1 FL.6 FT.3 XBB.1.5.39 GS.4 XBB.1.5.77 XBB.1.16.19 GE.1.2 XBB.1.5.19 FE.1.1.4 XCK FL.3.4 EG.7 HK.7 HF.1.1 XBB.1.10 FL.1.2 XBB.1.37.1 XBB.1.27 HK.6 GM.1 FU.2 FL.23.1 XBB.1.5.74 EG.5.2.1 FL.29 XBB.1.36 EG.5.1.10 FD.1.1 XBB.1.5.6 FL.20.1 FP.2.1.1 EU.1.1.3 FL.22 XBB.2.1 HP.1.1 FL.2.2 HU.1 HR.1 BA.2.86.1 FL.15.2 XBB.1.5.88 XBB.1.5.106 XBB.1.4.1 XBB.2.9 FL.1.5.2 FT.1 HA.2 FY.2.1 XBB.1.16.18 XBB.1.5.61 JC.1 XBB.1.5.9 GW.5.1.1 FL.8 EG.9.1 HH.1.1	0.10640685 0.08245369 0.05873983 0.05419490 0.05269891 0.04880270 0.04129885 0.04034122 0.04034122 0.04018324 0.03137039 0.03137039 0.01818180 0.01783640 0.01689553 0.01685363 0.01315323 0.01077730 0.01049744 0.00980392 0.00972525 0.00970073 0.00868338 0.00839148 0.00669176 0.00618557 0.00526870 0.00505588 0.00485968 0.00473419 0.00472813 0.00440647 0.00413223 0.00340569 0.00328376 0.00323624 0.00323288 0.00297284 0.00290718 0.00286060 0.00279108 0.00279108 0.00275819 0.00271783 0.00256893 0.00249881 0.00238806 0.00224746 0.00221043 0.00199468 0.00197433 0.00189068 0.00184793 0.00178947 0.00172499 0.00171038 0.00164813 0.00163043 0.00162861 0.00161819 0.00157278 0.00156299 0.00155192 0.00152207 0.00150830 0.00135892 0.00134048 0.00133988 0.00131796 0.00131492 0.00128111 0.00128041 0.00127649 0.00127226 0.00125681 0.00124367 0.00119990 0.00119457 0.00119206 0.00117046 0.00115724 0.00115665 0.00114987 0.00114005 0.00112486 0.00111483 0.00110865 0.00106458 0.00106406 0.00106135 0.00105152 0.00104439 0.00102819 0.00102093 0.00100361	16.24148066483121	96.31140688225261
10.04.23.PLOCT01.R1__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9387182284790548), ('Other', 0.005360129987236013)]	HN.1 EG.5.1 HK.4 EG.5.1.1 HF.1.1 HV.1 EG.5.1.9 FL.1.5.1 FL.1.4 XBB.1.16.23 EG.5.1.3 GK.1.1 GK.1 EG.5.1.7 XBB.1.5.28 XBB.1.5.81 GJ.1.2.6 FL.33.1 HY.1 XBB.1.16.20 FU.1 FL.23.1 EG.5.1.2 XCP FL.20.2 XBB.1.5.76 GE.1.3 GV.1 XBB.1.16.4 XBB.2.3.11 XBB.1.16.14 FL.2.2 XBB.1.16.21 FT.3.1 HK.6 XBB.1.16.19 FL.29 FE.1.1.3 GE.1.2 EK.2.1 FL.5.1 XBB.1.5.99 GB.2 XBB.1.16.16 FY.4.1.1 FL.18.1 XBB.1.16.11 XBB.7 FL.22 JM.1 FL.1.2 FL.3.3 EG.7 EG.5.2.1 FU.5 HD.1 XBB.1.5.94 FL.31.1 GS.4 FE.1.1.4 XBB.1.9.6 GK.2.3 HZ.3 HZ.1 EG.11 EG.9.1 XBB.2.3.8 XBB.1.43.1 FL.15.3 FY.2.1 GA.4.1 XBB.1.5.106 XBB.1.16.24 XBB.1.16.5	0.14176737 0.10151560 0.08834949 0.05543137 0.05306800 0.05029790 0.04363589 0.03976300 0.03716261 0.03327729 0.03105750 0.03022560 0.02028884 0.01652890 0.01460810 0.01415899 0.01314667 0.00982318 0.00978970 0.00786988 0.00633580 0.00616074 0.00584795 0.00536013 0.00522763 0.00519703 0.00511509 0.00504686 0.00458482 0.00452014 0.00434023 0.00372629 0.00337154 0.00325578 0.00299826 0.00294840 0.00289645 0.00285475 0.00236407 0.00230283 0.00229183 0.00225162 0.00214592 0.00199203 0.00193564 0.00191936 0.00188419 0.00185529 0.00169300 0.00160823 0.00143498 0.00143062 0.00142653 0.00137552 0.00130847 0.00124135 0.00122812 0.00121930 0.00120773 0.00116601 0.00115234 0.00115202 0.00114723 0.00113766 0.00111276 0.00110335 0.00110162 0.00106355 0.00106347 0.00106117 0.00105903 0.00105119 0.00103135 0.00100520	13.503062211323808	95.71280473531084
10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9543954911177133)]	XBB.1.9.2 XBB.1.16.15 EG.5.1.4 EG.5.1.1 HZ.1 EG.5.1.6 EG.6 GY.3 XBB.1.16.4 EG.1 XBB.1.5.91 XBB.1.16.12 XBB.1.16 FU.1 XBB.1.5.94 EG.5.1 XBB.1.16.6 XBB.1.16.10 HV.1 XBB.1.16.2 XBB.1.5.5 XBB.1.5.78 XBB.1.5.68 GJ.1.2.2 HK.7 XBB.1.5.80 FU.2.1 XBB.1.16.14 XBB.1.5.76 EG.5.1.10 EG.5.2.2 XBB.1.5.88 EG.7 XBB.1.16.16 XBB.1.3 XBB.1.5.61 GJ.1.2.5 FE.1.1.4 XBB.1.16.19 GA.3 HK.3.3 HN.1 EG.9 XBB.1.16.21 HK.6 XBB.1.5.27 HA.2 EG.11 XBB.1.16.13 XBB.1.5.11 XBB.3.3 XBB.1.45.1 XBB.1.9.7 XBB.1.16.5 FL.1.5.2 FY.6 XBB.1.5.19 FL.10.1 XBB.1.5.50 FL.24 EK.1 HZ.2 EG.5.1.9 FL.15.2 XBB.1.47.1 XBB.1.16.7 HS.1.1 GK.1.2 FU.3 EG.2 XBB.1.5.99 GJ.1.2.4	0.18981494 0.16743135 0.10146007 0.04865059 0.04594590 0.02810958 0.02630641 0.02336450 0.02290978 0.02210964 0.02083292 0.02052873 0.02052873 0.01969700 0.01930274 0.01237855 0.00876339 0.00854701 0.00827516 0.00807320 0.00769231 0.00755723 0.00732334 0.00562660 0.00538623 0.00473293 0.00449438 0.00424741 0.00393533 0.00375235 0.00336700 0.00317723 0.00310056 0.00309358 0.00301792 0.00282885 0.00281690 0.00248668 0.00244755 0.00239298 0.00226579 0.00222485 0.00215250 0.00208623 0.00204708 0.00201410 0.00197433 0.00173423 0.00169264 0.00165906 0.00158021 0.00147493 0.00147232 0.00146855 0.00143450 0.00141961 0.00141543 0.00133630 0.00131234 0.00129194 0.00125235 0.00125040 0.00122050 0.00120509 0.00119237 0.00118599 0.00118147 0.00117880 0.00114297 0.00101128 0.00100959 0.00100020	12.199931544456911	94.34504899173996
10.04.23.SBOCT01.R1__NA__NA__231006_WW__00X.tsv	[('Omicron', 0.9601483321371052), ('Other', 0.001027220000132021)]	EG.2 EG.5.1.1 XBB.1.16.6 XBB.1.16.11 XBB.1.16.15 XBB.1.16.21 EG.6.1 FU.1 XBB.2.3.11 JF.1 FL.33.1 HK.7 XBB.1.16.13 FU.2 FL.2.2 GY.3 JM.2 FU.5 HK.6 FL.1.5.1 XBB.1.16.19 GE.1.2 HP.1.1 XBB.1.37.1 FL.32.1 XBB.1.16.9 FL.31.1 GA.4.1 FL.15.3 XBB.2.3.9 XBB.1.4.2 XBB.1.16.7 XBB.1.5.57 GS.4 HZ.1 FP.2.1.1 GW.1.1 XBB.2.9 XCG GK.1.1	0.20705364 0.15224990 0.10622142 0.09777252 0.07679530 0.07403060 0.06209680 0.04477610 0.04135690 0.02720068 0.00892857 0.00647267 0.00584795 0.00440338 0.00351700 0.00263389 0.00244300 0.00242170 0.00240819 0.00224479 0.00223714 0.00223380 0.00203562 0.00185701 0.00184502 0.00174927 0.00171453 0.00159067 0.00157668 0.00153689 0.00148368 0.00135440 0.00128924 0.00123609 0.00122279 0.00120228 0.00105374 0.00103199 0.00102722 0.00102249	14.115045942222642	95.98702471323948
