	summarized	lineages	abundances	resid	coverage
5_20_24_PLMAY13_R2__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9966224137874333)]	KP.3 JN.1.1.5 KP.3.1	0.55658424 0.42073198 0.01930620	5.906160811318925	73.74845333244156
5_20_24_ENCMAY15_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9974033059870392)]	KP.5 KP.3.1	0.99233248 0.00507083	3.624792460950352	77.00899575293448
5_20_24_PLMAY14_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9973128656351667)]	JN.1.11 JN.1.4 JN.1.4.3 JN.1.7	0.71695899 0.18804621 0.08922601 0.00308165	7.313069111251071	73.98588770357489
5_20_24_SBMAY19_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9972985223738283)]	KP.4.2.1 KP.2.6 KP.2.5 KP.4.2 KP.2.1 KP.3.2 KP.2.14 KP.2.11 KP.2.10 KP.4.1 KP.2 KP.4 KP.3 JN.1.11.1 JN.1.11 BA.2.13.1	0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.06640041 0.00129240	2.6589766925910867	15.607129719426144
5_20_24_PLMAY15_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9950960631590443)]	JN.1.1.5 JN.1.3 JN.1.1.1 KQ.1 KP.2.5 KP.2 KR.1.1 KP.5 KP.2.3.1 KP.2.2 KP.3.1 KP.2.3 JN.1.7.4 JN.1.4.4 JN.1.4.3 JN.1.4.6 JN.1.11.1 JN.1.4.2 JN.1.4 JN.1.7.2	0.43240418 0.07695460 0.07691536 0.07355830 0.05385415 0.05385415 0.04924050 0.03419362 0.03098790 0.02024470 0.01379530 0.01191710 0.01160795 0.01159266 0.01031335 0.01031335 0.00981067 0.00589499 0.00589499 0.00174825	6.467002261968309	93.40199979935123
5_20_24_ENCMAY13_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.991686002905054)]	JN.1.16 LB.1 JN.1.16.1 JN.1.9 JN.1.11 JN.1.28 JN.1 JN.1.9.2 JN.1.18 JN.1.32.1 JN.1.32 JN.1.1 JN.1.48	0.26273720 0.21523213 0.10280954 0.07279689 0.06715014 0.05316418 0.05316418 0.05089829 0.04045331 0.02992469 0.02598079 0.01449606 0.00287859	2.9258687871257374	96.31809517439721
5_20_24_ENCMAY14_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9966890148777725)]	KP.3 KP.2.10 KP.2 JN.1.16.1 KP.3.1	0.37994720 0.33117700 0.12457275 0.09106826 0.06992380	7.584704674861566	94.08420559810052
5_20_24_PLMAY12_R1__E0000000__X00__240604_SG_WW__001.tsv	[('Omicron', 0.9956577339136763)]	JN.1.16.1 KR.1.1 JN.1.18 JN.1.7.3 KP.2.2 JN.1.26 KP.2.3.1 JN.1.6.1 JN.1.21 JN.1.3 JN.1.25.1 KP.2.15	0.35678266 0.20563800 0.19398124 0.08762890 0.07173211 0.04891756 0.01803646 0.00520833 0.00268817 0.00218239 0.00147303 0.00138889	3.8790103323193663	80.62401765709126
