Sample,sample_collection_datetime,viral_load
1.24.23.ENCJAN19.R2__NA__NA__230127_WW__00X.tsv,01/19/23 ,
1.24.23.ENCJAN23.R2__NA__NA__230127_WW__00X.tsv,01/23/23,
1.26.23.PLJAN22.R2__NA__NA__230127_WW__00X.tsv,01/22/23,
1.26.23.PLJAN23.R2__NA__NA__230127_WW__00X.tsv,01/23/23,
1.26.23.PLJAN24.R1__NA__NA__230127_WW__00X.tsv,01/24/23,
1.26.23.PLJAN25.R1__NA__NA__230127_WW__00X.tsv,01/25/23,
1.26.23.SBJAN19.R2__NA__NA__230127_WW__00X.tsv,01/19/23,
1.26.23.SBJAN23.R2__NA__NA__230127_WW__00X.tsv,01/23/23,
