Sample,sample_collection_datetime,viral_load
02.05.24.ENCJAN30.R1__NA__NA__240209_WW__00X.tsv,01/30/24,
02.05.24.ENCJAN31.R2__NA__NA__240209_WW__00X.tsv,01/31/24,
02.05.24.PLJAN28.R2__NA__NA__240209_WW__00X.tsv,01/28/24,
02.05.24.PLJAN29.R1__NA__NA__240209_WW__00X.tsv,01/29/24,
02.05.24.PLJAN30.R1__NA__NA__240209_WW__00X.tsv,01/30/24,
02.05.24.PLJAN31.R2__NA__NA__240209_WW__00X.tsv,01/31/24,
02.05.24.SBFEB01.R2__NA__NA__240209_WW__00X.tsv,02/01/24,
02.05.24.SBFEB04.R1__NA__NA__240209_WW__00X.tsv,02/04/24,
