Sample,sample_collection_datetime,viral_load
12.29.22.ENCDEC21.R1__NA__NA__221229_WW__00X.tsv,12/21/22 ,
12.29.22.ENCDEC29.R1__NA__NA__221229_WW__00X.tsv,12/29/22,
12.29.22.PLDEC25.R1__NA__NA__221229_WW__00X.tsv,12/25/22,
12.29.22.PLDEC26.R1__NA__NA__221229_WW__00X.tsv,12/26/22,
12.29.22.PLDEC27.R1__NA__NA__221229_WW__00X.tsv,12/27/22,
12.29.22.PLDEC28.R1__NA__NA__221229_WW__00X.tsv,12/28/22,
12.29.22.SBDEC22.R1__NA__NA__221229_WW__00X.tsv,12/22/22,
12.29.22.SBDEC27.R1__NA__NA__221229_WW__00X.tsv,12/27/22,
