Sample,sample_collection_datetime,viral_load
7.12.23.ENCJUL07.R2__NA__NA__230911_WW__00X.tsv,7/07/23,
7.12.23.ENCJUL11.R1__NA__NA__230911_WW__00X.tsv,7/11/23,
7.12.23.SBJUL06.R2__NA__NA__230911_WW__00X.tsv,7/06/23,
7.12.23.SBJUL09.R2__NA__NA__230911_WW__00X.tsv,7/09/23,
7.13.23.PLJUL09.R1__NA__NA__230911_WW__00X.tsv,7/09/23,
7.13.23.PLJUL10.R1__NA__NA__230911_WW__00X.tsv,7/10/23,
7.14.23.PLJUL11.R1__NA__NA__230911_WW__00X.tsv,7/11/23,
9.05.23.PLJUL19.R1__NA__NA__230911_WW__00X.tsv,7/19/23,
9.06.23.ENCAUG30.R1__NA__NA__230911_WW__00X.tsv,8/30/23,
9.06.23.ENCSEP05.R1__NA__NA__230911_WW__00X.tsv,9/05/23,
9.06.23.PLSEP03.R2__NA__NA__230911_WW__00X.tsv,9/03/23,
9.06.23.PLSEP04.R2__NA__NA__230911_WW__00X.tsv,9/04/23,
9.06.23.SBSEP03.R2__NA__NA__230911_WW__00X.tsv,9/03/23,
9.06.23.SBSEP05.R2__NA__NA__230911_WW__00X.tsv,9/05/23,
9.08.23.PLSEP05.R2__NA__NA__230911_WW__00X.tsv,9/05/23,
9.08.23.PLSEP06.R1__NA__NA__230911_WW__00X.tsv,9/06/23,
