Sample,sample_collection_datetime,viral_load
11.22.23.ENCNOV15.R1.rerun__NA__NA__231207_WW__00X.tsv,11/15/23,
11.22.23.ENCNOV20.R2.rerun__NA__NA__231207_WW__00X.tsv,11/20/23,
11.22.23.PLNOV19.R2.rerun__NA__NA__231207_WW__00X.tsv,11/19/23,
11.22.23.PLNOV20.R2.rerun__NA__NA__231207_WW__00X.tsv,11/20/23,
11.22.23.SBNOV19.R2.rerun__NA__NA__231207_WW__00X.tsv,11/19/23,
11.22.23.SBNOV21.R1.rerun__NA__NA__231207_WW__00X.tsv,11/21/23,
11.27.23.PLNOV21.R2.rerun__NA__NA__231207_WW__00X.tsv,11/21/23,
11.27.23.PLNOV22.R2.rerun__NA__NA__231207_WW__00X.tsv,11/22/23,
11.29.23.ENCNOV24.R2.rerun__NA__NA__231207_WW__00X.tsv,11/24/23,
11.29.23.ENCNOV28.R2.rerun__NA__NA__231207_WW__00X.tsv,11/28/23,
11.29.23.PLNOV26.R1.rerun__NA__NA__231207_WW__00X.tsv,11/26/23,
11.29.23.PLNOV27.R2.rerun__NA__NA__231207_WW__00X.tsv,11/27/23,
11.29.23.SBNOV23.R2.rerun__NA__NA__231207_WW__00X.tsv,11/23/23,
11.29.23.SBNOV28.R2.rerun__NA__NA__231207_WW__00X.tsv,11/28/23,
12.01.23.PLNOV28.R1.rerun__NA__NA__231207_WW__00X.tsv,11/28/23,
12.01.23.PLNOV29.R1.rerun__NA__NA__231207_WW__00X.tsv,11/29/23,
