	summarized	lineages	abundances	resid	coverage
2.15.23.PLFEB12.rerun__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5664053669965482), ('BQ.1* [Omicron (BQ.1.X)]', 0.21406763496484404), ('Omicron', 0.10713670381733661), ('BA.5* [Omicron (BA.5.X)]', 0.05713070610895245), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.007024494999229746), ('Other', 0.002724813951443504)]	XBB.1.5.9 XBB.1.5.10 BQ.1.28 BQ.1.1.32 DT.3 XBB.1.5.11 XBB.1.15 XBB.1.9.1 XBB.1.1 BQ.1.1.62 XBB.1.5.2 XBB.1.7 BA.5 BE.1.1.1 BQ.1.18 BA.5.6 BQ.1.1.15 BQ.1.1.37 BQ.1.1.27 XAC EE.5 BQ.1.1.35 BQ.1.25.1 BE.1.2 BQ.1.1.52 BQ.1.1.7 BQ.1.17 BQ.1.1.6 BQ.1.1.56 BQ.1.1.10 XBB.1.13 BQ.1.1.51 BA.2.3.4 DL.1 BE.1.4.2 BQ.1.1.39 BE.1 BW.1 BW.1.1.1 BF.31.1 BQ.1.1.38 BQ.1.10.3 XBB.2.1 BQ.1.1.29 XAZ BQ.1.1.63 BQ.1.1.54 DW.1 BA.2.75.8 EE.2 BW.1.2 XQ DJ.1.2 DT.2 BN.3 BQ.1.1.47 BE.2 CY.1 XAH BA.2.70 XBB.1.8 BQ.1.1.24 B.11 BK.1 XBB.1.11 ED.3 BA.2.3.8 BQ.1.1.21 BM.6 BE.4.2 B.58 BA.4.4 XBB.3.3 BM.2.1 BQ.1.16 BE.5 BQ.1.1.41 BF.7.17 DS.3 BA.5.9 CZ.1	0.40539860 0.11828000 0.04285710 0.04099068 0.03254336 0.03224070 0.02763721 0.02631580 0.01685688 0.01414109 0.01048607 0.01047120 0.00864379 0.00820117 0.00703453 0.00667989 0.00615385 0.00468384 0.00468384 0.00451692 0.00427350 0.00412712 0.00410664 0.00383290 0.00362976 0.00359066 0.00333333 0.00317460 0.00313901 0.00310409 0.00300300 0.00293460 0.00291849 0.00290276 0.00284900 0.00280426 0.00252416 0.00236384 0.00230947 0.00230017 0.00222113 0.00207469 0.00202931 0.00201410 0.00193838 0.00192678 0.00191939 0.00189394 0.00182983 0.00181488 0.00180180 0.00178731 0.00174234 0.00174216 0.00165489 0.00159865 0.00159209 0.00153374 0.00152905 0.00147059 0.00145879 0.00144196 0.00143739 0.00143130 0.00140159 0.00137489 0.00133715 0.00132100 0.00130077 0.00129032 0.00128742 0.00124456 0.00122047 0.00118994 0.00116279 0.00114815 0.00113636 0.00105895 0.00104907 0.00103093 0.00101300	16.594651350926064	97.66578604153429
2.17.23.SBFEB16.rerun__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5532453204121088), ('BQ.1* [Omicron (BQ.1.X)]', 0.22705300552718155), ('Omicron', 0.17395721075450735), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.007814416037998078), ('Other', 0.0021686406312902756)]	XBB.1.5.9 XBB.1.5.3 XBB.1.1 BQ.1.1.32 XBB.1.15 XBB.1.5.2 BQ.1.25.1 XBB.1.5 BQ.1.1.10 XBB.1.9.1 BQ.1.1.7 BQ.1.1.69 XAS BQ.1.1.15 BQ.1.2.1 BQ.1.17 BQ.1.1.13 BQ.1.29 XBB.1.8 BQ.1.1.41 BQ.1.1.21 BQ.1.5 XBB.1.5.14 XBB.1.5.1 BM.2.1 BQ.1.1.50 BQ.1.24 CM.8 BQ.1.1.35 XBB.1.5.11 BQ.1.1.54 EF.1.2 XBF.2 CM.2 CZ.2 BQ.1.1.37 BQ.1.1.29 XBB.3.1 BQ.1.1.62 BN.1.3.1 BQ.1.1.43 BQ.1.15.1 BQ.1.1.17 BA.4.4 XBB.1.11 BQ.1.1.24 CW.1 XBR BA.2.75.8 XBB.2.3 XBB.1.9 BN.1.4.4 XBB.1.4.1 XAC CZ.1 BQ.1.15 B.58 B.1.218	0.38234714 0.10602546 0.08163270 0.06164060 0.03686270 0.02941180 0.02820306 0.02363578 0.01888570 0.01703670 0.01589393 0.01304350 0.01286231 0.00851064 0.00773814 0.00757576 0.00709781 0.00707825 0.00702811 0.00674916 0.00664452 0.00626781 0.00516265 0.00417973 0.00337838 0.00322061 0.00308642 0.00261869 0.00255700 0.00248276 0.00243853 0.00238018 0.00223347 0.00210619 0.00201256 0.00200000 0.00191571 0.00189753 0.00176542 0.00174672 0.00168492 0.00166537 0.00161290 0.00154253 0.00149847 0.00147059 0.00145493 0.00140141 0.00139860 0.00139018 0.00131111 0.00129072 0.00127199 0.00126312 0.00123419 0.00122480 0.00112867 0.00103997	13.352324865693134	92.442229876601
2.17.23.PLFEB15.rerun__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.6613237309569061), ('BQ.1* [Omicron (BQ.1.X)]', 0.15084568998558104), ('BA.5* [Omicron (BA.5.X)]', 0.08968407300986002), ('Omicron', 0.05484763890028339), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.014196597780668143)]	XBB.1.5.9 XBB.1.5.3 CQ.2 BQ.1.1.14 XBB.1.5 XBB.1.13 BQ.1.1.15 BQ.1.1.7 BQ.1.25.1 BM.2.1 BA.4.1.8 XBB.1.5.5 BQ.1.1.10 BQ.1.30 BQ.1.1.35 BQ.1.1.39 BQ.1.1.62 DT.3 BA.4.3 XBB.1.11 BQ.1.1.51 BE.5 BQ.1.1.46 BE.1.2 CJ.1.1 BA.4.1.3 BQ.1.1.23 XAE XAC BA.5.6.2 BQ.1.1.24 XBB.1.5.1 XBB.1.5.14 XBB.1.8 XBB.1.9 BF.7.17 BA.2.46 BQ.1.1.26 BF.31.1 EF.1.2 XV BN.1.1.1 BM.4.1 BM.4.1.1 XBB.1.5.11 CZ.1 BN.1.5	0.47480750 0.11130902 0.08092244 0.06992439 0.06449888 0.03125000 0.01960780 0.01665768 0.00879300 0.00781250 0.00738007 0.00671141 0.00521440 0.00418410 0.00409836 0.00352837 0.00343607 0.00328228 0.00313296 0.00303921 0.00289855 0.00261679 0.00228022 0.00217746 0.00205903 0.00198020 0.00196335 0.00161551 0.00160885 0.00160578 0.00159681 0.00153139 0.00140873 0.00127959 0.00123812 0.00120919 0.00120555 0.00119119 0.00115241 0.00114090 0.00111758 0.00111732 0.00108177 0.00108177 0.00105680 0.00104822 0.00104420	13.86981640013128	92.31515232585359
2.22.23.ENCFEB14.R1__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.47797908999684297), ('BQ.1* [Omicron (BQ.1.X)]', 0.2677095728313886), ('Omicron', 0.17530957617206747), ('BA.5* [Omicron (BA.5.X)]', 0.042284194175827725), ('Other', 0.004103014426632733), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0036290199962614204)]	XBB.1.5.5 XBB.1.13 XBB.1.5.1 BQ.1.1.41 BQ.1.1.67 DT.3 BE.1.1 BQ.1.8 XBB.1.5.13 BQ.1.1.48 BQ.1.1.53 BE.1.1.2 BQ.1.1.27 BQ.1.18 BQ.1.22 BQ.1.1.28 XBB.1.9 BQ.1.17 BQ.1.1.57 XBB.1.4 BJ.1 XBB.1.5.9 XBL BA.2.44 BQ.1.1.10 BQ.1.1.39 XQ XE BQ.1.1.37 EE.4 BQ.1.1.4 XBB.1.9.3 XBB.1.5.7 BQ.1.1.23 BQ.1.1.59 BA.2.48 BG.2 BQ.1.10.1 BQ.1.1.29 BQ.1.15.1 XBB.1.5.11 BQ.1.1.38 BA.4.4 XBB.1.6 XBB.3.1 BY.1.1 BQ.1.1.60 EH.1 BQ.1.1.51 BA.2.75.8 XAS XBB.1.11 CA.3.1 XH	0.38359829 0.13547496 0.06141450 0.05389449 0.03623190 0.03623190 0.03050898 0.02715938 0.02345848 0.02263370 0.02190220 0.01177522 0.00925926 0.00800000 0.00642795 0.00639345 0.00623228 0.00602410 0.00588235 0.00585007 0.00575665 0.00548697 0.00410301 0.00304414 0.00274887 0.00273973 0.00272861 0.00263197 0.00260078 0.00256181 0.00256181 0.00252845 0.00247525 0.00219780 0.00196464 0.00189274 0.00173399 0.00167862 0.00165654 0.00163666 0.00154560 0.00153212 0.00138321 0.00138122 0.00137931 0.00131234 0.00130829 0.00124155 0.00123967 0.00119560 0.00115508 0.00113250 0.00112108 0.00100439	14.82945910121946	78.78139317125373
2.24.23.SBFEB21.R1__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.7506609999929255), ('Omicron', 0.16983965719732635), ('BQ.1* [Omicron (BQ.1.X)]', 0.029297312797089473), ('Other', 0.021869570998887734), ('BA.5* [Omicron (BA.5.X)]', 0.005130933000693031), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0011435099997098403)]	XBB.1.5.14 XBB.1.4 XBB.1.5.11 XBB.1.1 XBL XBB.1.5.10 BQ.1.1.55 DM.1 BQ.1.25.1 BQ.1.30 CW.1 XBB.1.5.1 XBB.1.5.5 XBB.1.9 BQ.1.1.25 XBB.1.5.9 BT.2 BA.4.4 BF.11.4 CM.6.1 B.4.6 CQ.1 DV.3.1 XBK.1 B.1.218	0.68475712 0.13480227 0.04870340 0.02816900 0.01962593 0.00680272 0.00641026 0.00580271 0.00548994 0.00422297 0.00420687 0.00400802 0.00332226 0.00321633 0.00316456 0.00306748 0.00264550 0.00132539 0.00132264 0.00120645 0.00119907 0.00116279 0.00114351 0.00112022 0.00104457	12.335964282614269	78.13262883322743
2.17.23.PLFEB14.rerun__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.45146793089537346), ('BQ.1* [Omicron (BQ.1.X)]', 0.39666584847896574), ('Omicron', 0.12722887191439725), ('A', 0.0012437799950446634), ('BA.5* [Omicron (BA.5.X)]', 0.0011198200768307146)]	XBB.1.5.9 BQ.1.1.4 XBB.1.15 XBB.1.5.4 BQ.1.25.1 BQ.1.1.10 XBB.1.5.1 BQ.1.1.58 BQ.1.1.37 BQ.1.1.25 XBB.1.5.10 BQ.1.1.15 BQ.1.1.7 BQ.1.1.52 DR.1 XBB.1.9 BQ.1.1.62 XBB.1.6 BQ.1.1.55 BQ.1.1.32 BQ.1.1.51 BQ.1.1.50 XBB.1.9.3 XAC XBB.1.8 XY BQ.1.1.59 XBB.1.7 A.1 BQ.1.16 BQ.1.1.35 BF.7.17 DK.1 EA.1 XAE BA.2.53 CZ.1	0.39413470 0.27768705 0.11046529 0.04033453 0.03457990 0.02432490 0.01204820 0.01005030 0.00778210 0.00546448 0.00495050 0.00484653 0.00434605 0.00396243 0.00326340 0.00324722 0.00320171 0.00317460 0.00294695 0.00279720 0.00247525 0.00198020 0.00191939 0.00183655 0.00167645 0.00156863 0.00148810 0.00125000 0.00124378 0.00117371 0.00112867 0.00111982 0.00108873 0.00106270 0.00104690 0.00104384 0.00101549	14.660232464709637	90.70996221114939
2.22.23.ENCFEB21.R2__NA__NA__230224_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.7534937070454345), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.19093045086685312), ('Omicron', 0.021477114729184378), ('Other', 0.00605020831024034), ('BA.5* [Omicron (BA.5.X)]', 0.0025612297052983787)]	BQ.1.12 XBB.1.5.5 BQ.1.17 XBB.1.5.9 XBB.1.5.13 BQ.1.1.50 BQ.1.1.10 XE BQ.1.1.37 BQ.1.13 BA.4.6.3 BA.2.53 B.58 B.11 BQ.1.10.3 DK.1 BQ.1.1.7 XBB.1.11 BA.4.1.1 BA.2.60 BQ.1.1.35 BA.2.8 BQ.1.28 EC.1 BU.1 BQ.1.11.1 BA.2.3.18 XBB.1.5.1 BW.1.1.2 BA.4.1.7 BA.2.85 B.1.160.7 BA.4.1.3	0.63346411 0.16594489 0.08681030 0.01307190 0.01066730 0.00854701 0.00496415 0.00456074 0.00405680 0.00400000 0.00315856 0.00261780 0.00255754 0.00244898 0.00208182 0.00186966 0.00186966 0.00180668 0.00165700 0.00159872 0.00156495 0.00149869 0.00149701 0.00143312 0.00137850 0.00133511 0.00129282 0.00124636 0.00118273 0.00117242 0.00110865 0.00104369 0.00100503	12.782044599309158	68.77905226900312
2.15.23.PLFEB13.rerun__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.5909691171479037), ('BQ.1* [Omicron (BQ.1.X)]', 0.26589937244965106), ('Omicron', 0.06738190048378659), ('BA.5* [Omicron (BA.5.X)]', 0.01785598982423546), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.011171443917443851), ('A', 0.003957389946599012)]	XBB.1.5.9 BQ.1.1.15 XBB.1.5.4 BQ.1.25.1 BQ.1.1.67 BQ.1.1.63 BQ.1.1.7 XBB.1.5.13 BQ.1.1.6 XBB.1.1 BQ.1.1.13 XBB.1.5.10 XBB.1.9.1 XBB.1.7 BQ.1.1.41 BQ.1.1.10 XBF.4 XBB.1.15 BQ.1.1.14 XBB.1.9 BQ.1.2.1 BQ.1.1.1 XBB.1.5.11 BM.1.1.5 BQ.1.1.51 BQ.1.28 BQ.1.1.46 BQ.1.29 BE.1.2 BQ.1.1.50 DR.1 BE.1.1.2 BQ.1.10.3 XBB.1.5.7 BQ.1.1.58 BQ.1.1.2 XBB.1.5.5 BQ.1.1.54 BQ.1.1.44 A.27 BQ.1.1.22 BA.5.1.31 BQ.1.1.37 DT.2 BF.38.3 BQ.1.1.62 BQ.1.1.39 BQ.1.1.70 XAC BQ.1.1.35 BQ.1.10.2 BQ.1.15.2 BF.31.1 XBB.2.3 EE.2 BQ.1.1.24 XBB.3.1 BA.2.75.8 BQ.1.1.52 BM.2.1 BE.1.4.2 BQ.1.1.65 A.2.2 DN.1.1.1 BN.1.4.3 XBB.1.11 BQ.1.1.60 XBB.1.5.1 BQ.1.1.17 BQ.1.1.23 DJ.1.2 CC.1 BQ.1.1.59 BA.4.7 XBB.1.9.3 XBB.1.5.14	0.51946568 0.04517450 0.02790225 0.02542370 0.01918705 0.01654850 0.01496873 0.01495260 0.01395350 0.01299203 0.01264335 0.01250000 0.01115431 0.00974279 0.00970874 0.00967970 0.00888637 0.00837521 0.00812570 0.00758361 0.00757576 0.00726537 0.00723380 0.00685901 0.00622730 0.00524306 0.00503740 0.00425531 0.00420168 0.00415512 0.00403662 0.00375259 0.00370370 0.00357143 0.00342466 0.00334223 0.00311526 0.00309215 0.00263539 0.00263235 0.00250627 0.00247402 0.00232558 0.00208943 0.00206233 0.00205580 0.00196850 0.00192550 0.00192308 0.00189221 0.00186534 0.00175893 0.00175747 0.00169779 0.00169205 0.00161388 0.00160077 0.00156924 0.00154155 0.00142857 0.00141123 0.00136851 0.00132504 0.00131738 0.00131463 0.00131188 0.00119514 0.00118024 0.00117165 0.00112943 0.00110497 0.00109170 0.00107469 0.00106033 0.00105374 0.00104786	15.752243788412443	95.87666789285356
2.24.23.SBFEB19.R1__NA__NA__230224_WW__00X.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.4985590799993361), ('BA.5* [Omicron (BA.5.X)]', 0.30248073399483527), ('BQ.1* [Omicron (BQ.1.X)]', 0.19055612999144214), ('Omicron', 0.005538270003172839), ('Other', 0.001395000005337029)]	XBB.1.5.5 BE.1.1.1 BQ.2 BE.1.2 BE.1 BE.1.1 BQ.1.1.10 BQ.1.1.14 XBB.1.5.13 BQ.1.1.19 BA.5.1.33 BQ.1.1.9 BQ.1.1.15 BQ.1.1 BQ.1.1.24 BQ.1.1.32 BQ.1.1.47 EA.2 BQ.1.1.67 DT.1 BQ.1.1.53 BQ.1.1.25 BQ.1.1.20 DM.1 DT.3 DT.2 BQ.1.1.66 BQ.1.1.45 BQ.1.18 BQ.1.1.11 BQ.1.1.58 BQ.1.1.52 XAU EF.2 BQ.1.1.46 BQ.1.2 XAJ B.1.1.408 BQ.1.8.2 XBB.3.1 BA.5.1.35	0.47355908 0.07102880 0.07102880 0.05714290 0.04744541 0.04597700 0.04046240 0.02711320 0.02500000 0.01265820 0.00872274 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00491828 0.00294118 0.00243902 0.00181488 0.00153139 0.00140944 0.00139500 0.00125313 0.00118765 0.00113507	7.000167412697442	40.109687991171455
2.14.23.ENCFEB08.rerun__NA__NA__230224_WW__00X.tsv	[('BQ.1* [Omicron (BQ.1.X)]', 0.6630861180751925), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.25216707074594574), ('Omicron', 0.04985019996477134), ('Other', 0.007903690012086517), ('BA.5* [Omicron (BA.5.X)]', 0.002089580107597663), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0011731599722000473), ('A', 0.0011363599947498294)]	BQ.1.1.45 XBB.1.5.9 BQ.1.1.32 BQ.1.1.14 XBB.1.13 DT.3 DT.2 XBB.1.5.13 EF.2 XBB.1.5.12 XBB.1.5.4 BQ.1.17 XBB.1.5.14 XBB.1.9 XBL BQ.1.1.10 BQ.1.1.24 XBB.1.9.3 XBB.1.5.11 BQ.1.10.3 DR.1 DK.1 BQ.1.1.38 BQ.1.1.59 BQ.1.1.60 XBB.3.3 XBB.1.11 BQ.1.1.62 BQ.1.1.41 BA.4.4 B.1.1.371 EA.1 BQ.1.1.39 BQ.1.28 XBB.3.1 BA.2.59 XBR BQ.1.1.23 XBB.1.5.6 BQ.1.1.9 B.1.258.9 BA.2.75.8 A.2 XBB.1.8 BA.5.2.39 XBB.1.12 BE.1.4.1 BQ.1.1.51	0.33751621 0.20040822 0.19842250 0.03056580 0.02727270 0.02127660 0.01714290 0.01660210 0.01259433 0.01190480 0.00955712 0.00892857 0.00884419 0.00592913 0.00485437 0.00372165 0.00360144 0.00349650 0.00333778 0.00322928 0.00309598 0.00283688 0.00258828 0.00238095 0.00234604 0.00221729 0.00213675 0.00188501 0.00181488 0.00179211 0.00175398 0.00171527 0.00170100 0.00166113 0.00165519 0.00161204 0.00157978 0.00153846 0.00151286 0.00151286 0.00129534 0.00117316 0.00113636 0.00110497 0.00106952 0.00105374 0.00102006 0.00101010	16.161108241295043	95.83988228605826
