Sample,sample_collection_datetime,viral_load
1.18.23.ENCJAN13.R2__NA__NA__230120_WW__00X.tsv,01/13/23 ,
1.18.23.ENCJAN17.R2__NA__NA__230120_WW__00X.tsv,01/17/23,
1.19.23.PLJAN15.R2__NA__NA__230120_WW__00X.tsv,01/15/23,
1.19.23.PLJAN16.R1__NA__NA__230120_WW__00X.tsv,01/16/23,
1.19.23.PLJAN17.R2__NA__NA__230120_WW__00X.tsv,01/17/23,
1.19.23.PLJAN18.R1__NA__NA__230120_WW__00X.tsv,01/18/23,
1.19.23.SBJAN15.R1__NA__NA__230120_WW__00X.tsv,01/15/23,
1.19.23.SBJAN17.R2__NA__NA__230120_WW__00X.tsv,01/17/23,
