Sample,sample_collection_datetime,viral_load
6.07.23.PLJUN04.R1__NA__NA__230721_WW__00X.tsv,6/4/23,
6.07.23.PLJUN05.R2__NA__NA__230721_WW__00X.tsv,6/5/23,
6.07.23.SBJUN04.R2__NA__NA__230721_WW__00X.tsv,6/4/23,
6.07.23.SBMAY30.R1__NA__NA__230721_WW__00X.tsv,5/30/23,
6.09.23.PLJUN06.R1__NA__NA__230721_WW__00X.tsv,6/6/23,
6.09.23.PLJUN07.R2__NA__NA__230721_WW__00X.tsv,6/7/23,
6.21.23.ENCJUN14.R2__NA__NA__230721_WW__00X.tsv,6/14/23,
6.21.23.ENCJUN20.R1__NA__NA__230721_WW__00X.tsv,6/20/23,
