Lineage,Estimated Advantage,Bootstrap 95% interval
BQ.1.1,55.0%,"[55.00% , 55.00%]"
BQ.1.14,55.0%,"[55.00% , 55.00%]"
BN.1.3,55.0%,"[55.00% , 55.00%]"
BN.1.5,55.0%,"[55.00% , 55.00%]"
BE.1.1.1,55.0%,"[55.00% , 55.00%]"
CR.1,55.0%,"[55.00% , 55.00%]"
BQ.1.1.5,55.0%,"[55.00% , 55.00%]"
BA.5.2,55.0%,"[55.00% , 55.00%]"
BF.11,55.0%,"[55.00% , 55.00%]"
BE.1.2,55.0%,"[55.00% , 55.00%]"
BF.32,55.0%,"[55.00% , 55.00%]"
BF.24,55.0%,"[55.00% , 55.00%]"
BF.14,55.0%,"[55.00% , 55.00%]"
BA.5.1.22,55.0%,"[55.00% , 55.00%]"
BA.5.11,55.0%,"[55.00% , 55.00%]"
CK.1,55.0%,"[55.00% , 55.00%]"
BQ.1.1.18,55.0%,"[55.00% , 55.00%]"
BF.7,55.0%,"[55.00% , 55.00%]"
XBB.1.1,55.0%,"[55.00% , 55.00%]"
BA.5.2.4,55.0%,"[55.00% , 55.00%]"
BQ.1.1.4,55.0%,"[55.00% , 55.00%]"
BF.26,55.0%,"[55.00% , 55.00%]"
BA.5.2.13,55.0%,"[55.00% , 55.00%]"
BA.5.1.30,55.0%,"[55.00% , 55.00%]"
BU.3,55.0%,"[55.00% , 55.00%]"
BQ.1.10,55.0%,"[55.00% , 55.00%]"
CR.1.1,55.0%,"[55.00% , 55.00%]"
BA.5.1.24,55.0%,"[55.00% , 55.00%]"
BE.1.1,55.0%,"[55.00% , 55.00%]"
BA.5.1.10,55.0%,"[55.00% , 55.00%]"
BF.6,55.0%,"[55.00% , 55.00%]"
BF.7.5,55.0%,"[55.00% , 55.00%]"
BF.27,55.0%,"[55.00% , 55.00%]"
BN.1.2,55.0%,"[55.00% , 55.00%]"
BW.1,55.0%,"[55.00% , 55.00%]"
BQ.1.1.3,55.0%,"[55.00% , 55.00%]"
BA.5.1.27,55.0%,"[55.00% , 55.00%]"
BA.5.2.20,55.0%,"[55.00% , 55.00%]"
XBB.2,55.0%,"[55.00% , 55.00%]"
CW.1,55.0%,"[55.00% , 55.00%]"
BA.5.1,55.0%,"[55.00% , 55.00%]"
BA.5.3.1,55.0%,"[55.00% , 55.00%]"
BA.5.2.6,55.0%,"[55.00% , 55.00%]"
CT.1,55.0%,"[55.00% , 55.00%]"
BE.4,55.0%,"[55.00% , 55.00%]"
BA.5.2.21,55.0%,"[55.00% , 55.00%]"
BQ.1.3,55.0%,"[55.00% , 55.00%]"
BV.2,55.0%,"[55.00% , 55.00%]"
BF.10,55.0%,"[55.00% , 55.00%]"
BQ.1.23,55.0%,"[55.00% , 55.00%]"
BQ.1.12,55.0%,"[55.00% , 55.00%]"
BE.1,55.0%,"[55.00% , 55.00%]"
BQ.1.2,55.0%,"[55.00% , 55.00%]"
XBB.1,55.0%,"[55.00% , 55.00%]"
CB.1,55.0%,"[55.00% , 55.00%]"
BE.7,55.0%,"[55.00% , 55.00%]"
BA.2.75.5,55.0%,"[55.00% , 55.00%]"
BQ.1.22,55.0%,"[55.00% , 55.00%]"
BQ.1.1.10,55.0%,"[55.00% , 55.00%]"
BQ.1.10.1,55.0%,"[55.00% , 55.00%]"
BA.5,55.0%,"[55.00% , 55.00%]"
BA.5.1.12,55.0%,"[55.00% , 55.00%]"
BQ.1.1.15,55.0%,"[55.00% , 55.00%]"
BA.5.6.2,55.0%,"[55.00% , 55.00%]"
BF.7.4.1,55.0%,"[55.00% , 55.00%]"
BA.5.2.16,55.0%,"[55.00% , 55.00%]"
XAS,55.0%,"[55.00% , 55.00%]"
XBE,55.0%,"[55.00% , 55.00%]"
BF.28,55.0%,"[55.00% , 55.00%]"
BF.7.8,55.0%,"[55.00% , 55.00%]"
BQ.1.5,55.0%,"[55.00% , 55.00%]"
BE.1.2.1,55.0%,"[55.00% , 55.00%]"
Other,55.0%,"[55.00% , 55.00%]"
