	summarized	lineages	abundances	resid	coverage
12.18.23.PLDEC10.R2__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9041474274056941), ('Other', 0.014914414358534604)]	EG.5.1.6 JN.1 EG.5.1.4 HV.1.6.1 JN.10 JG.3 JN.1.2 HK.19 EG.5 EG.5.1.3 FL.1.5.1 BA.2.86.1 JN.1.3 JD.1.1.1 HN.3 JN.2 HV.1.5 HV.1.4 HV.1.6 EG.13 HK.6 JN.8 JN.1.1 HV.1.1 HV.1.2 XCP HK.15 JG.3.1 EG.4.5 HK.13.1 EG.8 XDC EG.5.2.3 JD.1.1.6 JF.4 EG.5.1.12 FL.24.1 BA.2.10.4 XBB.1.16.27 EG.9 HF.1.1 XBB.1.16.9 FL.2.2.1 BA.2.15 JN.7 XDG HA.2 XCN HK.16 GE.1.2.1 XBB.2.3.18 XCZ JF.1 EK.2.1 FE.1.1.4 HZ.2 BA.2.86.3 HV.1.7 HK.3.13 GA.4.2 GJ.6 XBB.1.16.32 JB.1.1 XCW JD.1.2.2 XE JD.1.2 FL.2.3.1 EG.1.8 FL.4.6 BW.1.1.1 JN.9 XBB.1.5.50 HR.1.1 JF.3 XBB.1.16.25 JC.1 EU.1.1.3 HK.3.12 FL.1.8 XBB.1.9.6 XBB.1.19.2 JG.1 B.1.629 XBB.3.3 EK.3 JJ.1 FL.31.1 FL.39.1 FU.5 XBB.1.16.31	0.19504479 0.15003295 0.05979103 0.04937678 0.04226366 0.04161086 0.03869890 0.03371686 0.02548880 0.02202117 0.01386368 0.01382868 0.01249017 0.01237052 0.01134866 0.01104860 0.01014040 0.00877835 0.00858072 0.00787402 0.00721501 0.00606061 0.00561798 0.00509735 0.00505640 0.00361272 0.00357782 0.00349854 0.00343540 0.00312668 0.00299401 0.00287098 0.00283889 0.00281124 0.00277008 0.00265059 0.00249348 0.00246248 0.00238360 0.00229717 0.00220725 0.00216651 0.00215285 0.00212766 0.00205800 0.00203400 0.00192878 0.00191592 0.00189433 0.00188584 0.00183150 0.00179563 0.00179121 0.00176829 0.00175653 0.00172414 0.00171772 0.00168209 0.00167306 0.00165517 0.00162618 0.00161713 0.00161160 0.00158586 0.00151464 0.00151286 0.00150121 0.00149257 0.00144300 0.00141844 0.00140515 0.00135969 0.00134907 0.00133845 0.00132409 0.00130492 0.00124297 0.00121837 0.00121388 0.00116144 0.00114280 0.00111058 0.00110762 0.00109930 0.00109796 0.00108932 0.00107907 0.00104915 0.00102617 0.00100671 0.00100452	20.082888714769958	96.2211149383005
12.18.23.PLDEC11.R2__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9032480558521773), ('Other', 0.014143072999633273)]	JN.1 EG.5.1.6 HK.19 FL.1.5.2 HV.1.1 HK.6 HK.13 KB.1 JG.3 HK.27 JN.1.2 XBB.1.16.15 JF.1.1 EG.5.1.4 XDF HV.1.2 JN.1.1.1 JG.3.1 EG.5.2.3 XBB.1.9.2 JD.1 HV.1.6.1 EG.5.1.12 EG.7 EG.4 EG.5.1.9 HK.30 HK.8.1 JD.1.1.6 JJ.1 HK.31 JD.1.1.2 JN.9 JF.4 XBB.1.16.27 XBB.1.16.24 JF.1.1.2 EG.11 BA.2.86.3 KJ.1 JD.1.1.5 XBB.1.16.32 JD.2.1 GE.1.2.1 HK.29 XCZ HV.2 HK.34.1 EK.2 HN.6 JC.1 JD.1.2.2 EG.8 FE.1.1.4 HK.3.2.2 EG.4.4 HB.1 XBB.1.34.1 HK.13.1 GM.1 XDG FL.13.5 GJ.1.1 XCN JB.1.1 GJ.1.2.5 XBB.1.43.1 HK.3.12 XBB.2.3.18 HK.3.13 JD.1.2.1 EG.6.1.1 GW.1.1 GA.4.2 XBB.1.5.87 XBB.3.3 EG.14 JF.1 EG.2.4	0.27166901 0.14091180 0.06723837 0.05443864 0.03729332 0.03006510 0.02636071 0.02554640 0.02542573 0.01892950 0.01504280 0.01319271 0.01261053 0.01228918 0.00963956 0.00893427 0.00848485 0.00805952 0.00725514 0.00677354 0.00533254 0.00480109 0.00371854 0.00367548 0.00354244 0.00342075 0.00331950 0.00323102 0.00317289 0.00285578 0.00275292 0.00252016 0.00236714 0.00236708 0.00234673 0.00231415 0.00221157 0.00216785 0.00216060 0.00214508 0.00212898 0.00207433 0.00195695 0.00190263 0.00181928 0.00179741 0.00175039 0.00173812 0.00172414 0.00170741 0.00169940 0.00169779 0.00167645 0.00163063 0.00158722 0.00157791 0.00157670 0.00151734 0.00146574 0.00141157 0.00138829 0.00134318 0.00133711 0.00131781 0.00124868 0.00124535 0.00123548 0.00122499 0.00122399 0.00118906 0.00118665 0.00115407 0.00112734 0.00106039 0.00105734 0.00101695 0.00100844 0.00100109 0.00100050	20.408907376308917	97.33137143430424
12.18.23.ENCDEC15.R1__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.8965483891031099), ('Other', 0.023487577113202235)]	JN.1 EG.5.1.6 HK.13.1 JG.3 HV.1.6 HK.19 JN.7 EG.5.1.4 HK.23 HK.20.1 EG.5.1.3 XDF HV.1.6.1 HK.11 EG.7 JN.10 HV.1.2 FL.2.4 FL.2.1 HK.11.1 JN.1.1.1 XBB.1.16.9 EG.5.1.13 JD.1.1.1 FL.23.1 XCV HK.30 HK.13.2 EG.8 FE.1.1.4 XDG HK.3.13 XBB.3.3 XBB.1.16.27 HK.15 EG.5.1.17 XBB.1.15.1 HK.31 GK.1.7 EG.5.1.15 HK.13 JD.1.1.5 EK.2 HK.14 EG.2.4 FY.2.1 JD.1.1.6 FL.2.3.1 JN.9 XBB.1.36 EG.12 HK.6 EG.11 HN.3.1 HK.7 EG.2.5 JF.3 KJ.1 XBB.1.45.1 XBB.1.5.50 FP.2.1.1 EG.9 HK.3.12 XBB.1.34.1 HT.1 HZ.2 HV.1.5 XBB.1.16.5 XBB.1.27 XBB.1.5.57 EG.5.1.5 XBB.1.5.109 HD.1.1 GW.1.1 XAC XCG FL.38 XBB.1.9.6	0.21685308 0.12469151 0.09231280 0.07468524 0.04938840 0.03265905 0.03020398 0.02749715 0.02578269 0.02457470 0.01968845 0.01691140 0.01577860 0.01369635 0.01353710 0.00878276 0.00761124 0.00744109 0.00710467 0.00597285 0.00596281 0.00419111 0.00393479 0.00361301 0.00347813 0.00334448 0.00299103 0.00290698 0.00264784 0.00229702 0.00222222 0.00220751 0.00213246 0.00203926 0.00200000 0.00189344 0.00188361 0.00187919 0.00186175 0.00186150 0.00181565 0.00176286 0.00166963 0.00164852 0.00164339 0.00164114 0.00157978 0.00155790 0.00155017 0.00148699 0.00145349 0.00140960 0.00139309 0.00137678 0.00132611 0.00132010 0.00131199 0.00128287 0.00123771 0.00122607 0.00120984 0.00120555 0.00119523 0.00117371 0.00116347 0.00114286 0.00113250 0.00112999 0.00112201 0.00109755 0.00107826 0.00106821 0.00105933 0.00101868 0.00100982 0.00100948 0.00100280 0.00100159	21.147220847916493	96.36156907333712
12.18.23.SBDEC12.R1__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9199439507255543), ('Other', 0.005871253200867064)]	HK.20.1 JN.1 EG.5.1.6 HV.1.1 JG.3 JN.1.2 EG.5.1.3 FL.1.5.1 JN.1.1 JG.1 JN.10 HK.19 HK.13.2 JN.8 HV.1.2 HV.1.3 JG.3.4 BA.2.86.3 JD.1.1.6 HK.23 HK.15 JN.9 XBB.1.5.87 EG.5.2.3 JD.1.1.5 HK.13.1 JC.3 HK.23.1.1 EG.9.1 EG.2.4 XDG XBB.1.16.27 JR.1 FL.32.1 HN.3 XBB.1.16.24 HK.32 GK.1.11 JC.1 EK.2.1 JN.2 XCZ KC.1 JF.3 XCV HK.3.2.2 HV.2 XBB.1.31 XCW JN.5.1 EG.11 HU.2 XBB.1.9.7 JG.3.1 HK.6 BA.2.86.5 JB.1.1 JF.1.1.2 JD.1.1.4 HV.1.7 GA.4.2 FL.1.8	0.22971700 0.16881669 0.12844392 0.11899087 0.06305828 0.03301730 0.02159175 0.01647697 0.01379310 0.01310817 0.01175393 0.01062539 0.00614754 0.00543478 0.00458392 0.00431034 0.00365108 0.00324450 0.00277162 0.00245958 0.00244512 0.00226590 0.00214684 0.00202227 0.00193904 0.00192076 0.00190311 0.00178891 0.00175383 0.00172117 0.00172079 0.00170209 0.00168067 0.00163399 0.00163212 0.00161031 0.00159744 0.00159516 0.00158061 0.00151826 0.00149790 0.00145104 0.00144452 0.00144164 0.00143730 0.00141006 0.00127285 0.00126311 0.00126212 0.00126156 0.00125707 0.00123600 0.00123526 0.00122624 0.00116428 0.00115875 0.00114548 0.00113575 0.00110988 0.00110681 0.00107094 0.00105152	20.87510474657512	96.82306123131458
12.18.23.SBDEC14.R1__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9448205659205723), ('Other', 0.005502116831663969)]	JN.1 JN.8 BA.2.86.1 EG.5.1.6 JG.3 FL.1.5.2 HV.1.1 HV.1.6.1 JN.10 HK.3.8 HV.1.2 EG.5.1.9 XCP HK.3.12 BA.2.86.3 HK.13.1 EG.5.1.12 HK.3.13 HK.6 HV.2 XDG JD.1 XBB.1.16.27 EG.5.2.3 JN.3.1 HK.26 HV.1.5 JF.1.1.2 JG.1 FY.2.1 HK.3.11 XCT.1 HK.3.10 HV.1.6 HC.2 HV.1.7 HK.22 FL.24 HK.26.1 JD.1.2.2 GW.2 JD.1.1.3	0.62592893 0.13170012 0.03760717 0.03650995 0.02368871 0.01465145 0.00921816 0.00722292 0.00609600 0.00472111 0.00462148 0.00293747 0.00254365 0.00221521 0.00220937 0.00211864 0.00206986 0.00193361 0.00192061 0.00179867 0.00175613 0.00162785 0.00160464 0.00159166 0.00155328 0.00154142 0.00151362 0.00147287 0.00139130 0.00120590 0.00120285 0.00120234 0.00116822 0.00115188 0.00114112 0.00112410 0.00109190 0.00108629 0.00106895 0.00105541 0.00104048 0.00101739	20.65839867965302	98.07711600842725
12.18.23.ENCDEC13.R2__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9169885182894781), ('Other', 0.0026194140058992312), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0013390156322128067)]	JN.1 EG.5.1.6 JN.10 KB.1 JN.1.1.1 JG.3 EG.10 JN.1.2 HV.1.6 EG.5.1.4 EG.2 KC.1 GK.1.1 XAA KB.3 JD.1 JJ.1 HK.13.1 EG.5.1.12 JF.1 JN.9 EG.8 EG.5.1.9 EG.7 FL.1.5.2 BA.2.86.3 BA.2.10.4 HV.1.2 XCZ XBB.2.9 JD.1.1.6 JN.3.1 FL.38 GK.1.7 JF.4 HV.1.7 XBB.3.1 XBB.1.9.7 JD.1.2.2 JB.1.1 HK.26.1 DV.7.1.4 JR.1 FY.2.1 XBB.1.5.87 GS.4 GK.1.6 JN.2 JD.1.1.5 FE.1.1.4 XQ BA.2.75.8 FR.1.5 HK.3.12 GJ.6 FP.2.1.1 BA.2.82 EG.11 XL GK.1.10 EG.4.1 FL.13.2.1 JD.1.1.3	0.31618725 0.19175200 0.08916800 0.04218360 0.03722720 0.03309821 0.02397613 0.01909050 0.01855046 0.01093466 0.01089156 0.00851045 0.00745772 0.00732460 0.00680272 0.00667757 0.00499366 0.00463991 0.00437458 0.00425091 0.00423233 0.00349243 0.00317460 0.00315260 0.00289707 0.00275883 0.00273545 0.00262985 0.00261941 0.00240000 0.00191627 0.00174459 0.00171168 0.00162778 0.00158680 0.00156196 0.00145412 0.00143062 0.00139340 0.00136488 0.00133983 0.00133902 0.00132314 0.00132275 0.00127307 0.00127015 0.00125266 0.00125022 0.00124533 0.00124533 0.00118539 0.00118285 0.00113701 0.00111778 0.00110689 0.00108853 0.00106821 0.00105501 0.00104858 0.00104651 0.00103413 0.00103242 0.00100578	18.555878150024135	94.91020967795873
12.18.23.PLDEC12.R2__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.9265210200217125), ('Other', 0.0033093287791489084), ('A', 0.0012091900072236177)]	JN.1 HV.1.1 HK.3.1 JN.4 EG.5.1.4 JG.3 HK.19 HK.13.1 FL.1.5.2 JN.10 JN.1.1 EG.5.1.6 EG.11 HV.1.2 EG.5.2.3 JD.1.1.6 HK.25 XBB.1.16.27 EG.8 EG.4.4 JD.1.1.5 FL.1.8 HK.13.2 JG.3.1 XDG BA.2.86.3 XDF HK.3.12 HV.1.7 JG.1 KJ.1 GK.1.6.1 JD.1.2.2 BA.2.86.5 HK.3.2.2 EG.14 EG.5.1.10 HV.1.6.1 JN.1.3 A.2.4 HV.2 JJ.1 EG.5.1.13 KC.1 FL.10.2 JN.1.2 HK.26.1 EG.9 KB.2 EG.2.4	0.80032721 0.01239123 0.00935469 0.00915795 0.00685611 0.00595904 0.00552864 0.00492961 0.00483875 0.00442760 0.00432099 0.00338744 0.00285729 0.00261643 0.00232357 0.00225933 0.00224215 0.00223802 0.00204457 0.00199601 0.00190944 0.00186916 0.00178042 0.00177043 0.00168744 0.00168148 0.00162189 0.00154457 0.00147420 0.00145361 0.00145349 0.00137385 0.00132704 0.00132300 0.00129143 0.00128248 0.00126695 0.00125954 0.00124842 0.00120919 0.00120149 0.00120048 0.00117832 0.00116290 0.00114635 0.00108206 0.00107527 0.00105759 0.00104690 0.00100351	19.97967182053084	97.60559141223288
12.18.23.PLDEC13.R1__NA__NA__231222_WW__00X.tsv	[('Omicron', 0.8998556766072588), ('Other', 0.01596638210947708), ('A', 0.0014667598843977913)]	JN.1 EG.5.1.6 HK.13.1 HK.19 JG.3 HV.1.1 EG.5.1.17 XBB.1.9.2 HV.1.6.1 FL.1.5.2 BA.2.86.3 JN.1.2 JN.1.1 JD.1 JN.1.3 HV.1.6 XDC HV.1.2 EG.5.1.7 JN.8 KC.1 JN.1.1.1 XBB.1.5.50 XBB.1.5.102 EG.13 JD.1.1.7 EG.5.1.16 GE.1.2.1 JF.4 HK.9 EG.11 FL.4.5 EG.5.2.3 XDG HK.3.9 XCT.1 JD.2 XCZ EU.1.1.3 FL.2.3.1 JD.1.1.6 XBB.1.5.99 HV.1.7 HU.1.1 JD.1.1.5 EG.5.1.10 EG.8 XBB.1.34.1 JN.7 HK.16 EG.4.1 GN.1.4 JD.1.2.2 A.27 HZ.2 XBB.1.16.27 HC.2 HD.1.1 EG.5.1.2 JF.1.1.2 HT.1 EG.5.1.12 BA.2.86.4 HK.32 HZ.3 JN.3 KJ.1 FL.15.2 EG.12 HB.1 XBB.1.16.8 XBB.1.16.24 HP.1 XBB.1.45.1 HU.1 HK.3.2.2 FT.1 EG.2.5 XBB.1.5.109 EG.5.1.13	0.20299615 0.19246664 0.05379270 0.05144186 0.04726202 0.04173095 0.02524280 0.02371170 0.02284784 0.02005721 0.01864733 0.01623670 0.01564617 0.01168652 0.01037517 0.00942586 0.00893419 0.00809717 0.00711744 0.00619195 0.00569152 0.00567823 0.00496447 0.00474189 0.00465116 0.00455671 0.00390569 0.00354317 0.00335454 0.00302150 0.00295262 0.00281514 0.00250941 0.00240385 0.00240192 0.00233303 0.00231436 0.00229530 0.00220761 0.00213636 0.00202122 0.00196335 0.00178412 0.00176989 0.00160028 0.00158456 0.00155945 0.00152194 0.00151259 0.00148733 0.00148222 0.00147493 0.00146681 0.00146676 0.00145773 0.00145012 0.00144650 0.00142045 0.00141243 0.00140121 0.00136054 0.00135968 0.00132784 0.00130039 0.00129416 0.00127528 0.00125313 0.00121638 0.00121382 0.00119693 0.00115237 0.00112794 0.00112773 0.00112195 0.00107264 0.00105798 0.00104439 0.00104327 0.00104011 0.00103157	20.04168722656431	99.09708056047889
