Sample,sample_collection_datetime,viral_load
2.14.23.ENCFEB08.rerun__NA__NA__230224_WW__00X.tsv,02/08/23 ,
2.14.23.ENCFEB10.rerun__NA__NA__230224_WW__00X.tsv,02/10/23,
2.15.23.PLFEB12.rerun__NA__NA__230224_WW__00X.tsv,02/12/23,
2.15.23.PLFEB13.rerun__NA__NA__230224_WW__00X.tsv,02/13/23,
2.17.23.PLFEB14.rerun__NA__NA__230224_WW__00X.tsv,02/14/23,
2.17.23.PLFEB15.rerun__NA__NA__230224_WW__00X.tsv,02/15/23,
2.17.23.SBFEB12.rerun__NA__NA__230224_WW__00X.tsv,02/12/23,
2.17.23.SBFEB16.rerun__NA__NA__230224_WW__00X.tsv,02/16/23,
2.22.23.ENCFEB14.R1__NA__NA__230224_WW__00X.tsv,02/14/23,
2.22.23.ENCFEB17.R2__NA__NA__230224_WW__00X.tsv,02/17/23,
2.22.23.ENCFEB21.R2__NA__NA__230224_WW__00X.tsv,02/21/23,
2.22.23.PLFEB19.R1.HELENA__NA__NA__230224_WW__00X.tsv,02/19/23,
2.22.23.PLFEB20.R1.HELENA__NA__NA__230224_WW__00X.tsv,02/20/23,
2.22.23.PLFEB21.R1__NA__NA__230224_WW__00X.tsv,02/21/23,
2.24.23.SBFEB19.R1__NA__NA__230224_WW__00X.tsv,02/19/23,
2.24.23.SBFEB21.R1__NA__NA__230224_WW__00X.tsv,02/21/23,
