Sample,sample_collection_datetime,viral_load
5.03.23.PLAPR30.R2__NA__NA__230505_WW__00X.tsv,04/30/23,
5.03.23.PLMAY01.R1__NA__NA__230505_WW__00X.tsv,05/01/23,
5.03.23.SBAPR26.R1__NA__NA__230505_WW__00X.tsv,04/26/23,
5.03.23.SBAPR30.R2__NA__NA__230505_WW__00X.tsv,04/30/23,
5.04.23.ENCAPR28.R1__NA__NA__230505_WW__00X.tsv,04/28/23,
5.04.23.ENCMAY02.R2__NA__NA__230505_WW__00X.tsv,05/02/23,
5.05.23.PLMAY02.R2__NA__NA__230505_WW__00X.tsv,05/02/23,
5.05.23.PLMAY03.R2__NA__NA__230505_WW__00X.tsv,05/03/23,
